Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,11263.2,0.0,0.0,248.33801,3242.2
1961,15368.0,5.0,0.0,0.0,11497.2,0.0,0.0,636.9970900000001,36696.6
1962,22835.0,7.0,0.0,0.0,13587.6,0.0,0.0,2204.75697,59502.2
1963,25334.0,193.0,0.0,0.0,13306.8,0.0,0.0,4540.749470000001,62292.0
1964,22098.0,367.0,0.0,0.0,11622.0,0.0,0.0,6331.60975,64142.2
1965,30523.0,270.0,0.0,0.0,13930.8,0.0,0.0,7323.95229,64542.4
1966,26236.0,163.0,0.0,0.0,14461.2,0.0,0.0,11374.08276,83276.4
1967,35277.0,563.0,0.0,0.0,14430.0,0.0,0.0,14575.220280000001,168930.8
1968,27175.0,1505.0,0.0,0.0,11700.0,0.0,0.0,17507.829709999998,383983.2
1969,40418.0,2458.0,0.0,0.0,10405.2,0.0,0.0,51347.416860000005,428927.4
1970,38082.0,3132.0,0.0,0.0,8564.4,0.0,0.0,112636.43015,484972.8
1971,39018.0,3519.0,0.0,0.0,10888.8,0.0,0.0,122427.39282000001,461065.2
1972,31755.0,3175.0,0.0,0.0,10420.8,0.0,0.0,127754.80328,422779.4
1973,38754.0,2631.0,0.0,0.0,10826.4,0.0,0.0,134272.38642,419473.4
1974,46422.0,3698.0,0.0,0.0,10920.0,0.0,0.0,131761.24575,409497.4
1975,40103.0,6071.0,0.0,0.0,11949.6,0.0,0.0,163486.61669,405037.2
1976,23193.0,4807.0,0.0,0.0,11013.6,0.0,0.0,169317.98397,367708.4
1977,14251.0,8115.0,0.0,0.0,10998.0,0.0,0.0,191411.03451,981365.8
1978,37206.0,7659.0,0.0,0.0,11403.6,0.0,0.0,204894.11232000001,2601996.0
1979,33920.0,8762.0,0.0,0.0,12308.4,0.0,0.0,222210.41376999998,2965743.0
1980,40780.0,4920.0,0.0,0.0,12339.6,0.0,0.0,232343.87405,3431546.8
1981,29764.0,3206.0,0.0,0.0,12604.8,0.0,0.0,244731.71749,3406554.6
1982,50226.0,3735.0,0.0,0.0,12994.8,0.0,0.0,265371.65668,3589678.0
1983,56885.0,5613.0,0.0,1.0,12261.6,0.0,0.0,278151.71661999996,3628056.6
1984,43159.0,14144.0,5.0,4.0,13400.4,0.0,0.0,295471.28161,3656325.8
1985,31717.0,19729.0,11.0,3.0,22354.8,0.0,0.0,336809.05098,3864151.4
1986,41459.0,26215.0,14.0,3.0,24492.0,0.0,0.0,315800.92504,3951598.0
1987,24564.0,30387.0,10.0,4.0,23275.2,0.0,0.0,404382.95003,4152533.2
1988,23474.0,30863.0,9.0,1.0,27222.0,0.0,0.0,430999.81855,4281235.2
1989,30801.0,32519.0,250.0,2079.0,24679.2,0.0,0.0,436221.44922,3967078.2
1990,23793.0,32693.0,367.0,2759.0,26613.6,0.0,0.0,432358.61458,3754392.2
1991,21957.0,31542.0,471.0,2915.0,22401.6,0.0,0.0,500739.7922,3806824.2
1992,20167.0,35244.0,399.0,2864.0,23930.4,0.0,0.0,512421.67267,3638467.6
1993,40493.0,31581.0,462.0,2984.0,24975.6,0.0,0.0,496654.99023,3349471.0
1994,23013.0,33752.0,486.0,3387.0,24445.2,0.0,0.0,621304.39415,3299915.8
1995,48033.0,30246.0,497.0,3087.0,26488.8,0.0,0.0,546409.86952,3141593.2
1996,44751.0,34097.0,521.0,3079.0,23103.6,0.0,0.0,556011.90248,2957994.2
1997,41055.0,30512.0,511.0,3137.0,22620.0,0.0,0.0,551062.22352,2743104.2
1998,49548.0,34594.0,502.0,2758.0,20966.4,0.0,0.0,545546.18431,2487330.0
1999,40737.0,33372.0,495.0,3230.0,24414.0,0.0,0.0,540278.57049,2222554.2
2000,38334.0,35176.0,493.0,3518.0,25599.6,0.0,0.0,445541.81503,2060154.2
2001,25542.0,33220.0,542.0,3500.0,23618.4,0.0,0.0,552013.6190899999,2038183.8
2002,31141.0,34352.0,554.0,3803.0,17877.6,0.0,0.0,538153.5789300001,2084143.0
2003,36371.0,35594.0,534.0,3895.0,16863.6,0.0,0.0,561474.20657,2062375.6
2004,34141.0,30268.0,571.0,4306.0,23587.2,0.0,0.0,542458.05616,1928297.0
2005,39632.0,36155.0,537.0,4262.0,22682.4,0.0,0.0,547245.29173,1829436.0
2006,48047.0,31959.0,495.0,4883.0,22230.0,0.0,0.0,496011.67888,1568818.8
2007,27328.0,35792.0,557.0,5585.0,20654.4,0.0,0.0,487689.17746000004,1528851.0
2008,24128.0,32482.0,670.0,5385.0,23041.2,0.0,0.0,447422.23285,1449269.2
2009,27888.0,31764.0,647.0,5840.0,29016.0,0.0,0.0,442657.3784,1365900.0
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
