Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,318818.42136,0.0,0.0,93.78358,42508.2
1961,15368.0,5.0,0.0,0.0,316466.0604,0.0,0.0,92.13826,40199.8
1962,22835.0,7.0,0.0,0.0,315608.4288,0.0,0.0,210.60172999999998,43343.4
1963,25334.0,193.0,0.0,0.0,302841.96984000003,0.0,0.0,291.2227,53215.0
1964,22098.0,367.0,0.0,0.0,353711.7756,0.0,0.0,273.12412,49288.4
1965,30523.0,270.0,0.0,0.0,363439.76832,0.0,0.0,334.00118,46771.2
1966,26236.0,163.0,0.0,0.0,348418.96344,0.0,0.0,414.62215,46574.0
1967,35277.0,563.0,0.0,0.0,379465.22736,0.0,0.0,408.04085,42618.4
1968,27175.0,1505.0,0.0,0.0,402841.8144,0.0,0.0,378.42498,44283.0
1969,40418.0,2458.0,0.0,0.0,427737.63456,0.0,0.0,296.15868,44665.8
1970,38082.0,3132.0,0.0,0.0,503797.3056,0.0,0.0,1031.6194,42125.4
1971,39018.0,3519.0,0.0,0.0,439719.9732,0.0,0.0,688.07483,45425.6
1972,31755.0,3175.0,0.0,0.0,510021.26063999993,0.0,0.0,4195.05741,57617.2
1973,38754.0,2631.0,0.0,0.0,453403.4016,0.0,0.0,11941.94833,67726.6
1974,46422.0,3698.0,0.0,0.0,463397.29968,0.0,0.0,29486.84295,77273.4
1975,40103.0,6071.0,0.0,0.0,534692.772,0.0,0.0,40035.4957,78166.6
1976,23193.0,4807.0,0.0,0.0,508453.46469,0.0,0.0,43743.61775,85294.8
1977,14251.0,8115.0,0.0,0.0,505587.89700000006,0.0,0.0,60495.76621,105861.6
1978,37206.0,7659.0,0.0,0.0,492161.72694,0.0,0.0,91430.99527,115008.2
1979,33920.0,8762.0,0.0,0.0,579943.31664,0.0,0.0,96794.68236,111133.8
1980,40780.0,4920.0,0.0,0.0,633365.46117,0.0,0.0,75631.3348,128487.4
1981,29764.0,3206.0,0.0,0.0,592488.95728,0.0,0.0,90342.56753,119944.0
1982,50226.0,3735.0,0.0,0.0,645392.32692,0.0,0.0,87324.64921,116081.2
1983,56885.0,5613.0,0.0,1.0,577138.5876,0.0,0.0,102198.96354,108726.8
1984,43159.0,14144.0,5.0,4.0,657109.1012800001,0.0,0.0,113715.13913,114863.2
1985,31717.0,19729.0,11.0,3.0,676254.31104,0.0,0.0,120283.59475,125169.8
1986,41459.0,26215.0,14.0,3.0,634516.4114,0.0,0.0,119010.49260999999,122507.6
1987,24564.0,30387.0,10.0,4.0,627489.706,0.0,0.0,129278.90144000002,119520.6
1988,23474.0,30863.0,9.0,1.0,649790.70768,0.0,0.0,141541.89839000002,120622.6
1989,30801.0,32519.0,250.0,2079.0,680322.32664,0.0,0.0,140746.57534,114915.4
1990,23793.0,32693.0,367.0,2759.0,707761.5605,0.0,0.0,147736.62823,107520.4
1991,21957.0,31542.0,471.0,2915.0,662160.58326,0.0,0.0,184047.15507,108094.6
1992,20167.0,35244.0,399.0,2864.0,623931.97936,0.0,0.0,374146.2047,110345.0
1993,40493.0,31581.0,462.0,2984.0,600868.7078399999,0.0,0.0,408988.70066,108326.6
1994,23013.0,33752.0,486.0,3387.0,568576.60194,0.0,0.0,540146.5298100001,106401.0
1995,48033.0,30246.0,497.0,3087.0,607149.8048,0.0,0.0,543449.8818699999,108639.8
1996,44751.0,34097.0,521.0,3079.0,607031.28937,0.0,0.0,557089.59002,97834.4
1997,41055.0,30512.0,511.0,3137.0,600683.2829999999,0.0,0.0,614458.90312,86025.6
1998,49548.0,34594.0,502.0,2758.0,568307.87604,0.0,0.0,591345.08534,71908.4
1999,40737.0,33372.0,495.0,3230.0,477573.57872,0.0,0.0,593029.86876,64513.4
2000,38334.0,35176.0,493.0,3518.0,472698.857,0.0,0.0,582742.89466,60650.6
2001,25542.0,33220.0,542.0,3500.0,469961.62902,0.0,0.0,561077.55318,54137.2
2002,31141.0,34352.0,554.0,3803.0,460200.77838,0.0,0.0,543370.10022,50070.02611
2003,36371.0,35594.0,534.0,3895.0,486363.09128,0.0,0.0,520744.6073,45884.55407
2004,34141.0,30268.0,571.0,4306.0,531179.44533,0.0,0.0,473658.30188999994,43283.50341
2005,39632.0,36155.0,537.0,4262.0,518423.32962,0.0,0.0,424501.32211,45604.47782
2006,48047.0,31959.0,495.0,4883.0,443032.27144,0.0,0.0,419773.80713000003,43679.80583
2007,27328.0,35792.0,557.0,5585.0,469035.572,0.0,0.0,402116.29956,41691.66935
2008,24128.0,32482.0,670.0,5385.0,506837.092,0.0,0.0,432133.02456000005,43996.46462
2009,27888.0,31764.0,647.0,5840.0,459528.87,0.0,0.0,451824.05023,42038.4
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
