Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,589695.14506,1771041.6
1961,15368.0,5.0,0.0,0.0,0.0,0.0,0.0,633797.94059,1737732.2
1962,22835.0,7.0,0.0,0.0,0.0,0.0,0.0,642889.45626,1720222.0
1963,25334.0,193.0,0.0,0.0,0.0,0.0,0.0,736625.8427899999,1745266.4
1964,22098.0,367.0,0.0,0.0,0.0,0.0,0.0,756639.93889,1740052.2
1965,30523.0,270.0,0.0,0.0,0.0,0.0,0.0,752461.64738,1835282.4
1966,26236.0,163.0,0.0,0.0,0.0,0.0,0.0,785759.22382,2002711.0
1967,35277.0,563.0,0.0,0.0,0.0,0.0,0.0,776043.30026,2083470.2
1968,27175.0,1505.0,0.0,0.0,0.0,0.0,0.0,814570.86253,2177876.8
1969,40418.0,2458.0,0.0,0.0,0.0,0.0,0.0,772179.49155,2176687.8
1970,38082.0,3132.0,0.0,0.0,0.0,0.0,0.0,739623.6843399999,2158707.8
1971,39018.0,3519.0,0.0,0.0,0.0,0.0,0.0,700449.58769,2079207.2
1972,31755.0,3175.0,0.0,0.0,0.0,0.0,0.0,561777.9517399999,2012727.6
1973,38754.0,2631.0,0.0,0.0,0.0,0.0,0.0,507133.06865,1949235.0
1974,46422.0,3698.0,0.0,0.0,0.0,0.0,0.0,419143.68191,1873417.4
1975,40103.0,6071.0,0.0,0.0,0.0,0.0,0.0,365212.13335,1868754.2
1976,23193.0,4807.0,0.0,0.0,0.0,0.0,0.0,400198.67076999997,1890921.8
1977,14251.0,8115.0,0.0,0.0,0.0,0.0,0.0,353544.21446,2027732.2
1978,37206.0,7659.0,0.0,0.0,0.0,0.0,0.0,352083.58216,2013649.8
1979,33920.0,8762.0,0.0,0.0,0.0,0.0,0.0,282281.17341,2043154.4
1980,40780.0,4920.0,0.0,0.0,0.0,0.0,0.0,342208.32892,2070153.4
1981,29764.0,3206.0,0.0,0.0,0.0,0.0,0.0,414770.71599,2232756.4
1982,50226.0,3735.0,0.0,0.0,0.0,0.0,0.0,432487.21351000003,2329117.6
1983,56885.0,5613.0,0.0,1.0,0.0,0.0,0.0,463384.58986999997,2347190.4
1984,43159.0,14144.0,5.0,4.0,0.0,0.0,0.0,526963.16372,2389716.0
1985,31717.0,19729.0,11.0,3.0,852.0,578.0332900000002,91.17673,546052.7519800001,2458486.6
1986,41459.0,26215.0,14.0,3.0,0.0,610.9449099999998,96.71333,511410.72225,2358657.0
1987,24564.0,30387.0,10.0,4.0,552.0,667.8501,106.09983,468677.76157,2295060.0
1988,23474.0,30863.0,9.0,1.0,648.0,669.90976,106.81056,444232.97732,2238875.4
1989,30801.0,32519.0,250.0,2079.0,492.0,631.3366599999998,101.02223,404557.66043000005,2112650.0
1990,23793.0,32693.0,367.0,2759.0,732.0,528.8022,84.90935,401146.68062,2035214.2
1991,21957.0,31542.0,471.0,2915.0,684.0,618.23605,99.62873,414017.14219,2035892.8
1992,20167.0,35244.0,399.0,2864.0,1236.0,651.36435,105.35078,402191.76008000004,2018632.0
1993,40493.0,31581.0,462.0,2984.0,0.0,686.46718,111.41669,352455.97067,1993628.2
1994,23013.0,33752.0,486.0,3387.0,0.0,753.99023,122.82532,340053.11851,1992700.2
1995,48033.0,30246.0,497.0,3087.0,0.0,724.95331,118.51142,308223.98396,2033978.8
1996,44751.0,34097.0,521.0,3079.0,0.0,297.7005200000001,48.83859,320465.71573,2011602.4
1997,41055.0,30512.0,511.0,3137.0,0.0,526.36757,86.65856,313734.33592,1967980.6
1998,49548.0,34594.0,502.0,2758.0,0.0,620.43757,102.50964,349864.26508000004,1913188.0
1999,40737.0,33372.0,495.0,3230.0,0.0,575.6003099999998,95.24035,410698.81771,1813770.2
2000,38334.0,35176.0,493.0,3518.0,0.0,691.26792,114.52759,390975.4554,1775519.2
2001,25542.0,33220.0,542.0,3500.0,0.0,758.04338,125.75413,408479.07805,1692242.8
2002,31141.0,34352.0,554.0,3803.0,0.0,1032.95309,171.5829,394507.10955,1669199.4
2003,36371.0,35594.0,534.0,3895.0,0.0,1213.08394,202.39384,373313.52721,1624000.0
2004,34141.0,30268.0,571.0,4306.0,0.0,1102.97425,184.83888,356231.71953,1550108.0
2005,39632.0,36155.0,537.0,4262.0,0.0,2155.6007,362.78947,353819.5354,1489718.4
2006,48047.0,31959.0,495.0,4883.0,0.0,5534.30826,935.59531,351100.49931,1447459.6
2007,27328.0,35792.0,557.0,5585.0,0.0,12532.82711,2128.24082,339526.55044,1399992.4
2008,24128.0,32482.0,670.0,5385.0,0.0,13309.87594,2270.01606,331492.56896999996,1384407.8
2009,27888.0,31764.0,647.0,5840.0,0.0,6861.25147,1177.51491,309834.88307,1328165.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
