Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,3202140.61847,2324825.6
1961,15368.0,5.0,0.0,0.0,0.0,0.0,0.0,3505855.0112300003,2464779.6
1962,22835.0,7.0,0.0,0.0,0.0,0.0,0.0,3777591.00855,2767487.4
1963,25334.0,193.0,0.0,0.0,0.0,0.0,0.0,4209381.85385,2987330.6
1964,22098.0,367.0,0.0,0.0,0.0,0.0,0.0,4474030.82841,3188248.4
1965,30523.0,270.0,0.0,0.0,0.0,0.0,0.0,4786243.433680001,3450147.4
1966,26236.0,163.0,0.0,0.0,0.0,0.0,0.0,5444851.15302,3911044.4
1967,35277.0,563.0,0.0,0.0,0.0,0.0,0.0,6125717.5243,4492256.6
1968,27175.0,1505.0,0.0,0.0,0.0,0.0,0.0,6874878.192980001,4741070.8
1969,40418.0,2458.0,0.0,0.0,0.0,0.0,0.0,7744748.6251300005,4898697.4
1970,38082.0,3132.0,0.0,0.0,0.0,0.0,0.0,8345281.118160001,5260060.6
1971,39018.0,3519.0,0.0,0.0,0.0,0.0,0.0,8670626.28254,5424409.4
1972,31755.0,3175.0,0.0,0.0,0.0,0.0,0.0,8561187.10568,5172596.6
1973,38754.0,2631.0,0.0,0.0,0.0,0.0,0.0,8855157.7567,4822839.2
1974,46422.0,3698.0,0.0,0.0,0.0,0.0,0.0,8312301.862989999,4276479.2
1975,40103.0,6071.0,0.0,0.0,0.0,0.0,0.0,7658705.47514,3774872.0
1976,23193.0,4807.0,0.0,0.0,0.0,0.0,0.0,7551832.144719999,3517705.8
1977,14251.0,8115.0,0.0,0.0,0.0,0.0,0.0,7754582.74042,3264849.0
1978,37206.0,7659.0,0.0,0.0,0.0,0.0,0.0,8059164.738369999,3089892.0
1979,33920.0,8762.0,0.0,0.0,0.0,0.0,0.0,7824763.8509100005,2840184.6
1980,40780.0,4920.0,0.0,0.0,0.0,0.0,0.0,7467096.718789999,2721017.8
1981,29764.0,3206.0,0.0,0.0,0.0,0.0,0.0,7292814.992339999,2606027.0
1982,50226.0,3735.0,0.0,0.0,0.0,0.0,0.0,6691907.62823,2658691.0
1983,56885.0,5613.0,0.0,1.0,0.0,0.0,0.0,5765169.3569,2781500.2
1984,43159.0,14144.0,5.0,4.0,0.0,0.0,0.0,6289212.19955,2988554.4
1985,31717.0,19729.0,11.0,3.0,2825.45685,0.0,0.0,5413297.82546,2947786.2
1986,41459.0,26215.0,14.0,3.0,30942.213260000004,0.0,0.0,5281218.2874300005,2970226.4
1987,24564.0,30387.0,10.0,4.0,37764.87519,0.0,0.0,5535297.145769999,2762129.04986
1988,23474.0,30863.0,9.0,1.0,40069.38996,0.0,0.0,5604103.65456,2535008.08378
1989,30801.0,32519.0,250.0,2079.0,40917.00559,0.0,0.0,5500018.9653,2347220.47816
1990,23793.0,32693.0,367.0,2759.0,43843.8204,0.0,0.0,5667005.420059999,2278515.64511
1991,21957.0,31542.0,471.0,2915.0,43662.96586,0.0,0.0,5490336.4188,2405181.72817
1992,20167.0,35244.0,399.0,2864.0,45042.48,0.0,0.0,5348387.63123,2439760.43902
1993,40493.0,31581.0,462.0,2984.0,43348.32842,0.0,0.0,5392331.174430001,2424121.92276
1994,23013.0,33752.0,486.0,3387.0,47718.78943,0.0,0.0,5589622.15785,2387250.08996
1995,48033.0,30246.0,497.0,3087.0,50748.06078,0.0,0.0,5527777.77529,2473410.64817
1996,44751.0,34097.0,521.0,3079.0,44366.02179,0.0,0.0,5748693.1346,2629936.74461
1997,41055.0,30512.0,511.0,3137.0,48647.5387,0.0,0.0,6070648.65751,2834953.90953
1998,49548.0,34594.0,502.0,2758.0,43534.8312,0.0,0.0,5868899.62624,3053212.81105
1999,40737.0,33372.0,495.0,3230.0,41114.70759,0.0,0.0,5755708.81014,3194025.30624
2000,38334.0,35176.0,493.0,3518.0,50408.4924,0.0,0.0,5639721.48145,3247587.16189
2001,25542.0,33220.0,542.0,3500.0,50817.44785,0.0,0.0,5613991.67318,3366915.87855
2002,31141.0,34352.0,554.0,3803.0,51958.18326000001,0.0,0.0,5128748.55645,3322776.35644
2003,36371.0,35594.0,534.0,3895.0,54642.27707999999,0.0,0.0,4912942.8867,3330158.76574
2004,34141.0,30268.0,571.0,4306.0,51658.77275,0.0,0.0,4462683.111959999,3067028.05128
2005,39632.0,36155.0,537.0,4262.0,61534.36596,0.0,0.0,3733297.1899900003,2632772.357
2006,48047.0,31959.0,495.0,4883.0,57533.22036,0.0,0.0,3689675.50253,2729041.86421
2007,27328.0,35792.0,557.0,5585.0,42871.17,0.0,0.0,3720464.9046099996,2802411.18768
2008,24128.0,32482.0,670.0,5385.0,54762.75,137.51056,23.4526,3323966.65707,2584516.64559
2009,27888.0,31764.0,647.0,5840.0,50481.228,207.91671000000002,35.68227,3573113.5666,3395192.4
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
