Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,18933.30868,0.0,0.0,4154.43,0.0
1961,15368.0,5.0,0.0,0.0,19161.11587,0.0,0.0,3656.716,0.0
1962,22835.0,7.0,0.0,0.0,20781.07811,0.0,0.0,2526.384,0.0
1963,25334.0,193.0,0.0,0.0,29412.43942,0.0,0.0,1668.9260000000002,0.0
1964,22098.0,367.0,0.0,0.0,28754.329760000004,0.0,0.0,1411.382,0.0
1965,30523.0,270.0,0.0,0.0,30627.4111,0.0,0.0,416.976,0.0
1966,26236.0,163.0,0.0,0.0,30931.15402,0.0,0.0,711.312,0.0
1967,35277.0,563.0,0.0,0.0,33032.04255,0.0,0.0,634.6619999999999,0.0
1968,27175.0,1505.0,0.0,0.0,36626.33377,0.0,0.0,883.008,0.0
1969,40418.0,2458.0,0.0,0.0,34626.69288,0.0,0.0,999.5160000000001,0.0
1970,38082.0,3132.0,0.0,0.0,40878.73465,0.0,0.0,830.8860000000001,0.0
1971,39018.0,3519.0,0.0,0.0,41612.78004,0.0,0.0,218.708,0.0
1972,31755.0,3175.0,0.0,0.0,41511.5324,0.0,0.0,249.368,0.0
1973,38754.0,2631.0,0.0,0.0,40493.63931000001,0.0,0.0,303.96,0.0
1974,46422.0,3698.0,0.0,0.0,51320.00586000001,0.0,0.0,135.66,0.0
1975,40103.0,6071.0,0.0,0.0,59091.15424,0.0,0.0,94.209,0.0
1976,23193.0,4807.0,0.0,0.0,65523.8673,0.0,0.0,76.05,0.0
1977,14251.0,8115.0,0.0,0.0,70348.88652,0.0,0.0,83.31200000000001,0.0
1978,37206.0,7659.0,0.0,0.0,69756.74448,0.0,0.0,90.6488,0.0
1979,33920.0,8762.0,0.0,0.0,62269.14504,0.0,0.0,29.2544,0.0
1980,40780.0,4920.0,0.0,0.0,89499.9944,0.0,0.0,69.36,0.0
1981,29764.0,3206.0,0.0,0.0,107311.27512,0.0,0.0,56.784,0.0
1982,50226.0,3735.0,0.0,0.0,93819.87516,0.0,0.0,36.648,0.0
1983,56885.0,5613.0,0.0,1.0,79120.45776,0.0,0.0,31.651,0.0
1984,43159.0,14144.0,5.0,4.0,100584.47058,0.0,0.0,61.56,0.0
1985,31717.0,19729.0,11.0,3.0,74667.1482,0.0,0.0,40.326,0.0
1986,41459.0,26215.0,14.0,3.0,97658.55414,0.0,0.0,20.72,0.0
1987,24564.0,30387.0,10.0,4.0,99058.67678,0.0,0.0,45.496,0.0
1988,23474.0,30863.0,9.0,1.0,82061.21222,0.0,0.0,29.928,0.0
1989,30801.0,32519.0,250.0,2079.0,84479.94368,0.0,0.0,35.088,0.0
1990,23793.0,32693.0,367.0,2759.0,88004.87113,0.0,0.0,22.616,0.0
1991,21957.0,31542.0,471.0,2915.0,95422.71662,0.0,0.0,30.2472,0.0
1992,20167.0,35244.0,399.0,2864.0,83956.3231,0.0,0.0,33.68653,0.0
1993,40493.0,31581.0,462.0,2984.0,84741.16035,0.0,0.0,28.4571,0.0
1994,23013.0,33752.0,486.0,3387.0,92886.36608,0.0,0.0,26.704959999999996,0.0
1995,48033.0,30246.0,497.0,3087.0,94134.34689,0.0,0.0,22.84902,0.0
1996,44751.0,34097.0,521.0,3079.0,103073.77342,0.0,0.0,138.42005,0.0
1997,41055.0,30512.0,511.0,3137.0,103616.032,0.0,0.0,121.75143,0.0
1998,49548.0,34594.0,502.0,2758.0,100207.6208,0.0,0.0,65.41085,0.0
1999,40737.0,33372.0,495.0,3230.0,94391.58132,0.0,0.0,18.28526,0.0
2000,38334.0,35176.0,493.0,3518.0,110587.04158,0.0,0.0,35.193220000000004,0.0
2001,25542.0,33220.0,542.0,3500.0,111688.94304,0.0,0.0,33.530359999999995,0.0
2002,31141.0,34352.0,554.0,3803.0,125681.86509,0.0,0.0,23.25991,0.0
2003,36371.0,35594.0,534.0,3895.0,124608.70975999998,0.0,0.0,50.17484,0.0
2004,34141.0,30268.0,571.0,4306.0,129129.55275,0.0,0.0,34.98734,0.0
2005,39632.0,36155.0,537.0,4262.0,126671.32791,0.0,0.0,48.214290000000005,0.0
2006,48047.0,31959.0,495.0,4883.0,122170.29146,0.0,0.0,49.379740000000005,0.0
2007,27328.0,35792.0,557.0,5585.0,53755.962,0.0,0.0,36.34789,0.0
2008,24128.0,32482.0,670.0,5385.0,65596.96,0.0,0.0,29.035999999999998,0.0
2009,27888.0,31764.0,647.0,5840.0,53448.34,0.0,0.0,44.591,0.0
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
