Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,5586.82464,0.0,0.0,38716.26094,175392.0
1961,15368.0,5.0,0.0,0.0,6622.08288,0.0,0.0,39275.83823,179254.8
1962,22835.0,7.0,0.0,0.0,6818.4249599999985,0.0,0.0,34704.21918,183558.4
1963,25334.0,193.0,0.0,0.0,6122.30304,0.0,0.0,34786.47588,179046.0
1964,22098.0,367.0,0.0,0.0,6175.85088,0.0,0.0,29181.434569999998,177752.6
1965,30523.0,270.0,0.0,0.0,6497.13792,0.0,0.0,32560.9107,190112.4
1966,26236.0,163.0,0.0,0.0,7478.84832,0.0,0.0,35549.95712,205204.0
1967,35277.0,563.0,0.0,0.0,6622.08288,0.0,0.0,29966.92817,202762.2
1968,27175.0,1505.0,0.0,0.0,9263.77632,0.0,0.0,22374.981969999997,281068.0
1969,40418.0,2458.0,0.0,0.0,18384.7584,0.0,0.0,47765.6569,254933.2
1970,38082.0,3132.0,0.0,0.0,61526.46816,0.0,0.0,49475.6695,219698.2
1971,39018.0,3519.0,0.0,0.0,126087.31392,0.0,0.0,35195.849180000005,200674.2
1972,31755.0,3175.0,0.0,0.0,146738.93088,0.0,0.0,36152.39991,196643.2
1973,38754.0,2631.0,0.0,0.0,191992.515,0.0,0.0,59705.84122,200796.0
1974,46422.0,3698.0,0.0,0.0,256113.75522,0.0,0.0,57694.37645,200413.2
1975,40103.0,6071.0,0.0,0.0,397117.77694,0.0,0.0,43082.50641,190495.2
1976,23193.0,4807.0,0.0,0.0,471444.77911000006,0.0,0.0,44515.51315,190321.2
1977,14251.0,8115.0,0.0,0.0,487861.3327,0.0,0.0,48349.9671,189544.0
1978,37206.0,7659.0,0.0,0.0,476421.96,0.0,0.0,47414.11244,176708.6
1979,33920.0,8762.0,0.0,0.0,585821.8632,0.0,0.0,55021.03879,173750.6
1980,40780.0,4920.0,0.0,0.0,535551.1904,0.0,0.0,54493.34336,171587.2
1981,29764.0,3206.0,0.0,0.0,605809.27539,31.381079999999997,4.87988,58964.12844,178715.4
1982,50226.0,3735.0,0.0,0.0,499796.8881,104.67994,16.33561,59355.04441,179341.8
1983,56885.0,5613.0,0.0,1.0,524278.139,196.66091,30.802190000000003,54466.91424,169505.0
1984,43159.0,14144.0,5.0,4.0,591908.13,234.80787,36.90649000000001,53766.19191,172613.8
1985,31717.0,19729.0,11.0,3.0,597846.4546,251.76021,39.71168,54836.71312000001,172654.4
1986,41459.0,26215.0,14.0,3.0,610003.6362,266.09474,42.12312,48603.07841,157017.6
1987,24564.0,30387.0,10.0,4.0,617561.8071,290.87958,46.21138,49348.17246,145377.0
1988,23474.0,30863.0,9.0,1.0,693997.85568,291.77666,46.52094,54879.19478,135377.8
1989,30801.0,32519.0,250.0,2079.0,677752.7198399999,274.97629,43.99985,54286.733810000005,121544.8
1990,23793.0,32693.0,367.0,2759.0,678342.11744,230.3178,36.98195,53807.84169,114898.0
1991,21957.0,31542.0,471.0,2915.0,688452.97893,269.27037,43.39292,55389.654579999995,113558.2
1992,20167.0,35244.0,399.0,2864.0,704046.0671100002,239.62107999999998,38.75599,56686.3188,107195.6
1993,40493.0,31581.0,462.0,2984.0,649267.65813,0.0,0.0,56821.74284,101198.4
1994,23013.0,33752.0,486.0,3387.0,752552.2248,248.99212000000003,40.56092,52706.439000000006,95862.4
1995,48033.0,30246.0,497.0,3087.0,712988.84927,210.95661,34.48604,52792.36822,95874.0
1996,44751.0,34097.0,521.0,3079.0,689153.55089,75.42596999999998,12.37384,53450.354719999996,92330.2
1997,41055.0,30512.0,511.0,3137.0,740072.1817,114.34876000000001,18.82582,54702.255489999996,90050.8
1998,49548.0,34594.0,502.0,2758.0,773038.3752,113.25613,18.71235,59804.97191,95601.4
1999,40737.0,33372.0,495.0,3230.0,741897.67632,85.86965,14.20822,63322.01616,86634.6
2000,38334.0,35176.0,493.0,3518.0,696894.95904,80.93812,13.409629999999998,72029.41731,89482.4
2001,25542.0,33220.0,542.0,3500.0,708173.19885,65.33048000000001,10.83787,83952.90686,92336.0
2002,31141.0,34352.0,554.0,3803.0,676052.15958,58.26596,9.67851,88823.54209,97759.0
2003,36371.0,35594.0,534.0,3895.0,665900.50862,33.60033,5.60596,89010.93724,112056.0
2004,34141.0,30268.0,571.0,4306.0,721570.3135800002,0.0,0.0,100308.00094,143399.2
2005,39632.0,36155.0,537.0,4262.0,726845.35242,0.0,0.0,114086.2395,190559.0
2006,48047.0,31959.0,495.0,4883.0,754966.6298100002,0.0,0.0,117011.63504000001,210319.6
2007,27328.0,35792.0,557.0,5585.0,778069.48,0.0,0.0,121198.1457,202008.2
2008,24128.0,32482.0,670.0,5385.0,794234.9240000001,0.0,0.0,116779.70105,182961.0
2009,27888.0,31764.0,647.0,5840.0,703719.4920000002,0.0,0.0,102056.83912,160613.6
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
