Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,17799.24646,138185.0
1961,15368.0,5.0,0.0,0.0,0.0,0.0,0.0,18365.02406,141340.2
1962,22835.0,7.0,0.0,0.0,0.0,0.0,0.0,17358.2899,144385.2
1963,25334.0,193.0,0.0,0.0,0.0,0.0,0.0,15224.666769999998,126706.8
1964,22098.0,367.0,0.0,0.0,0.0,0.0,0.0,13012.88467,110855.4
1965,30523.0,270.0,0.0,0.0,0.0,0.0,0.0,12505.434659999999,99852.8
1966,26236.0,163.0,0.0,0.0,0.0,0.0,0.0,11894.16155,80330.0
1967,35277.0,563.0,0.0,0.0,0.0,0.0,0.0,9860.861859999999,77563.4
1968,27175.0,1505.0,0.0,0.0,0.0,0.0,0.0,9482.8991,76461.4
1969,40418.0,2458.0,0.0,0.0,0.0,0.0,0.0,8153.03012,70214.8
1970,38082.0,3132.0,0.0,0.0,0.0,0.0,0.0,6988.811479999999,66415.8
1971,39018.0,3519.0,0.0,0.0,0.0,0.0,0.0,4616.45905,58359.6
1972,31755.0,3175.0,0.0,0.0,0.0,0.0,0.0,4493.206639999999,50489.0
1973,38754.0,2631.0,0.0,0.0,0.0,0.0,0.0,4696.66362,41992.0
1974,46422.0,3698.0,0.0,0.0,0.0,0.0,0.0,3351.07932,38343.8
1975,40103.0,6071.0,0.0,0.0,0.0,0.0,0.0,3086.72199,35496.0
1976,23193.0,4807.0,0.0,0.0,0.0,0.0,0.0,2945.5696199999998,35855.6
1977,14251.0,8115.0,0.0,0.0,0.0,0.0,0.0,3171.72357,34614.4
1978,37206.0,7659.0,0.0,0.0,0.0,0.0,0.0,3151.58445,33999.6
1979,33920.0,8762.0,0.0,0.0,0.0,0.0,0.0,3440.7286799999997,35194.4
1980,40780.0,4920.0,0.0,0.0,0.0,0.0,0.0,2744.32396,36192.0
1981,29764.0,3206.0,0.0,0.0,0.0,0.0,0.0,2755.96017,38691.8
1982,50226.0,3735.0,0.0,0.0,0.0,0.0,0.0,2480.08825,39857.6
1983,56885.0,5613.0,0.0,1.0,0.0,0.0,0.0,2289.62315,37004.0
1984,43159.0,14144.0,5.0,4.0,0.0,0.0,0.0,2476.23661,37421.6
1985,31717.0,19729.0,11.0,3.0,0.0,1283.03486,202.38095,2104.8515199999997,40269.4
1986,41459.0,26215.0,14.0,3.0,0.0,1579.2676099999999,250.0,1523.0009599999998,41168.4
1987,24564.0,30387.0,10.0,4.0,0.0,1738.4932600000006,276.19048,1381.20627,35333.6
1988,23474.0,30863.0,9.0,1.0,0.0,1754.6507100000001,279.7619,999.42225,34672.4
1989,30801.0,32519.0,250.0,2079.0,0.0,1793.0063100000002,286.90476,917.78844,36134.0
1990,23793.0,32693.0,367.0,2759.0,0.0,1891.3369699999998,303.69048,779.5189999999999,34156.2
1991,21957.0,31542.0,471.0,2915.0,0.0,1928.10625,310.71429,793.69071,33825.6
1992,20167.0,35244.0,399.0,2864.0,0.0,3393.1876,548.80952,1156.88118,31749.2
1993,40493.0,31581.0,462.0,2984.0,0.0,7573.215359999997,1229.1666699999996,2061.38888,28234.4
1994,23013.0,33752.0,486.0,3387.0,0.0,11539.33173,1879.76191,2868.37274,24452.8
1995,48033.0,30246.0,497.0,3087.0,0.0,27841.81743000001,4551.42857,2195.09906,21999.4
1996,44751.0,34097.0,521.0,3079.0,0.0,28755.99226000001,4717.5,1889.1289800000002,20537.8
1997,41055.0,30512.0,511.0,3137.0,0.0,38727.066139999995,6375.83333,1666.34563,19354.6
1998,49548.0,34594.0,502.0,2758.0,0.0,41287.70165,6821.617190000001,1699.7088800000001,18409.2
1999,40737.0,33372.0,495.0,3230.0,0.0,43923.12375,7267.63655,1393.88772,15445.4
2000,38334.0,35176.0,493.0,3518.0,0.0,46153.59198000001,7646.61488,1224.5121,17150.6
2001,25542.0,33220.0,542.0,3500.0,0.0,50495.654689999996,8376.87838,1228.5838,16947.6
2002,31141.0,34352.0,554.0,3803.0,0.0,50536.81619,8394.62462,1196.35225,16118.2
2003,36371.0,35594.0,534.0,3895.0,0.0,54583.09842,9106.77543,1464.13571,15979.0
2004,34141.0,30268.0,571.0,4306.0,0.0,73176.72896000001,12263.11905,1489.4565400000001,14540.6
2005,39632.0,36155.0,537.0,4262.0,0.0,76818.20963,12928.57143,1182.3673900000001,13995.4
2006,48047.0,31959.0,495.0,4883.0,0.0,85067.36054,14380.95238,1214.63984,13415.4
2007,27328.0,35792.0,557.0,5585.0,0.0,117216.02836,19904.84139,1583.01036,13537.2
2008,24128.0,32482.0,670.0,5385.0,0.0,164645.97285999998,28080.577460000004,3115.902,13885.2
2009,27888.0,31764.0,647.0,5840.0,0.0,163376.33119,28038.3349,2942.8959999999997,12986.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
