Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,5518.3762,0.0,0.0,927135.58842,622804.0
1961,15368.0,5.0,0.0,0.0,7707.02032,0.0,0.0,916382.6315,652807.4
1962,22835.0,7.0,0.0,0.0,12664.20572,0.0,0.0,933731.7256,634102.4
1963,25334.0,193.0,0.0,0.0,36383.8702,0.0,0.0,938100.91217,637657.8
1964,22098.0,367.0,0.0,0.0,55539.18284,0.0,0.0,1019732.1714299999,660405.4
1965,30523.0,270.0,0.0,0.0,60084.82832000001,0.0,0.0,1087602.52381,691162.8
1966,26236.0,163.0,0.0,0.0,51536.0218,0.0,0.0,1158241.7684,720093.2
1967,35277.0,563.0,0.0,0.0,64780.12467999999,0.0,0.0,1238818.15632,731635.2
1968,27175.0,1505.0,0.0,0.0,64144.10844,0.0,0.0,1351003.54925,745590.0
1969,40418.0,2458.0,0.0,0.0,83636.13556,0.0,0.0,1320774.3484399999,749516.6
1970,38082.0,3132.0,0.0,0.0,137697.51596,0.0,0.0,1321757.27036,743467.2
1971,39018.0,3519.0,0.0,0.0,152924.49300000002,0.0,0.0,1361162.49115,686789.6
1972,31755.0,3175.0,0.0,0.0,154290.05728,0.0,0.0,1414839.52633,641045.0
1973,38754.0,2631.0,0.0,0.0,164714.08008,0.0,0.0,1397971.6814899999,585718.8
1974,46422.0,3698.0,0.0,0.0,168496.33072,0.0,0.0,1418349.2713600001,572431.0
1975,40103.0,6071.0,0.0,0.0,157540.5265,0.0,0.0,1390465.98865,551365.4
1976,23193.0,4807.0,0.0,0.0,175430.2416,0.0,0.0,1405146.4288,534354.0
1977,14251.0,8115.0,0.0,0.0,200268.03672,0.0,0.0,1388741.23488,505893.4
1978,37206.0,7659.0,0.0,0.0,232635.83848,0.0,0.0,1359415.1095200002,483517.0
1979,33920.0,8762.0,0.0,0.0,292444.43445,0.0,0.0,1377768.60409,461964.2
1980,40780.0,4920.0,0.0,0.0,345071.32275,0.0,0.0,1329290.0013700002,436879.2
1981,29764.0,3206.0,0.0,0.0,355601.963,220.99353,34.36538,1306554.68423,415094.4
1982,50226.0,3735.0,0.0,0.0,375419.67336,737.18268,115.03952,1143883.9153,411939.2
1983,56885.0,5613.0,0.0,1.0,381363.83655,1384.93601,216.91683,1027892.10531,435980.2
1984,43159.0,14144.0,5.0,4.0,397916.6616300001,1653.57653,259.90488,1104683.53626,460148.8
1985,31717.0,19729.0,11.0,3.0,420410.25252,1772.95924,279.65973,1063631.68216,455474.0
1986,41459.0,26215.0,14.0,3.0,404082.66784,1873.90665,296.64172,839139.9709399999,439129.6
1987,24564.0,30387.0,10.0,4.0,359625.3032400001,2048.4477699999998,325.43225,987049.5817,419502.4
1988,23474.0,30863.0,9.0,1.0,407854.76708,2054.7652399999997,327.6122299999999,948646.03426,413157.2
1989,30801.0,32519.0,250.0,2079.0,444914.9824,1936.4527699999999,309.8581,995154.9543,398541.2
1990,23793.0,32693.0,367.0,2759.0,454213.51644,1621.95634,260.43624,1125996.8989799998,390050.0
1991,21957.0,31542.0,471.0,2915.0,400541.64668,1896.27023,305.58391,1193312.42652,408418.6
1992,20167.0,35244.0,399.0,2864.0,457758.08379,1687.4724199999994,272.92948,1438881.82312,405837.6
1993,40493.0,31581.0,462.0,2984.0,535318.183,1835.4737300000002,297.90558,1596974.0095,396847.6
1994,23013.0,33752.0,486.0,3387.0,533893.34934,1727.16367,281.35568,1701891.4125899998,381906.8
1995,48033.0,30246.0,497.0,3087.0,507955.12468,1624.8402199999994,265.62002,1794561.4799799998,374146.4
1996,44751.0,34097.0,521.0,3079.0,452294.25971,653.1349,107.14858,1764090.5397299998,373978.2
1997,41055.0,30512.0,511.0,3137.0,505578.02475,1130.88173,186.1828,1749236.2049900002,405037.2
1998,49548.0,34594.0,502.0,2758.0,534746.16986,1305.8875699999999,215.76074,1633893.1025,419502.4
1999,40737.0,33372.0,495.0,3230.0,547678.2579600001,1187.34354,196.46101,1646087.60054,373380.8
2000,38334.0,35176.0,493.0,3518.0,513357.09258,1398.01249,231.61931,1815971.1906299999,389748.4
2001,25542.0,33220.0,542.0,3500.0,554846.43356,1503.56953,249.43174,1822754.9402,394405.8
2002,31141.0,34352.0,554.0,3803.0,543313.71208,2010.1324100000002,333.90127,1773084.3514900003,388837.8
2003,36371.0,35594.0,534.0,3895.0,490628.77413,2316.82859,386.54525,1809566.15105,383554.0
2004,34141.0,30268.0,571.0,4306.0,510868.5575,2068.07672,346.5729,1837593.15321,372568.8
2005,39632.0,36155.0,537.0,4262.0,536979.68796,2804.4805,471.99651,1837239.30978,351828.0
2006,48047.0,31959.0,495.0,4883.0,485090.32348,3976.74845,672.28405,1789426.4063900001,346944.4
2007,27328.0,35792.0,557.0,5585.0,455522.13,4232.47444,718.73048,1703582.76783,341219.8
2008,24128.0,32482.0,670.0,5385.0,475817.33,3093.98752,527.68346,1606049.81315,344537.4
2009,27888.0,31764.0,647.0,5840.0,466100.448,3811.8063700000002,654.17495,1557686.62672,354646.8
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
