Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6
1961,15368.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,893.2
1962,22835.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,817.8
1963,25334.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,684.4
1964,22098.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,1479.0
1965,30523.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.2
1966,26236.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.6
1967,35277.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.2
1968,27175.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.8
1969,40418.0,2458.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.4
1970,38082.0,3132.0,0.0,0.0,0.0,0.0,0.0,0.0,864.2
1971,39018.0,3519.0,0.0,0.0,0.0,0.0,0.0,0.0,655.4
1972,31755.0,3175.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0
1973,38754.0,2631.0,0.0,0.0,0.0,0.0,0.0,0.0,556.8
1974,46422.0,3698.0,0.0,0.0,0.0,0.0,0.0,0.0,748.2
1975,40103.0,6071.0,0.0,0.0,0.0,0.0,0.0,0.0,667.0
1976,23193.0,4807.0,0.0,0.0,0.0,0.0,0.0,0.0,829.4
1977,14251.0,8115.0,0.0,0.0,0.0,0.0,0.0,0.0,3833.8
1978,37206.0,7659.0,0.0,0.0,0.0,0.0,0.0,0.0,6704.8
1979,33920.0,8762.0,0.0,0.0,0.0,0.0,0.0,0.0,7163.0
1980,40780.0,4920.0,0.0,0.0,0.0,0.0,0.0,0.0,5104.0
1981,29764.0,3206.0,0.0,0.0,0.0,0.0,0.0,0.0,4060.0
1982,50226.0,3735.0,0.0,0.0,0.0,0.0,0.0,0.0,3555.4
1983,56885.0,5613.0,0.0,1.0,0.0,0.0,0.0,0.0,4698.0
1984,43159.0,14144.0,5.0,4.0,0.0,0.0,0.0,0.0,11060.6
1985,31717.0,19729.0,11.0,3.0,0.0,0.0,0.0,0.0,17626.2
1986,41459.0,26215.0,14.0,3.0,0.0,0.0,0.0,0.0,16860.6
1987,24564.0,30387.0,10.0,4.0,0.0,0.0,0.0,0.0,18049.6
1988,23474.0,30863.0,9.0,1.0,0.0,0.0,0.0,0.0,18739.8
1989,30801.0,32519.0,250.0,2079.0,0.0,0.0,0.0,0.0,18652.8
1990,23793.0,32693.0,367.0,2759.0,0.0,0.0,0.0,0.0,23263.8
1991,21957.0,31542.0,471.0,2915.0,0.0,0.0,0.0,54.85493,19795.4
1992,20167.0,35244.0,399.0,2864.0,0.0,0.0,0.0,30.45883,21581.8
1993,40493.0,31581.0,462.0,2984.0,0.0,0.0,0.0,21.58165,10904.0
1994,23013.0,33752.0,486.0,3387.0,0.0,0.0,0.0,16.433729999999997,9848.4
1995,48033.0,30246.0,497.0,3087.0,0.0,0.0,0.0,13.935170000000001,7783.6
1996,44751.0,34097.0,521.0,3079.0,0.0,0.0,0.0,11.15358,6136.4
1997,41055.0,30512.0,511.0,3137.0,0.0,0.0,0.0,9.636339999999999,5684.0
1998,49548.0,34594.0,502.0,2758.0,0.0,0.0,0.0,9.01298,4634.2
1999,40737.0,33372.0,495.0,3230.0,0.0,0.0,0.0,8.258560000000001,4094.8
2000,38334.0,35176.0,493.0,3518.0,0.0,0.0,0.0,6.92755,3601.8
2001,25542.0,33220.0,542.0,3500.0,0.0,0.0,0.0,6.88698,3317.6
2002,31141.0,34352.0,554.0,3803.0,0.0,0.0,0.0,6.5938300000000005,3207.4
2003,36371.0,35594.0,534.0,3895.0,0.0,0.0,0.0,5.91922,2859.4
2004,34141.0,30268.0,571.0,4306.0,0.0,0.0,0.0,5.647819999999999,2685.4
2005,39632.0,36155.0,537.0,4262.0,0.0,0.0,0.0,5.29371,2592.6
2006,48047.0,31959.0,495.0,4883.0,0.0,0.0,0.0,5.15897,2470.8
2007,27328.0,35792.0,557.0,5585.0,0.0,0.0,0.0,4.76767,2366.4
2008,24128.0,32482.0,670.0,5385.0,0.0,0.0,0.0,4.156000000000001,2528.8
2009,27888.0,31764.0,647.0,5840.0,0.0,0.0,0.0,4.124,2639.0
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
