Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.79,10515.4
1961,15368.0,5.0,0.0,0.0,0.0,0.0,0.0,5862.581999999999,9616.4
1962,22835.0,7.0,0.0,0.0,0.0,0.0,0.0,4351.502,9216.2
1963,25334.0,193.0,0.0,0.0,0.0,0.0,0.0,4045.202,9738.2
1964,22098.0,367.0,0.0,0.0,0.0,0.0,0.0,3190.625,10869.2
1965,30523.0,270.0,0.0,0.0,0.0,0.0,0.0,3410.14,9465.6
1966,26236.0,163.0,0.0,0.0,0.0,0.0,0.0,2755.679,10063.0
1967,35277.0,563.0,0.0,0.0,0.0,0.0,0.0,3917.577,11437.6
1968,27175.0,1505.0,0.0,0.0,0.0,0.0,0.0,4729.272,8885.6
1969,40418.0,2458.0,0.0,0.0,0.0,0.0,0.0,4963.081,7284.8
1970,38082.0,3132.0,0.0,0.0,0.0,0.0,0.0,3428.518,6925.2
1971,39018.0,3519.0,0.0,0.0,0.0,0.0,0.0,2248.242,6530.8
1972,31755.0,3175.0,0.0,0.0,0.0,0.0,0.0,3756.259,5904.4
1973,38754.0,2631.0,0.0,0.0,0.0,0.0,0.0,4675.17,5608.6
1974,46422.0,3698.0,0.0,0.0,0.0,0.0,0.0,5104.77,5196.8
1975,40103.0,6071.0,0.0,0.0,0.0,0.0,0.0,7742.42,5075.0
1976,23193.0,4807.0,0.0,0.0,0.0,0.0,0.0,9364.29,4970.6
1977,14251.0,8115.0,0.0,0.0,0.0,0.0,0.0,10799.502,4779.2
1978,37206.0,7659.0,0.0,0.0,0.0,0.0,0.0,14065.41,4941.6
1979,33920.0,8762.0,0.0,0.0,0.0,0.0,0.0,15740.25,4959.0
1980,40780.0,4920.0,0.0,0.0,0.0,0.0,0.0,16034.075,4779.2
1981,29764.0,3206.0,0.0,0.0,0.0,0.0,0.0,16395.48,4877.8
1982,50226.0,3735.0,0.0,0.0,0.0,0.0,0.0,16242.171,4837.2
1983,56885.0,5613.0,0.0,1.0,0.0,0.0,0.0,18317.572,4819.8
1984,43159.0,14144.0,5.0,4.0,0.0,0.0,0.0,25880.4,4872.0
1985,31717.0,19729.0,11.0,3.0,0.0,0.0,0.0,32476.269,6211.8
1986,41459.0,26215.0,14.0,3.0,0.0,0.0,0.0,30832.956000000002,4947.4
1987,24564.0,30387.0,10.0,4.0,0.0,0.0,0.0,26446.28,4118.0
1988,23474.0,30863.0,9.0,1.0,0.0,0.0,0.0,24135.195,3265.4
1989,30801.0,32519.0,250.0,2079.0,0.0,0.0,0.0,21025.557,2888.4
1990,23793.0,32693.0,367.0,2759.0,0.0,0.0,0.0,25773.69,2407.0
1991,21957.0,31542.0,471.0,2915.0,0.0,0.0,0.0,23414.756,2476.6
1992,20167.0,35244.0,399.0,2864.0,0.0,0.0,0.0,24189.732000000004,2343.2
1993,40493.0,31581.0,462.0,2984.0,0.0,0.0,0.0,21797.30494,1943.0
1994,23013.0,33752.0,486.0,3387.0,0.0,0.0,0.0,21038.15261,1734.2
1995,48033.0,30246.0,497.0,3087.0,0.0,0.0,0.0,18914.79394,1763.2
1996,44751.0,34097.0,521.0,3079.0,0.0,0.0,0.0,18602.68199,1792.2
1997,41055.0,30512.0,511.0,3137.0,0.0,0.0,0.0,16608.996759999998,1600.8
1998,49548.0,34594.0,502.0,2758.0,0.0,0.0,0.0,17167.01712,1258.6
1999,40737.0,33372.0,495.0,3230.0,0.0,0.0,0.0,16557.424430000003,1194.8
2000,38334.0,35176.0,493.0,3518.0,0.0,0.0,0.0,18253.77144,1218.0
2001,25542.0,33220.0,542.0,3500.0,0.0,0.0,0.0,28592.813739999998,962.8
2002,31141.0,34352.0,554.0,3803.0,0.0,0.0,0.0,37662.95419,957.0
2003,36371.0,35594.0,534.0,3895.0,0.0,0.0,0.0,37113.1098,835.2
2004,34141.0,30268.0,571.0,4306.0,0.0,0.0,0.0,47247.13994,986.0
2005,39632.0,36155.0,537.0,4262.0,0.0,0.0,0.0,56559.41492999999,1142.6
2006,48047.0,31959.0,495.0,4883.0,0.0,0.0,0.0,57155.56673,1850.2
2007,27328.0,35792.0,557.0,5585.0,0.0,587.84367,99.82368,56260.73702000001,2204.0
2008,24128.0,32482.0,670.0,5385.0,0.0,12100.92896,2063.82863,51376.72,2238.8
2009,27888.0,31764.0,647.0,5840.0,0.0,6930.557040000002,1189.409,45790.829000000005,1966.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
