Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,796647.51936,0.0,0.0,36903.702000000005,31349.0
1961,15368.0,5.0,0.0,0.0,756037.42848,0.0,0.0,37260.729,32706.2
1962,22835.0,7.0,0.0,0.0,800588.88,0.0,0.0,37592.181000000004,33843.0
1963,25334.0,193.0,0.0,0.0,863111.0592,0.0,0.0,37663.791,35026.2
1964,22098.0,367.0,0.0,0.0,875310.5088,0.0,0.0,38167.107,91982.2
1965,30523.0,270.0,0.0,0.0,924108.3072,0.0,0.0,36504.732,74866.4
1966,26236.0,163.0,0.0,0.0,1016800.66368,0.0,0.0,44125.059,63214.2
1967,35277.0,563.0,0.0,0.0,1079510.52672,0.0,0.0,42265.245,57559.2
1968,27175.0,1505.0,0.0,0.0,1133680.77504,0.0,0.0,43654.47900000001,64983.2
1969,40418.0,2458.0,0.0,0.0,1202161.91616,0.0,0.0,50938.239,63637.6
1970,38082.0,3132.0,0.0,0.0,1298561.02848,0.0,0.0,53311.599,57211.2
1971,39018.0,3519.0,0.0,0.0,1206595.94688,0.0,0.0,81740.769,48058.8
1972,31755.0,3175.0,0.0,0.0,1195710.28416,0.0,0.0,92064.885,54276.4
1973,38754.0,2631.0,0.0,0.0,1031681.44728,0.0,0.0,95950.25,51016.8
1974,46422.0,3698.0,0.0,0.0,996980.93222,0.0,0.0,94448.43,52710.4
1975,40103.0,6071.0,0.0,0.0,1019413.8864,0.0,0.0,86914.08,55552.4
1976,23193.0,4807.0,0.0,0.0,1026691.50264,0.0,0.0,91113.275,57965.2
1977,14251.0,8115.0,0.0,0.0,1057729.9525,0.0,0.0,101710.84800000001,60082.2
1978,37206.0,7659.0,0.0,0.0,917578.09521,0.0,0.0,116722.254,64693.2
1979,33920.0,8762.0,0.0,0.0,973964.21672,0.0,0.0,126504.4319,69327.4
1980,40780.0,4920.0,0.0,0.0,881261.1133600002,0.0,0.0,141077.696,74982.4
1981,29764.0,3206.0,0.0,0.0,849990.51006,0.0,0.0,144415.00827,78595.8
1982,50226.0,3735.0,0.0,0.0,842997.8184,2885.333010000001,450.26467,142442.44728,84511.8
1983,56885.0,5613.0,0.0,1.0,790470.9373,5420.6395299999995,849.0124699999999,156489.51964,86831.8
1984,43159.0,14144.0,5.0,4.0,915354.92048,6472.09856,1017.26771,193446.16685,88571.8
1985,31717.0,19729.0,11.0,3.0,831074.2189399998,6939.36245,1094.58817,190374.83416,86930.4
1986,41459.0,26215.0,14.0,3.0,855432.43245,7334.47062,1161.0557,190556.2889,77963.6
1987,24564.0,30387.0,10.0,4.0,840103.6166,8017.62458,1273.74181,174172.92382999999,70487.4
1988,23474.0,30863.0,9.0,1.0,798665.12064,8042.35115,1282.27428,173438.29950999998,67947.0
1989,30801.0,32519.0,250.0,2079.0,787935.319,7579.276140000001,1212.78458,166521.73889,59247.0
1990,23793.0,32693.0,367.0,2759.0,826283.26116,6348.3371,1019.34745,160911.77718,58046.4
1991,21957.0,31542.0,471.0,2915.0,720901.08475,7422.0017,1196.05543,154238.25154,53104.8
1992,20167.0,35244.0,399.0,2864.0,720512.1841600002,6604.76703,1068.24599,150157.60386,53342.6
1993,40493.0,31581.0,462.0,2984.0,686181.57632,7184.044190000001,1166.00245,142673.54305,48035.6
1994,23013.0,33752.0,486.0,3387.0,711786.87909,8434.1698,1373.92975,137226.57426,50796.4
1995,48033.0,30246.0,497.0,3087.0,620991.49284,3969.87985,648.97432,131304.85272999998,47896.4
1996,44751.0,34097.0,521.0,3079.0,675076.07268,0.0,0.0,123928.68396,48169.0
1997,41055.0,30512.0,511.0,3137.0,689465.8614,0.0,0.0,121612.49407999999,49839.4
1998,49548.0,34594.0,502.0,2758.0,659398.38272,0.0,0.0,119812.8424,37937.8
1999,40737.0,33372.0,495.0,3230.0,531258.1504,0.0,0.0,113689.15160999999,34626.0
2000,38334.0,35176.0,493.0,3518.0,528236.2683,0.0,0.0,109669.15933,38135.0
2001,25542.0,33220.0,542.0,3500.0,598946.2239999999,0.0,0.0,104441.69876,35095.8
2002,31141.0,34352.0,554.0,3803.0,507902.34695,0.0,0.0,107186.91157000001,34823.2
2003,36371.0,35594.0,534.0,3895.0,539441.47036,0.0,0.0,97113.08512999999,32752.6
2004,34141.0,30268.0,571.0,4306.0,568593.45664,0.0,0.0,94633.31834,33553.0
2005,39632.0,36155.0,537.0,4262.0,606427.20994,230.95722,38.8703,87157.77838999999,32781.6
2006,48047.0,31959.0,495.0,4883.0,557935.3017,397.67484,67.22841,89688.53203,31447.6
2007,27328.0,35792.0,557.0,5585.0,555706.2,246.89434,41.92594,91366.99136,31639.0
2008,24128.0,32482.0,670.0,5385.0,638424.32,46558.78256,7940.658840000001,88252.32,33147.0
2009,27888.0,31764.0,647.0,5840.0,670149.636,36454.73001,6256.29136,92465.784,33837.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
