Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,33923.11626,0.0,0.0,902031.89651,1118895.4
1961,15368.0,5.0,0.0,0.0,26086.92696,0.0,0.0,976919.06244,1119869.8
1962,22835.0,7.0,0.0,0.0,26491.37544,0.0,0.0,1160791.0154799998,1175845.6
1963,25334.0,193.0,0.0,0.0,25480.25424,0.0,0.0,1350294.47115,1171379.6
1964,22098.0,367.0,0.0,0.0,25985.81484,0.0,0.0,1448246.06562,1174639.2
1965,30523.0,270.0,0.0,0.0,24620.80122,0.0,0.0,1445625.1078299999,1179957.8
1966,26236.0,163.0,0.0,0.0,21309.37929,0.0,0.0,1478707.17628,1304066.2
1967,35277.0,563.0,0.0,0.0,20803.81869,0.0,0.0,1546257.84909,1338344.2
1968,27175.0,1505.0,0.0,0.0,27527.77467,0.0,0.0,1522107.82969,1297013.4
1969,40418.0,2458.0,0.0,0.0,46461.01914,0.0,0.0,1667470.8543,1303428.2
1970,38082.0,3132.0,0.0,0.0,61349.77881,0.0,0.0,1745418.90496,1296729.2
1971,39018.0,3519.0,0.0,0.0,56471.11902000001,0.0,0.0,1838793.58986,1237215.4
1972,31755.0,3175.0,0.0,0.0,66329.55072,0.0,0.0,1966628.35599,1204271.4
1973,38754.0,2631.0,0.0,0.0,51615.74703,0.0,0.0,1920043.6975200002,1108983.2
1974,46422.0,3698.0,0.0,0.0,56268.20664,0.0,0.0,1799917.7536099998,1031153.0
1975,40103.0,6071.0,0.0,0.0,68620.78216,0.0,0.0,1731205.47455,946113.4
1976,23193.0,4807.0,0.0,0.0,87876.2704,0.0,0.0,1840067.8109400002,936270.8
1977,14251.0,8115.0,0.0,0.0,143469.78814000002,0.0,0.0,1910601.2004200001,907015.6
1978,37206.0,7659.0,0.0,0.0,144227.0848,0.0,0.0,1915968.46405,872644.8
1979,33920.0,8762.0,0.0,0.0,118380.34765,0.0,0.0,2006422.96087,833123.6
1980,40780.0,4920.0,0.0,0.0,127956.8091,0.0,0.0,2079923.38385,870812.0
1981,29764.0,3206.0,0.0,0.0,133636.98546,0.0,0.0,2238931.87934,893524.8
1982,50226.0,3735.0,0.0,0.0,113694.84828,0.0,0.0,2184709.61716,920001.8
1983,56885.0,5613.0,0.0,1.0,88475.03094,0.0,0.0,2005374.7951200001,919903.2
1984,43159.0,14144.0,5.0,4.0,112485.4784,0.0,0.0,2256969.7574,976633.0
1985,31717.0,19729.0,11.0,3.0,81736.07756,0.0,0.0,2214808.03057,943886.2
1986,41459.0,26215.0,14.0,3.0,77035.36536,0.0,0.0,2196550.53469,864809.0
1987,24564.0,30387.0,10.0,4.0,72536.5809,0.0,0.0,2313377.0143,779392.4
1988,23474.0,30863.0,9.0,1.0,53993.87208,0.0,0.0,2427370.17919,747457.6
1989,30801.0,32519.0,250.0,2079.0,43169.2027,0.0,0.0,2463319.73514,681459.4
1990,23793.0,32693.0,367.0,2759.0,42166.48494,0.0,0.0,2486955.36055,651183.4
1991,21957.0,31542.0,471.0,2915.0,47806.03863,0.0,0.0,2373347.77239,626945.2
1992,20167.0,35244.0,399.0,2864.0,43467.63405,0.0,0.0,2242262.01266,590480.6
1993,40493.0,31581.0,462.0,2984.0,42011.43582,0.0,0.0,2272915.5597200003,560425.0
1994,23013.0,33752.0,486.0,3387.0,50754.86052,0.0,0.0,2156199.01774,527643.4
1995,48033.0,30246.0,497.0,3087.0,48454.62244,0.0,0.0,2005575.9981099998,507442.0
1996,44751.0,34097.0,521.0,3079.0,44444.47644,0.0,0.0,1937064.3669999999,495198.2
1997,41055.0,30512.0,511.0,3137.0,40638.94009,0.0,0.0,1876999.6121599998,483511.2
1998,49548.0,34594.0,502.0,2758.0,42071.03714,0.0,0.0,1836249.36284,449952.4
1999,40737.0,33372.0,495.0,3230.0,42169.76698,0.0,0.0,1775092.75115,409224.8
2000,38334.0,35176.0,493.0,3518.0,40687.91068,0.0,0.0,1785952.2283700001,405860.8
2001,25542.0,33220.0,542.0,3500.0,42809.73814,0.0,0.0,1806899.05539,397479.8
2002,31141.0,34352.0,554.0,3803.0,33898.91308,0.0,0.0,1761216.23483,386523.6
2003,36371.0,35594.0,534.0,3895.0,37410.7303,0.0,0.0,1728003.6626799998,379064.8
2004,34141.0,30268.0,571.0,4306.0,41850.2784,0.0,0.0,1844088.18779,362511.6
2005,39632.0,36155.0,537.0,4262.0,39664.00064,0.0,0.0,1830154.1491,360423.6
2006,48047.0,31959.0,495.0,4883.0,43051.82508,0.0,0.0,1886482.8136200001,364477.8
2007,27328.0,35792.0,557.0,5585.0,34845.312000000005,0.0,0.0,2018755.1006900002,353521.6
2008,24128.0,32482.0,670.0,5385.0,29851.052000000003,0.0,0.0,2103325.6186599997,371577.0
2009,27888.0,31764.0,647.0,5840.0,18276.808,0.0,0.0,2086348.4631400001,388704.4
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
