Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,148915.2867,0.0,0.0,64.38600000000001,116.0
1961,15368.0,5.0,0.0,0.0,147157.4334,0.0,0.0,72.562,98.6
1962,22835.0,7.0,0.0,0.0,156047.14865999998,0.0,0.0,76.65,81.2
1963,25334.0,193.0,0.0,0.0,153711.71499,0.0,0.0,91.98,92.8
1964,22098.0,367.0,0.0,0.0,150422.0181,0.0,0.0,78.694,58.0
1965,30523.0,270.0,0.0,0.0,147282.99435,0.0,0.0,86.87,63.8
1966,26236.0,163.0,0.0,0.0,158432.80671,0.0,0.0,0.0,40.6
1967,35277.0,563.0,0.0,0.0,171566.48208,0.0,0.0,59.276,40.6
1968,27175.0,1505.0,0.0,0.0,204614.12412,0.0,0.0,49.056000000000004,34.8
1969,40418.0,2458.0,0.0,0.0,202956.71958,0.0,0.0,58.254,185.6
1970,38082.0,3132.0,0.0,0.0,206849.10903,0.0,0.0,65.408,1792.2
1971,39018.0,3519.0,0.0,0.0,232815.11349,0.0,0.0,90.958,2308.4
1972,31755.0,3175.0,0.0,0.0,282763.2594,0.0,0.0,25.55,1148.4
1973,38754.0,2631.0,0.0,0.0,197037.29241,0.0,0.0,20.44,1165.8
1974,46422.0,3698.0,0.0,0.0,174791.55703,0.0,0.0,17.34,4460.2
1975,40103.0,6071.0,0.0,0.0,189767.27858,0.0,0.0,27.837,3955.6
1976,23193.0,4807.0,0.0,0.0,221456.64045,0.0,0.0,48.363,3468.4
1977,14251.0,8115.0,0.0,0.0,221425.24251,0.0,0.0,271.153,4756.0
1978,37206.0,7659.0,0.0,0.0,236698.11792,0.0,0.0,481.10400000000004,3439.4
1979,33920.0,8762.0,0.0,0.0,209549.33439,0.0,0.0,971.6766,3561.2
1980,40780.0,4920.0,0.0,0.0,239029.659,0.0,0.0,1260.856,4309.4
1981,29764.0,3206.0,0.0,0.0,258106.1688,0.0,0.0,1746.504,5324.4
1982,50226.0,3735.0,0.0,0.0,183943.48,480.6835,75.01207,3047.4240000000004,6565.6
1983,56885.0,5613.0,0.0,1.0,165982.8688,3612.21665,565.76664,4040.85,6124.8
1984,43159.0,14144.0,5.0,4.0,183261.43984,5117.81938,804.4056099999998,5142.528,5336.0
1985,31717.0,19729.0,11.0,3.0,185152.01262,5487.30884,865.5468599999998,4845.3240000000005,4558.8
1986,41459.0,26215.0,14.0,3.0,171634.58399999994,5799.74108,918.10613,3574.848,3735.2
1987,24564.0,30387.0,10.0,4.0,160941.7744,6339.94585,1007.2128,2793.6240000000003,3561.2
1988,23474.0,30863.0,9.0,1.0,163480.3569,6359.49842,1013.95986,2165.1,3485.8
1989,30801.0,32519.0,250.0,2079.0,162632.6424,5993.32132,959.0108,1960.8,3085.6
1990,23793.0,32693.0,367.0,2759.0,156330.08479000002,5019.95486,806.05017,2139.345,2934.8
1991,21957.0,31542.0,471.0,2915.0,108022.4145,5868.95637,945.78221,1917.2479999999998,2813.0
1992,20167.0,35244.0,399.0,2864.0,88067.7622,5222.727129999998,844.7167400000002,1824.87,2905.8
1993,40493.0,31581.0,462.0,2984.0,77468.60385,5680.7912,922.01778,1718.1010399999998,2430.2
1994,23013.0,33752.0,486.0,3387.0,76206.58425,5426.9762,884.0566699999998,2053.68,2418.6
1995,48033.0,30246.0,497.0,3087.0,82105.25481,5319.393929999998,869.5855300000002,1876.42206,2221.4
1996,44751.0,34097.0,521.0,3079.0,91364.96064,2224.33767,364.90874,1744.08,2209.8
1997,41055.0,30512.0,511.0,3137.0,82707.438,4000.6589299999996,658.64877,1556.81103,2128.6
1998,49548.0,34594.0,502.0,2758.0,67036.36352,4792.39059,791.8061,1462.6,1664.6
1999,40737.0,33372.0,495.0,3230.0,75918.56156,4514.51522,746.98366,1263.21,1995.2
2000,38334.0,35176.0,493.0,3518.0,68026.53785,5500.81304,911.36133,1192.55104,2006.8
2001,25542.0,33220.0,542.0,3500.0,84823.52724,6115.70094,1014.55231,2073.99793,2035.8
2002,31141.0,34352.0,554.0,3803.0,81657.91524,8443.255790000001,1402.50155,2115.59897,1595.0
2003,36371.0,35594.0,534.0,3895.0,65616.96496,10039.78811,1675.0624,1862.01556,1803.8
2004,34141.0,30268.0,571.0,4306.0,73353.58888,9237.40935,1548.02561,2169.3,2093.8
2005,39632.0,36155.0,537.0,4262.0,82082.59142000001,8842.36205,1488.17722,2276.99897,1879.2
2006,48047.0,31959.0,495.0,4883.0,71956.50036,8881.40487,1501.43439,2763.76115,1113.6
2007,27328.0,35792.0,557.0,5585.0,67714.156,9452.526259999999,1605.16474,4095.51565,1647.2
2008,24128.0,32482.0,670.0,5385.0,59085.558,11505.04989,1962.20071,4873.9,1995.2
2009,27888.0,31764.0,647.0,5840.0,50347.10400000001,23725.60692,4071.74349,5631.384,1554.4
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
