Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,26409.18342,0.0,0.0,6610703.860719999,5379378.2
1961,15368.0,5.0,0.0,0.0,26535.06132,0.0,0.0,6690243.83328,5447307.8
1962,22835.0,7.0,0.0,0.0,25855.32066,0.0,0.0,6821056.63563,5471302.4
1963,25334.0,193.0,0.0,0.0,27441.3822,0.0,0.0,6961089.8867,5671443.0
1964,22098.0,367.0,0.0,0.0,28838.62689,0.0,0.0,7320770.4032,5739245.0
1965,30523.0,270.0,0.0,0.0,30349.16169,0.0,0.0,7445189.80767,5804344.2
1966,26236.0,163.0,0.0,0.0,28360.29087,0.0,0.0,7801078.48615,6134694.8
1967,35277.0,563.0,0.0,0.0,27101.51187,0.0,0.0,8064835.59743,6495779.6
1968,27175.0,1505.0,0.0,0.0,28838.62689,0.0,0.0,8408696.969589999,6573604.0
1969,40418.0,2458.0,0.0,0.0,28309.93971,0.0,0.0,8810076.48582,6680295.0
1970,38082.0,3132.0,0.0,0.0,29077.7949,0.0,0.0,9376066.64581,7248242.6
1971,39018.0,3519.0,0.0,0.0,28360.29087,0.0,0.0,9595859.889630001,7092970.8
1972,31755.0,3175.0,0.0,0.0,50917.61055,0.0,0.0,9733316.363489999,7549773.0
1973,38754.0,2631.0,0.0,0.0,97216.0,0.0,0.0,9559534.67428,7509091.8
1974,46422.0,3698.0,0.0,0.0,107576.0,0.0,0.0,9176624.98543,7320330.8
1975,40103.0,6071.0,0.0,0.0,144159.7561,0.0,0.0,8415741.68625,7087188.2
1976,23193.0,4807.0,0.0,0.0,182650.66589,0.0,0.0,8095614.87307,6899233.4
1977,14251.0,8115.0,0.0,0.0,209460.04225,0.0,0.0,7942018.854719999,6599704.0
1978,37206.0,7659.0,0.0,0.0,265268.003,0.0,0.0,7361538.99883,6229490.0
1979,33920.0,8762.0,0.0,0.0,356524.1370000001,0.0,0.0,7999621.090260001,5904945.2
1980,40780.0,4920.0,0.0,0.0,385040.8211,0.0,0.0,7966294.778639999,5669128.8
1981,29764.0,3206.0,0.0,0.0,418837.56786,7.292789999999999,1.13406,7786476.104669999,5481765.6
1982,50226.0,3735.0,0.0,0.0,448800.88638,24.32703,3.7963,7302001.16219,5366716.8
1983,56885.0,5613.0,0.0,1.0,493047.98862,45.702890000000004,7.15826,6722393.48769,5235520.8
1984,43159.0,14144.0,5.0,4.0,515268.7098,54.56803000000001,8.57686,7060735.79078,5247689.2
1985,31717.0,19729.0,11.0,3.0,574734.0456899999,58.50765,9.22877,6924656.325139999,5155219.8
1986,41459.0,26215.0,14.0,3.0,615490.0159,61.838919999999995,9.78918,7018350.48558,4869714.8
1987,24564.0,30387.0,10.0,4.0,640051.34829,67.59878,10.73926,6972153.487819999,4554605.75014
1988,23474.0,30863.0,9.0,1.0,658102.24899,67.80725,10.8112,7132908.584480001,4424759.91622
1989,30801.0,32519.0,250.0,2079.0,675279.6143199999,63.90294,10.22532,7054657.82819,4151047.32184
1990,23793.0,32693.0,367.0,2759.0,706720.2723,53.52456,8.5944,7175830.177689999,4077495.55489
1991,21957.0,31542.0,471.0,2915.0,674066.6225,62.576919999999994,10.08427,7110440.2411,4099176.07183
1992,20167.0,35244.0,399.0,2864.0,685491.31611,55.68659,9.00667,7020275.513230001,3908960.16098
1993,40493.0,31581.0,462.0,2984.0,682967.12004,0.0,0.0,7058330.02047,3717387.87724
1994,23013.0,33752.0,486.0,3387.0,660044.3239600001,0.0,0.0,7200826.91362,3592787.71004
1995,48033.0,30246.0,497.0,3087.0,664511.1946,0.0,0.0,7174481.38227,3482313.55183
1996,44751.0,34097.0,521.0,3079.0,709509.43848,0.0,0.0,7303998.16577,3455057.85539
1997,41055.0,30512.0,511.0,3137.0,687914.13504,0.0,0.0,7228302.747,3445784.89047
1998,49548.0,34594.0,502.0,2758.0,677016.11577,0.0,0.0,7253721.6546600005,3252953.18895
1999,40737.0,33372.0,495.0,3230.0,671988.64176,0.0,0.0,6983174.0174,2973143.69376
2000,38334.0,35176.0,493.0,3518.0,632360.21406,0.0,0.0,7180897.6136,2970430.43811
2001,25542.0,33220.0,542.0,3500.0,578695.56222,0.0,0.0,7172333.48481,2951557.72145
2002,31141.0,34352.0,554.0,3803.0,581167.85198,0.0,0.0,6892161.77436,2902191.01745
2003,36371.0,35594.0,534.0,3895.0,594734.17608,0.0,0.0,7008036.62594,2846892.68019
2004,34141.0,30268.0,571.0,4306.0,572488.5665399999,0.0,0.0,6908959.024130001,2780290.24531
2005,39632.0,36155.0,537.0,4262.0,595611.53853,0.0,0.0,6934171.927519999,2766663.16518
2006,48047.0,31959.0,495.0,4883.0,593495.90576,0.0,0.0,7071527.721480001,2752514.92996
2007,27328.0,35792.0,557.0,5585.0,554720.3520000001,0.0,0.0,7548608.94205,2647511.14297
2008,24128.0,32482.0,670.0,5385.0,515492.604,26356.18998000001,4495.0813,8228007.778519999,2593041.28979
2009,27888.0,31764.0,647.0,5840.0,455507.14,23217.36607,3984.52016,8074816.24109,2646911.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
