Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,114689.0246,0.0,0.0,51217.74165,218045.2
1961,15368.0,5.0,0.0,0.0,119410.83308,0.0,0.0,57374.10617000001,192084.4
1962,22835.0,7.0,0.0,0.0,99458.87764,0.0,0.0,74386.14327999999,179968.2
1963,25334.0,193.0,0.0,0.0,100917.0832,0.0,0.0,77390.56958,193923.0
1964,22098.0,367.0,0.0,0.0,109249.6864,0.0,0.0,80454.20135,165735.0
1965,30523.0,270.0,0.0,0.0,115545.43104,0.0,0.0,71865.39549,146728.4
1966,26236.0,163.0,0.0,0.0,107282.2662,0.0,0.0,69607.5601,139849.6
1967,35277.0,563.0,0.0,0.0,96635.051,0.0,0.0,49135.51567,139478.4
1968,27175.0,1505.0,0.0,0.0,99898.65392,0.0,0.0,46311.7162,136323.2
1969,40418.0,2458.0,0.0,0.0,107791.48084,0.0,0.0,46895.74296,135111.0
1970,38082.0,3132.0,0.0,0.0,109550.58596,0.0,0.0,42929.98052,135546.0
1971,39018.0,3519.0,0.0,0.0,107073.95112,0.0,0.0,47428.56359,137054.0
1972,31755.0,3175.0,0.0,0.0,111147.66824,0.0,0.0,43823.25457,154106.0
1973,38754.0,2631.0,0.0,0.0,134315.335,0.0,0.0,47256.667460000004,189404.8
1974,46422.0,3698.0,0.0,0.0,142065.93138,0.0,0.0,55828.947570000004,228305.4
1975,40103.0,6071.0,0.0,0.0,165908.12595,0.0,0.0,59420.367139999995,245345.8
1976,23193.0,4807.0,0.0,0.0,179079.51722,0.0,0.0,61884.3076,198963.2
1977,14251.0,8115.0,0.0,0.0,198554.55766,0.0,0.0,65896.07272000001,192055.4
1978,37206.0,7659.0,0.0,0.0,210600.13887,0.0,0.0,62182.12985,181934.4
1979,33920.0,8762.0,0.0,0.0,280171.79791,0.0,0.0,64851.745279999996,160822.4
1980,40780.0,4920.0,0.0,0.0,309778.12356,0.0,0.0,104187.66634,144872.4
1981,29764.0,3206.0,0.0,0.0,319632.22794,0.0,0.0,108861.4203,149988.0
1982,50226.0,3735.0,0.0,0.0,396545.12734,0.0,0.0,98054.66522000001,130152.0
1983,56885.0,5613.0,0.0,1.0,271784.902,0.0,0.0,75919.71376,171297.2
1984,43159.0,14144.0,5.0,4.0,285332.53381,0.0,0.0,88109.14846,201196.2
1985,31717.0,19729.0,11.0,3.0,301122.2322,0.0,0.0,96835.69132,236593.6
1986,41459.0,26215.0,14.0,3.0,331530.08401,0.0,0.0,104635.17261000001,227197.6
1987,24564.0,30387.0,10.0,4.0,383551.65932,0.0,0.0,116386.87840999999,207576.2
1988,23474.0,30863.0,9.0,1.0,420402.97756,0.0,0.0,146704.55187999998,191492.8
1989,30801.0,32519.0,250.0,2079.0,459837.67244,0.0,0.0,161963.17927,164807.0
1990,23793.0,32693.0,367.0,2759.0,511405.9068,0.0,0.0,189348.27664,160103.2
1991,21957.0,31542.0,471.0,2915.0,507978.69045,0.0,0.0,180438.40915999998,141908.6
1992,20167.0,35244.0,399.0,2864.0,492997.0509,0.0,0.0,204651.50573,131776.0
1993,40493.0,31581.0,462.0,2984.0,506837.07333,0.0,0.0,266161.44817,126561.8
1994,23013.0,33752.0,486.0,3387.0,566914.42485,0.0,0.0,312008.18084,119833.8
1995,48033.0,30246.0,497.0,3087.0,586398.14676,0.0,0.0,279414.51478,115930.4
1996,44751.0,34097.0,521.0,3079.0,640410.27204,0.0,0.0,278775.46749,112525.8
1997,41055.0,30512.0,511.0,3137.0,616383.97075,0.0,0.0,295689.99579,112038.6
1998,49548.0,34594.0,502.0,2758.0,600793.032,0.0,0.0,308880.56317,111354.2
1999,40737.0,33372.0,495.0,3230.0,620369.4417,0.0,0.0,294827.60523000004,94267.4
2000,38334.0,35176.0,493.0,3518.0,631270.3241600001,0.0,0.0,302188.88891,90688.8
2001,25542.0,33220.0,542.0,3500.0,640594.04892,0.0,0.0,316851.02233,88461.6
2002,31141.0,34352.0,554.0,3803.0,586925.52088,0.0,0.0,295223.24755,79320.8
2003,36371.0,35594.0,534.0,3895.0,536149.62797,0.0,0.0,289847.25565,75956.8
2004,34141.0,30268.0,571.0,4306.0,490146.3590600001,0.0,0.0,298102.66893000004,84848.2
2005,39632.0,36155.0,537.0,4262.0,554221.4351100001,0.0,0.0,321688.63593000005,96575.8
2006,48047.0,31959.0,495.0,4883.0,593320.9765,0.0,0.0,372315.03942,103878.0
2007,27328.0,35792.0,557.0,5585.0,556435.844,0.0,0.0,402047.7083,113216.0
2008,24128.0,32482.0,670.0,5385.0,564147.21,0.0,0.0,463960.21067,127588.4
2009,27888.0,31764.0,647.0,5840.0,502597.956,0.0,0.0,475936.96209,132976.6
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
