Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,752354.52046,0.0,0.0,2284.902,11.6
1961,15368.0,5.0,0.0,0.0,818668.56632,0.0,0.0,2530.116,11.6
1962,22835.0,7.0,0.0,0.0,794605.7767,0.0,0.0,2563.974,17.4
1963,25334.0,193.0,0.0,0.0,823683.94191,0.0,0.0,2139.21,17.4
1964,22098.0,367.0,0.0,0.0,855444.79863,0.0,0.0,1650.8339999999998,34.8
1965,30523.0,270.0,0.0,0.0,921140.4606,0.0,0.0,3233.952,23.2
1966,26236.0,163.0,0.0,0.0,961709.6085,0.0,0.0,4359.474,5.8
1967,35277.0,563.0,0.0,0.0,992721.02215,0.0,0.0,3917.268,17.4
1968,27175.0,1505.0,0.0,0.0,998969.184,0.0,0.0,3477.114,17.4
1969,40418.0,2458.0,0.0,0.0,964454.9746,0.0,0.0,2919.9959999999996,5.8
1970,38082.0,3132.0,0.0,0.0,960259.5252,0.0,0.0,2877.93,5.8
1971,39018.0,3519.0,0.0,0.0,838224.34748,0.0,0.0,2687.094,5.8
1972,31755.0,3175.0,0.0,0.0,930648.10544,0.0,0.0,2859.462,0.0
1973,38754.0,2631.0,0.0,0.0,867073.23384,0.0,0.0,5228.525,0.0
1974,46422.0,3698.0,0.0,0.0,862073.80506,0.0,0.0,7252.111999999999,17.4
1975,40103.0,6071.0,0.0,0.0,886808.2748,0.0,0.0,6850.736999999999,17.4
1976,23193.0,4807.0,0.0,0.0,1020379.55184,0.0,0.0,7068.803000000001,17.4
1977,14251.0,8115.0,0.0,0.0,947701.15376,0.0,0.0,8409.06,11.6
1978,37206.0,7659.0,0.0,0.0,803194.3185,0.0,0.0,8668.6336,11.6
1979,33920.0,8762.0,0.0,0.0,961043.57472,0.0,0.0,8726.8416,23.2
1980,40780.0,4920.0,0.0,0.0,1063349.42694,0.0,0.0,7936.991999999999,58.0
1981,29764.0,3206.0,0.0,0.0,1104466.7865799998,73.59085,11.44367,9116.671999999999,75.4
1982,50226.0,3735.0,0.0,0.0,1048591.8358,245.48182999999997,38.30816,7065.76,284.2
1983,56885.0,5613.0,0.0,1.0,933639.78122,461.18369,72.2333,4476.38,377.0
1984,43159.0,14144.0,5.0,4.0,1079424.98016,550.64099,86.54833,9221.436,185.6
1985,31717.0,19729.0,11.0,3.0,1100877.8282,590.39543,93.12669,15627.598999999998,150.8
1986,41459.0,26215.0,14.0,3.0,1106055.08052,624.01091,98.78169,16044.08,104.4
1987,24564.0,30387.0,10.0,4.0,1193986.69618,682.13311,108.36894,19991.92,92.8
1988,23474.0,30863.0,9.0,1.0,1243990.56756,684.23682,109.09487,19179.384,145.0
1989,30801.0,32519.0,250.0,2079.0,1155117.93676,644.8387700000002,103.18275,18670.335,133.4
1990,23793.0,32693.0,367.0,2759.0,1276213.71384,540.11146,86.72527,15394.508,92.8
1991,21957.0,31542.0,471.0,2915.0,1131252.69048,631.45799,101.75944,15532.052,75.4
1992,20167.0,35244.0,399.0,2864.0,1159687.82656,561.92831,90.88552,25697.587000000003,69.6
1993,40493.0,31581.0,462.0,2984.0,1046529.68358,598.3644400000002,97.11722,39504.961039999995,69.6
1994,23013.0,33752.0,486.0,3387.0,987555.28555,571.6298,93.11873,52169.32778,63.8
1995,48033.0,30246.0,497.0,3087.0,913518.00683,484.30883,79.17217,51362.59616,63.8
1996,44751.0,34097.0,521.0,3079.0,946719.2689,173.16102,28.40754,56407.676770000005,75.4
1997,41055.0,30512.0,511.0,3137.0,956412.83882,262.51899,43.21983,60811.696039999995,58.0
1998,49548.0,34594.0,502.0,2758.0,905966.89995,260.01054,42.95934000000001,59725.779389999996,29.0
1999,40737.0,33372.0,495.0,3230.0,854724.9750600002,197.13736,32.61887,74932.09272999999,46.4
2000,38334.0,35176.0,493.0,3518.0,870043.86884,185.81569,30.785490000000006,74049.42069,52.2
2001,25542.0,33220.0,542.0,3500.0,863870.0322,149.98406,24.88131,74189.90122999999,63.8
2002,31141.0,34352.0,554.0,3803.0,793381.16418,133.76552,22.21967,79529.63022,127.6
2003,36371.0,35594.0,534.0,3895.0,827936.69221,77.13879,12.87002,148815.57145999998,29.0
2004,34141.0,30268.0,571.0,4306.0,817768.92351,0.0,0.0,88073.37492999999,110.2
2005,39632.0,36155.0,537.0,4262.0,716557.36592,0.0,0.0,92153.90703999999,46.4
2006,48047.0,31959.0,495.0,4883.0,768442.5627199998,0.0,0.0,106530.2313,40.6
2007,27328.0,35792.0,557.0,5585.0,656314.36826,0.0,0.0,116538.90664000002,104.4
2008,24128.0,32482.0,670.0,5385.0,623303.128,0.0,0.0,133335.25199999998,40.6
2009,27888.0,31764.0,647.0,5840.0,535642.8,0.0,0.0,145804.568,81.2
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
