Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,3713.67312,0.0,0.0,0.0,5.8
1961,15368.0,5.0,0.0,0.0,3111.01564,0.0,0.0,0.0,0.0
1962,22835.0,7.0,0.0,0.0,3827.6894,0.0,0.0,0.0,0.0
1963,25334.0,193.0,0.0,0.0,3094.7276,0.0,0.0,0.0,0.0
1964,22098.0,367.0,0.0,0.0,1107.58672,0.0,0.0,0.0,0.0
1965,30523.0,270.0,0.0,0.0,895.8422,0.0,0.0,0.0,0.0
1966,26236.0,163.0,0.0,0.0,960.99436,0.0,0.0,0.0,0.0
1967,35277.0,563.0,0.0,0.0,960.99436,0.0,0.0,0.0,0.0
1968,27175.0,1505.0,0.0,0.0,2899.27112,0.0,0.0,0.0,0.0
1969,40418.0,2458.0,0.0,0.0,944.70632,0.0,0.0,0.0,0.0
1970,38082.0,3132.0,0.0,0.0,602.65748,0.0,0.0,0.0,0.0
1971,39018.0,3519.0,0.0,0.0,18470.63736,0.0,0.0,0.0,0.0
1972,31755.0,3175.0,0.0,0.0,42902.69736000001,0.0,0.0,0.0,0.0
1973,38754.0,2631.0,0.0,0.0,52974.0,0.0,0.0,0.0,0.0
1974,46422.0,3698.0,0.0,0.0,63390.6,0.0,0.0,0.0,0.0
1975,40103.0,6071.0,0.0,0.0,60636.6,0.0,0.0,0.0,0.0
1976,23193.0,4807.0,0.0,0.0,66565.8,0.0,0.0,0.0,0.0
1977,14251.0,8115.0,0.0,0.0,81923.4,0.0,0.0,0.0,0.0
1978,37206.0,7659.0,0.0,0.0,76269.6,0.0,0.0,0.0,0.0
1979,33920.0,8762.0,0.0,0.0,82166.4,0.0,0.0,0.0,0.0
1980,40780.0,4920.0,0.0,0.0,83268.0,0.0,0.0,0.0,0.0
1981,29764.0,3206.0,0.0,0.0,75087.0,87.95543,13.67742,0.0,0.0
1982,50226.0,3735.0,0.0,0.0,67456.8,293.39871,45.78573,0.0,0.0
1983,56885.0,5613.0,0.0,1.0,63034.2,551.20453,86.3329,0.0,0.0
1984,43159.0,14144.0,5.0,4.0,62726.4,658.1234599999998,103.44214,0.0,0.0
1985,31717.0,19729.0,11.0,3.0,71895.6,705.63778,111.30457,0.0,0.0
1986,41459.0,26215.0,14.0,3.0,74536.2,745.81485,118.06341,0.0,0.0
1987,24564.0,30387.0,10.0,4.0,72073.8,815.28221,129.52203,0.0,0.0
1988,23474.0,30863.0,9.0,1.0,84209.1668,817.79657,130.38967,0.0,0.0
1989,30801.0,32519.0,250.0,2079.0,81690.30279,770.7082,123.32352,0.0,0.0
1990,23793.0,32693.0,367.0,2759.0,81056.10798,645.53862,103.65362,0.0,0.0
1991,21957.0,31542.0,471.0,2915.0,82320.04089,754.71555,121.6224,0.0,0.0
1992,20167.0,35244.0,399.0,2864.0,83183.50646,671.61402,108.62593,0.0,0.0
1993,40493.0,31581.0,462.0,2984.0,74932.97322,730.51855,118.56642,0.0,0.0
1994,23013.0,33752.0,486.0,3387.0,77210.0721,697.87933,113.68483,0.0,0.0
1995,48033.0,30246.0,497.0,3087.0,78433.06996000001,598.8100900000002,97.89021,0.0,0.0
1996,44751.0,34097.0,521.0,3079.0,72089.2931,217.46874,35.67635,0.0,0.0
1997,41055.0,30512.0,511.0,3137.0,71253.07685,336.25741,55.35976,0.0,0.0
1998,49548.0,34594.0,502.0,2758.0,72809.31834,341.71558,56.45877,0.0,0.0
1999,40737.0,33372.0,495.0,3230.0,63996.76116,268.28949,44.39189,0.0,0.0
2000,38334.0,35176.0,493.0,3518.0,66520.195,265.89493,44.05283,0.0,0.0
2001,25542.0,33220.0,542.0,3500.0,72134.4,232.1279,38.50841,0.0,0.0
2002,31141.0,34352.0,554.0,3803.0,91334.61226,238.2538,39.57612,0.0,0.0
2003,36371.0,35594.0,534.0,3895.0,97712.02656,191.41752,31.93656,0.0,0.0
2004,34141.0,30268.0,571.0,4306.0,89958.16755,96.51025,16.1734,0.0,0.0
2005,39632.0,36155.0,537.0,4262.0,82684.83624,61.58859,10.36541,0.0,0.0
2006,48047.0,31959.0,495.0,4883.0,40267.5564,0.0,0.0,0.0,0.0
2007,27328.0,35792.0,557.0,5585.0,0.0,0.0,0.0,0.0,0.0
2008,24128.0,32482.0,670.0,5385.0,0.0,0.0,0.0,0.0,0.0
2009,27888.0,31764.0,647.0,5840.0,0.0,0.0,0.0,0.0,0.0
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
