Year,HYTCP,WYTCP,SOEGP,NUETP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960,17445.0,0.0,0.0,0.0,35172.808880000004,0.0,0.0,198148.78372,776678.0
1961,15368.0,5.0,0.0,0.0,43948.63323,0.0,0.0,212402.49062,823234.6
1962,22835.0,7.0,0.0,0.0,44643.74803,0.0,0.0,223664.49021,787912.6
1963,25334.0,193.0,0.0,0.0,54288.46588,0.0,0.0,228098.58886999998,837560.6
1964,22098.0,367.0,0.0,0.0,53888.77487000001,0.0,0.0,254085.63655999998,804761.6
1965,30523.0,270.0,0.0,0.0,56651.8562,0.0,0.0,257327.19835,802221.2
1966,26236.0,163.0,0.0,0.0,63776.7829,0.0,0.0,265545.11938000005,779926.0
1967,35277.0,563.0,0.0,0.0,62351.79756,0.0,0.0,261936.95888000002,790609.6
1968,27175.0,1505.0,0.0,0.0,66539.86422999999,0.0,0.0,271109.56405,836650.0
1969,40418.0,2458.0,0.0,0.0,79972.95774,0.0,0.0,331157.55954,898681.0
1970,38082.0,3132.0,0.0,0.0,125502.97714,0.0,0.0,369348.19815,930001.0
1971,39018.0,3519.0,0.0,0.0,139926.60924000002,0.0,0.0,413351.4532,859061.2
1972,31755.0,3175.0,0.0,0.0,189905.36336,0.0,0.0,414918.60728,812063.8
1973,38754.0,2631.0,0.0,0.0,275588.2395,0.0,0.0,394438.40903000004,823101.2
1974,46422.0,3698.0,0.0,0.0,386138.0709300001,0.0,0.0,352221.03579,811982.6
1975,40103.0,6071.0,0.0,0.0,434559.63496000005,0.0,0.0,320169.48319,788469.4
1976,23193.0,4807.0,0.0,0.0,562876.02696,0.0,0.0,339418.77392,778064.2
1977,14251.0,8115.0,0.0,0.0,829722.3611600002,0.0,0.0,338023.40443,791537.6
1978,37206.0,7659.0,0.0,0.0,1040681.17664,0.0,0.0,352491.33403,796833.0
1979,33920.0,8762.0,0.0,0.0,1273791.72942,0.0,0.0,416117.88542,764962.0
1980,40780.0,4920.0,0.0,0.0,1689893.82198,0.0,0.0,461425.84964,732899.6
1981,29764.0,3206.0,0.0,0.0,1805421.37716,0.0,0.0,464652.87379,757265.4
1982,50226.0,3735.0,0.0,0.0,1883979.51654,0.0,0.0,462149.53005,686140.0
1983,56885.0,5613.0,0.0,1.0,1951950.18646,0.0,0.0,508257.07579,686157.4
1984,43159.0,14144.0,5.0,4.0,2262189.99258,0.0,0.0,598189.7440300001,720760.2
1985,31717.0,19729.0,11.0,3.0,2430658.4575,0.0,0.0,497605.3092,745381.2
1986,41459.0,26215.0,14.0,3.0,2363205.30986,0.0,0.0,469950.53547,703754.6
1987,24564.0,30387.0,10.0,4.0,2536335.9285,0.0,0.0,571511.19812,668542.8
1988,23474.0,30863.0,9.0,1.0,2850213.97018,0.0,0.0,588311.67144,661107.2
1989,30801.0,32519.0,250.0,2079.0,2972702.12544,0.0,0.0,753468.48787,624747.0
1990,23793.0,32693.0,367.0,2759.0,3194481.52465,0.0,0.0,858078.30781,602364.8
1991,21957.0,31542.0,471.0,2915.0,3356523.8538,0.0,0.0,878303.4011700001,579582.4
1992,20167.0,35244.0,399.0,2864.0,3301794.7898,0.0,0.0,945021.2976200001,561498.0
1993,40493.0,31581.0,462.0,2984.0,3633351.04545,0.0,0.0,720973.13548,508468.6
1994,23013.0,33752.0,486.0,3387.0,4093409.97644,343.67927000000014,55.98549000000001,791261.7181,461262.4
1995,48033.0,30246.0,497.0,3087.0,4551802.75082,345.0177,56.40161,776648.7050600001,457527.2
1996,44751.0,34097.0,521.0,3079.0,4817050.9816,147.4203,24.18471,782621.4576,425517.0
1997,41055.0,30512.0,511.0,3137.0,4886099.88471,270.39612,44.51668,864585.2289100001,407020.8
1998,49548.0,34594.0,502.0,2758.0,5450487.52494,329.74965,54.48174,1034061.22503,375735.6
1999,40737.0,33372.0,495.0,3230.0,5837970.63156,315.7571200000001,52.24601,1099852.87588,354530.8
2000,38334.0,35176.0,493.0,3518.0,5892281.461,390.57591,64.70966999999999,1236233.28351,352210.8
2001,25542.0,33220.0,542.0,3500.0,6407633.373319997,440.30674000000016,73.04383,1543692.11129,333111.4
2002,31141.0,34352.0,554.0,3803.0,6486135.2376,615.74464,102.28078,1632472.66212,317358.6
2003,36371.0,35594.0,534.0,3895.0,6551331.0375,740.96321,123.62408,1719757.6290799999,303960.6
2004,34141.0,30268.0,571.0,4306.0,6908961.893739997,689.3589099999997,115.5243,1777565.48345,299390.2
2005,39632.0,36155.0,537.0,4262.0,7019843.082660003,659.87776,111.058,1816933.4961,299430.8
2006,48047.0,31959.0,495.0,4883.0,7739988.31422,662.7914099999998,112.04734,1995664.3658,306843.2
2007,27328.0,35792.0,557.0,5585.0,7847633.536,705.4124099999997,119.78841,2240913.02016,313954.0
2008,24128.0,32482.0,670.0,5385.0,8087435.336,876.6298,149.51031,2469390.73482,307069.4
2009,27888.0,31764.0,647.0,5840.0,7459875.528,900.97241,154.62317,2544093.54798,297731.4
2010,33431.0,32201.0,765.0,6079.0,,,,,
2011,42557.0,36663.0,861.0,7752.0,,,,,
2012,26837.0,18507.0,1328.0,9754.0,,,,,
2013,23755.0,17912.0,3727.0,12822.0,,,,,
2014,16531.0,16986.0,9834.0,12992.0,,,,,
