Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,100.0,0.0,0.0,0.0,,346323,0.0,0.0,69913.2,344.052
1961.0,107.0,0.0,0.0,0.0,,336694,0.0,0.0,66700.0,384.292
1962.0,75.0,0.0,0.0,0.0,,350135,0.0,0.0,70046.6,285.704
1963.0,52.0,0.0,0.0,0.0,15636.0,336561,0.0,0.0,69031.6,287.716
1964.0,45.0,0.0,0.0,0.0,16723.0,336003,0.0,0.0,65441.4,201.2
1965.0,94.0,0.0,0.0,0.0,18518.0,346925,0.0,0.0,66589.8,240.434
1966.0,95.0,0.0,0.0,0.0,20049.0,386176,0.0,0.0,61578.6,216.29
1967.0,469.0,0.0,0.0,0.0,20951.0,418405,0.0,0.0,58469.8,199.188
1968.0,524.0,0.0,0.0,0.0,22646.0,412031,0.0,0.0,50413.6,235.404
1969.0,591.0,0.0,0.0,0.0,24212.0,447693,0.0,0.0,45477.8,172.026
1970.0,495.0,0.0,0.0,0.0,24546.0,496215,0.0,0.0,43424.6,153.918
1971.0,431.0,0.0,0.0,0.0,26882.0,476891,0.0,0.0,38616.4,540.222
1972.0,385.0,0.0,0.0,0.0,29954.0,578372,0.0,0.0,35554.0,357.13
1973.0,480.0,0.0,0.0,0.0,33972.0,550910,0.0,0.0,30809.6,275.448
1974.0,445.0,0.0,0.0,0.0,35606.0,514486,0.0,0.0,28530.2,175.472
1975.0,444.0,0.0,0.0,0.0,37677.0,542752,0.0,0.0,26865.6,342.54
1976.0,479.0,0.0,0.0,0.0,43775.0,548266,0.0,0.0,26854.0,190.08
1977.0,374.0,0.0,0.0,0.0,47901.0,601875,0.0,0.0,30821.2,181.17
1978.0,361.0,0.0,0.0,0.0,53729.0,522198,0.0,0.0,27196.2,161.2233
1979.0,438.0,0.0,0.0,0.0,57917.0,597455,0.0,0.0,27347.0,469.35418
1980.0,474.0,0.0,0.0,0.0,58870.0,670980,0.0,0.0,28872.4,595.07837
1981.0,509.0,0.0,0.0,0.0,64724.0,638523,0.0,0.0,27381.8,361.43995
1982.0,428.0,0.0,0.0,0.0,64982.0,694736,0.0,0.0,32265.4,256.76658
1983.0,418.0,0.0,0.0,0.0,69335.0,697958,0.0,0.0,30861.8,135.81
1984.0,436.0,0.0,0.0,0.0,78859.0,821386,0.0,0.0,32050.8,396.758
1985.0,426.0,0.0,0.0,0.0,82011.0,734611,8864.796190000001,1398.29864,29974.4,369.936
1986.0,506.0,0.0,0.0,0.0,86437.0,729418,9369.53325,1483.20861,27602.2,368.285
1987.0,507.0,0.0,0.0,0.0,91650.0,759526,10242.23885,1627.1612300000004,21680.4,218.953
1988.0,441.0,0.0,0.0,0.0,99492.0,696993,10273.8262,1638.06117,21257.0,418.18
1989.0,450.0,0.0,0.0,0.0,107199.0,747396,9682.263840000001,1549.29048,19203.8,422.656
1990.0,441.0,0.0,0.0,0.0,110860.0,797305,8109.78168,1302.18121,17400.0,406.182
1991.0,399.0,0.0,0.0,0.0,114637.0,700941,9481.35116,1527.91956,17481.2,235.248
1992.0,562.0,0.0,0.0,0.0,124714.0,679061,8437.362079999999,1364.64741,17492.8,175.914
1993.0,448.0,0.0,0.0,0.0,132108.0,654657,9177.36866,1489.52791,16013.8,194.496
1994.0,407.0,0.0,0.0,0.0,143335.0,690818,10187.63545,1659.57002,14453.6,108.391
1995.0,467.0,0.0,0.0,0.0,150404.0,578143,9729.691920000001,1590.55701,16112.4,251.69148
1996.0,448.0,0.0,0.0,0.0,158350.0,657833,3969.6394200000004,651.23032,14633.4,363.5283
1997.0,562.0,0.0,0.0,0.0,167366.0,785240,6974.91337,1148.31537,14094.0,532.11154
1998.0,479.0,0.0,0.0,0.0,186520.0,812968,8171.785890000001,1350.15496,12806.4,625.58924
1999.0,407.0,0.0,0.0,0.0,195099.0,756640,7536.9484,1247.08347,11391.2,870.13143
2000.0,588.0,0.0,0.0,0.0,205487.0,621168,9000.33668,1491.15389,12168.4,921.475
2001.0,571.0,0.0,0.0,0.0,206558.0,813161,9815.72727,1628.3609800000004,11727.6,1089.20115
2002.0,411.0,0.0,0.0,0.0,214497.0,789152,13304.532959999999,2210.00388,11379.6,1319.59296
2003.0,424.0,0.0,0.0,0.0,225295.0,792236,15544.313999999995,2593.45074,10817.0,1591.77236
2004.0,444.0,0.0,0.0,0.0,238563.0,786209,14062.9217,2356.69571,10179.0,3432.05801
2005.0,438.0,0.0,0.0,0.0,245197.0,768995,13461.5064,2265.58322,10016.6,3191.00549
2006.0,490.0,0.0,0.0,0.0,256434.0,783366,13520.94472,2285.76579,10039.8,2970.63869
2007.0,450.0,0.0,0.0,0.0,270245.0,783017,37316.31635,6336.80708,10016.6,3688.91959
2008.0,437.0,0.0,0.0,238.0,273475.0,803043,81188.52437,13846.8048,10776.4,4762.113
2009.0,503.0,0.0,0.0,1403.0,262068.0,800172,97443.63192,16723.09058,10463.2,5000.905
