Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,2844.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1961.0,2604.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1962.0,2527.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1963.0,2850.0,0.0,0.0,0.0,2420.0,0,0.0,0.0,0.0,0.0
1964.0,2472.0,0.0,0.0,0.0,2604.0,0,0.0,0.0,0.0,0.0
1965.0,2069.0,0.0,0.0,0.0,2807.0,0,0.0,0.0,0.0,0.0
1966.0,2420.0,0.0,0.0,0.0,3001.0,0,0.0,0.0,0.0,0.0
1967.0,2560.0,0.0,0.0,0.0,3154.0,0,0.0,0.0,0.0,0.0
1968.0,2611.0,0.0,0.0,0.0,3406.0,0,0.0,0.0,0.0,0.0
1969.0,2764.0,0.0,0.0,0.0,3695.0,0,0.0,0.0,0.0,0.0
1970.0,2853.0,0.0,0.0,0.0,3959.0,0,0.0,0.0,0.0,0.0
1971.0,2463.0,0.0,0.0,0.0,4207.0,0,0.0,0.0,0.0,0.0
1972.0,2655.0,54.0,0.0,0.0,4625.0,0,0.0,0.0,0.0,0.0
1973.0,3095.0,3351.0,0.0,0.0,5203.0,0,0.0,0.0,0.0,0.0
1974.0,2911.0,3574.0,0.0,0.0,5603.0,0,0.0,0.0,0.0,0.0
1975.0,2664.0,4502.0,0.0,0.0,5996.0,0,0.0,0.0,0.0,0.0
1976.0,3094.0,5929.0,0.0,0.0,6968.0,0,0.0,0.0,0.0,0.0
1977.0,3035.0,5143.0,0.0,0.0,7647.0,0,0.0,0.0,0.0,0.0
1978.0,2827.0,5354.0,0.0,0.0,8449.0,0,0.0,0.0,0.0,0.0
1979.0,2789.0,4497.0,0.0,0.0,9335.0,0,0.0,0.0,0.0,0.0
1980.0,2417.0,4404.0,0.0,0.0,10263.0,0,0.0,0.0,0.0,0.0
1981.0,2854.0,5212.0,0.0,0.0,11255.0,0,0.0,0.0,0.0,0.0
1982.0,2943.0,4524.0,0.0,0.0,12115.0,0,0.0,0.0,0.0,0.0
1983.0,2936.0,5730.0,0.0,0.0,13239.0,0,0.0,0.0,0.0,0.0
1984.0,2987.0,5123.0,0.0,0.0,14897.0,0,0.0,0.0,0.0,0.0
1985.0,2691.0,5354.0,0.0,0.0,16046.0,0,0.0,0.0,0.0,0.0
1986.0,3007.0,6242.0,0.0,0.0,17382.0,0,0.0,0.0,0.0,0.0
1987.0,2677.0,4043.0,0.0,0.0,19166.0,0,0.0,0.0,0.0,0.0
1988.0,2542.0,5017.0,0.0,0.0,21371.0,0,0.0,0.0,0.0,0.0
1989.0,3445.0,6942.0,0.0,0.0,22670.0,0,0.0,0.0,0.0,0.0
1990.0,4091.0,4861.0,0.0,0.0,23256.0,0,0.0,0.0,0.0,0.0
1991.0,3817.0,6264.0,0.0,0.0,23379.0,0,0.0,0.0,0.0,0.0
1992.0,3513.0,5358.0,0.0,0.0,24329.0,0,0.0,0.0,0.0,0.0
1993.0,3246.0,5740.0,0.0,0.0,25202.0,0,0.0,0.0,0.0,0.0
1994.0,3511.0,6632.0,0.0,0.0,26543.0,0,0.0,0.0,0.0,0.0
1995.0,3354.0,198.0,0.0,0.0,28153.0,0,0.0,0.0,0.0,0.0
1996.0,4157.0,5062.0,0.0,0.0,29256.0,0,0.0,0.0,0.0,0.0
1997.0,3648.0,0.0,0.0,0.0,30775.0,0,0.0,0.0,0.0,0.0
1998.0,3716.0,0.0,0.0,0.0,32394.0,0,0.0,0.0,0.0,0.0
1999.0,3756.0,0.0,0.0,0.0,34613.0,0,0.0,0.0,0.0,0.0
2000.0,3591.0,0.0,0.0,0.0,37072.0,0,0.0,0.0,0.0,0.0
2001.0,2645.0,0.0,0.0,0.0,38834.0,0,0.0,0.0,0.0,0.0
2002.0,2768.0,0.0,0.0,0.0,40520.0,0,0.0,0.0,0.0,0.0
2003.0,3173.0,0.0,0.0,0.0,42291.0,0,0.0,0.0,0.0,0.0
2004.0,3430.0,0.0,0.0,0.0,44887.0,0,0.0,0.0,0.0,0.0
2005.0,4091.0,0.0,0.0,0.0,46277.0,0,0.0,0.0,0.0,0.0
2006.0,4278.0,0.0,0.0,0.0,48311.0,0,0.0,0.0,0.0,0.0
2007.0,3738.0,0.0,0.0,99.0,49452.0,0,0.0,0.0,0.0,0.0
2008.0,4457.0,0.0,0.0,132.0,49949.0,0,0.0,0.0,0.0,0.0
2009.0,4212.0,0.0,0.0,299.0,50405.0,0,0.0,0.0,0.0,0.0
