Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,726.0,0.0,0.0,0.0,,61026,0.0,0.0,435.0,75.525
1961.0,1240.0,0.0,0.0,0.0,,62040,0.0,0.0,417.6,90.63
1962.0,881.0,0.0,0.0,0.0,,61153,0.0,0.0,319.0,92.644
1963.0,377.0,0.0,0.0,0.0,13613.0,67045,0.0,0.0,307.4,100.7
1964.0,319.0,0.0,0.0,0.0,14454.0,68692,0.0,0.0,377.0,108.756
1965.0,802.0,0.0,0.0,0.0,15625.0,75259,0.0,0.0,423.4,84.588
1966.0,596.0,0.0,0.0,0.0,16843.0,75639,0.0,0.0,562.6,0.0
1967.0,641.0,0.0,0.0,0.0,17843.0,78046,0.0,0.0,435.0,121.847
1968.0,1334.0,0.0,0.0,0.0,19711.0,67678,0.0,0.0,377.0,14.098
1969.0,1435.0,0.0,0.0,0.0,21095.0,69705,0.0,0.0,388.6,126.882
1970.0,927.0,0.0,0.0,0.0,22230.0,93905,0.0,0.0,382.8,87.609
1971.0,703.0,0.0,0.0,0.0,24245.0,85226,0.0,0.0,382.8,22.154
1972.0,612.0,0.0,0.0,0.0,26414.0,96101,0.0,0.0,348.0,9.063
1973.0,2008.0,0.0,0.0,0.0,29275.0,90590,0.0,0.0,348.0,32.835
1974.0,1713.0,0.0,0.0,0.0,30468.0,89431,0.0,0.0,324.8,33.165
1975.0,1280.0,0.0,0.0,0.0,33001.0,107200,0.0,0.0,330.6,30.18
1976.0,740.0,0.0,0.0,0.0,37211.0,116535,0.0,0.0,353.8,29.087
1977.0,454.0,0.0,0.0,0.0,41150.0,124884,0.0,0.0,348.0,20.04
1978.0,1017.0,0.0,0.0,0.0,46176.0,111454,0.0,0.0,313.2,0.0
1979.0,1100.0,0.0,0.0,0.0,50601.0,127371,0.0,0.0,527.8,0.0
1980.0,558.0,0.0,0.0,0.0,52420.0,108670,0.0,0.0,754.0,0.0
1981.0,669.0,0.0,0.0,0.0,57763.0,98846,0.0,0.0,1310.8,0.0
1982.0,1656.0,0.0,0.0,0.0,60699.0,109485,0.0,0.0,1171.6,0.0
1983.0,1716.0,0.0,0.0,0.0,65538.0,101739,0.0,0.0,1560.2,0.0
1984.0,1587.0,920.0,0.0,0.0,74539.0,137915,0.0,0.0,1653.0,4.068
1985.0,2993.0,8030.0,0.0,0.0,77912.0,113903,0.0,0.0,1409.4,4.068
1986.0,1996.0,7170.0,0.0,0.0,83330.0,96699,0.0,0.0,638.0,4.044
1987.0,1447.0,6284.0,0.0,0.0,88912.0,88550,0.0,0.0,632.2,4.044
1988.0,1511.0,8935.0,0.0,0.0,95760.0,88034,0.0,0.0,910.6,4.024
1989.0,1094.0,8344.0,0.0,0.0,101412.0,70848,0.0,0.0,771.4,4.032
1990.0,2192.0,7998.0,0.0,0.0,103566.0,55957,0.0,0.0,846.8,7.077
1991.0,1119.0,9979.0,0.0,0.0,109162.0,48499,0.0,0.0,864.2,15.12996
1992.0,1481.0,8084.0,0.0,0.0,115288.0,61053,0.0,0.0,829.4,27.04598
1993.0,3184.0,8381.0,0.0,0.0,118906.0,14137,0.0,0.0,783.0,13.63432
1994.0,1916.0,10006.0,0.0,0.0,130567.0,19037,0.0,0.0,713.4,8.12647
1995.0,1919.0,8242.0,0.0,0.0,140060.0,12531,0.0,0.0,696.0,16.59435
1996.0,1314.0,8890.0,0.0,0.0,148257.0,15710,0.0,0.0,667.0,24.96462
1997.0,1593.0,8955.0,0.0,0.0,158308.0,8754,0.0,0.0,661.2,4.95506
1998.0,2347.0,8517.0,0.0,0.0,170692.0,8253,0.0,0.0,539.4,0.0
1999.0,1853.0,8587.0,0.0,0.0,178605.0,8621,0.0,0.0,533.6,0.0
2000.0,600.0,9992.0,0.0,0.0,188736.0,9475,1394.29252,231.00299,545.2,0.0
2001.0,1104.0,8384.0,0.0,0.0,192227.0,8022,3501.32276,580.8451299999998,527.8,0.0
2002.0,1357.0,8390.0,0.0,0.0,197222.0,5310,4684.060420000002,778.06502,551.0,0.0
2003.0,652.0,9700.0,0.0,0.0,205164.0,11379,7717.614309999999,1287.62533,475.6,0.0
2004.0,1480.0,7831.0,0.0,0.0,215606.0,12385,8272.30688,1386.29159,510.4,0.0
2005.0,1159.0,8031.0,0.0,0.0,224091.0,12953,13527.494169999998,2276.68902,493.0,0.0
2006.0,199.0,10117.0,0.0,0.0,232795.0,8549,16569.7852,2801.18356,504.6,0.0
2007.0,1204.0,9372.0,0.0,0.0,240613.0,5289,22643.73828,3845.20808,464.0,0.0
2008.0,2047.0,9379.0,0.0,203.0,250088.0,5412,31191.977880000002,5319.831,574.2,0.0
2009.0,1817.0,10247.0,0.0,499.0,250436.0,9625,36177.50773000001,6208.715,545.2,0.0
