Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,959.0,0.0,0.0,0.0,,0,0.0,0.0,138185.0,17799.24646
1961.0,928.0,0.0,0.0,0.0,,0,0.0,0.0,141340.2,18365.02406
1962.0,975.0,0.0,0.0,0.0,,0,0.0,0.0,144385.2,17358.2899
1963.0,1014.0,75.0,0.0,0.0,4262.0,0,0.0,0.0,126706.8,15224.66677
1964.0,1003.0,91.0,0.0,0.0,4400.0,0,0.0,0.0,110855.4,13012.88467
1965.0,1116.0,-5.0,0.0,0.0,4749.0,0,0.0,0.0,99852.8,12505.43466
1966.0,1162.0,0.0,0.0,0.0,5205.0,0,0.0,0.0,80330.0,11894.16155
1967.0,1163.0,0.0,0.0,0.0,5486.0,0,0.0,0.0,77563.4,9860.86186
1968.0,1254.0,0.0,0.0,0.0,5823.0,0,0.0,0.0,76461.4,9482.8991
1969.0,1238.0,0.0,0.0,0.0,6537.0,0,0.0,0.0,70214.8,8153.03012
1970.0,1371.0,0.0,0.0,0.0,6907.0,0,0.0,0.0,66415.8,6988.81148
1971.0,1359.0,0.0,0.0,0.0,7660.0,0,0.0,0.0,58359.6,4616.45905
1972.0,1372.0,0.0,0.0,0.0,8487.0,0,0.0,0.0,50489.0,4493.20664
1973.0,1371.0,599.0,0.0,0.0,9961.0,0,0.0,0.0,41992.0,4696.66362
1974.0,1294.0,3996.0,0.0,0.0,10440.0,0,0.0,0.0,38343.8,3351.07932
1975.0,1213.0,5916.0,0.0,0.0,11875.0,0,0.0,0.0,35496.0,3086.72199
1976.0,1276.0,5824.0,0.0,0.0,13042.0,0,0.0,0.0,35855.6,2945.56962
1977.0,1221.0,7452.0,0.0,0.0,13874.0,0,0.0,0.0,34614.4,3171.72357
1978.0,1187.0,7725.0,0.0,0.0,15851.0,0,0.0,0.0,33999.6,3151.58445
1979.0,1246.0,8658.0,0.0,0.0,17423.0,0,0.0,0.0,35194.4,3440.72868
1980.0,1336.0,5783.0,0.0,0.0,18294.0,0,0.0,0.0,36192.0,2744.32396
1981.0,1197.0,5988.0,0.0,0.0,20863.0,0,0.0,0.0,38691.8,2755.96017
1982.0,1212.0,8753.0,0.0,0.0,21265.0,0,0.0,0.0,39857.6,2480.08825
1983.0,1346.0,6082.0,0.0,0.0,21820.0,0,0.0,0.0,37004.0,2289.62315
1984.0,1345.0,5780.0,0.0,0.0,24631.0,0,0.0,0.0,37421.6,2476.23661
1985.0,1441.0,4134.0,0.0,0.0,25717.0,0,1283.03486,202.38095,40269.4,2104.85152
1986.0,1678.0,7658.0,0.0,0.0,26045.0,0,1579.2676099999999,250.0,41168.4,1523.00096
1987.0,1567.0,8589.0,0.0,0.0,26760.0,0,1738.4932600000006,276.19048,35333.6,1381.20627
1988.0,1350.0,6828.0,0.0,0.0,29262.0,0,1754.6507100000001,279.7619,34672.4,999.42225
1989.0,1158.0,8077.0,0.0,0.0,31332.0,0,1793.0063100000002,286.90476,36134.0,917.78844
1990.0,1140.0,7511.0,0.0,0.0,33734.0,0,1891.3369699999998,303.69048,34156.2,779.519
1991.0,1045.0,8048.0,0.0,0.0,35613.0,0,1928.10625,310.71429,33825.6,793.69071
1992.0,1075.0,8748.0,0.0,0.0,38214.0,0,3393.1876,548.80952,31749.2,1156.88118
1993.0,1002.0,6805.0,0.0,0.0,39353.0,0,7573.215359999997,1229.1666699999996,28234.4,2061.38888
1994.0,1312.0,6345.0,0.0,0.0,43504.0,0,11539.33173,1879.76191,24452.8,2868.37274
1995.0,1426.0,7485.0,0.0,0.0,45111.0,0,27841.81743000001,4551.42857,21999.4,2195.09906
1996.0,1602.0,9457.0,0.0,0.0,49007.0,0,28755.99226000001,4717.5,20537.8,1889.12898
1997.0,1672.0,9269.0,0.0,0.0,50308.0,0,38727.066139999995,6375.83333,19354.6,1666.34563
1998.0,1683.0,8259.0,0.0,0.0,52399.0,0,41287.70165,6821.617190000001,18409.2,1699.70888
1999.0,1719.0,10091.0,0.0,0.0,54223.0,0,43923.12375,7267.63655,15445.4,1393.88772
2000.0,1501.0,8629.0,0.0,0.0,57235.0,0,46153.59198000001,7646.61488,17150.6,1224.5121
2001.0,1124.0,8726.0,0.0,3.0,59846.0,0,50495.654689999996,8376.87838,16947.6,1228.5838
2002.0,1097.0,10122.0,0.0,8.0,61940.0,0,50536.81619,8394.62462,16118.2,1196.35225
2003.0,980.0,7997.0,0.0,38.0,66931.0,0,54583.09842,9106.77543,15979.0,1464.13571
2004.0,913.0,10241.0,0.0,38.0,70644.0,0,73176.72896000001,12263.11905,14540.6,1489.45654
2005.0,871.0,8802.0,0.0,97.0,73455.0,0,76818.20963,12928.57143,13995.4,1182.36739
2006.0,893.0,9003.0,0.0,261.0,77547.0,0,85067.36054,14380.95238,13415.4,1214.63984
2007.0,347.0,11042.0,0.0,217.0,81926.0,0,117216.02836,19904.84139,13537.2,1583.01036
2008.0,346.0,9479.0,0.0,214.0,84873.0,0,164645.97285999998,28080.577460000004,13885.2,3115.902
2009.0,434.0,9435.0,0.0,383.0,86961.0,0,163376.33119,28038.3349,12986.2,2942.896
