Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,1967.0,0.0,0.0,0.0,,0,0.0,0.0,156.6,0.0
1961.0,1748.0,0.0,0.0,0.0,,0,0.0,0.0,893.2,0.0
1962.0,1972.0,0.0,0.0,0.0,,0,0.0,0.0,817.8,0.0
1963.0,1804.0,0.0,0.0,0.0,1819.0,0,0.0,0.0,684.4,0.0
1964.0,1617.0,0.0,0.0,0.0,1933.0,0,0.0,0.0,1479.0,0.0
1965.0,1595.0,0.0,0.0,0.0,2032.0,0,0.0,0.0,1212.2,0.0
1966.0,1801.0,0.0,0.0,0.0,2131.0,0,0.0,0.0,1780.6,0.0
1967.0,1732.0,0.0,0.0,0.0,2248.0,0,0.0,0.0,1618.2,0.0
1968.0,1750.0,0.0,0.0,0.0,2549.0,0,0.0,0.0,1571.8,0.0
1969.0,1701.0,0.0,0.0,0.0,2947.0,0,0.0,0.0,1293.4,0.0
1970.0,1646.0,0.0,0.0,0.0,3262.0,0,0.0,0.0,864.2,0.0
1971.0,1678.0,0.0,0.0,0.0,3611.0,0,0.0,0.0,655.4,0.0
1972.0,1563.0,0.0,0.0,0.0,3990.0,0,0.0,0.0,580.0,0.0
1973.0,1669.0,0.0,0.0,0.0,4530.0,0,0.0,0.0,556.8,0.0
1974.0,1600.0,0.0,0.0,0.0,4966.0,0,0.0,0.0,748.2,0.0
1975.0,1690.0,0.0,0.0,0.0,5529.0,0,0.0,0.0,667.0,0.0
1976.0,1555.0,0.0,0.0,0.0,6263.0,0,0.0,0.0,829.4,0.0
1977.0,1617.0,0.0,0.0,0.0,7416.0,0,0.0,0.0,3833.8,0.0
1978.0,1666.0,0.0,0.0,0.0,8932.0,0,0.0,0.0,6704.8,0.0
1979.0,1716.0,0.0,0.0,0.0,10295.0,0,0.0,0.0,7163.0,0.0
1980.0,2372.0,0.0,0.0,0.0,11633.0,0,0.0,0.0,5104.0,0.0
1981.0,1729.0,0.0,0.0,0.0,13203.0,0,0.0,0.0,4060.0,0.0
1982.0,1420.0,0.0,0.0,0.0,13885.0,0,0.0,0.0,3555.4,0.0
1983.0,4094.0,0.0,0.0,0.0,15060.0,0,0.0,0.0,4698.0,0.0
1984.0,5613.0,0.0,0.0,0.0,16514.0,0,0.0,0.0,11060.6,0.0
1985.0,4344.0,0.0,0.0,0.0,17945.0,0,0.0,0.0,17626.2,0.0
1986.0,4584.0,0.0,0.0,0.0,19731.0,0,0.0,0.0,16860.6,0.0
1987.0,2526.0,0.0,0.0,0.0,21951.0,0,0.0,0.0,18049.6,0.0
1988.0,2091.0,0.0,0.0,0.0,24987.0,0,0.0,0.0,18739.8,0.0
1989.0,1859.0,0.0,0.0,0.0,27847.0,0,0.0,0.0,18652.8,0.0
1990.0,1735.0,0.0,0.0,0.0,30980.0,0,0.0,0.0,23263.8,0.0
1991.0,2365.0,0.0,0.0,0.0,32786.0,0,0.0,0.0,19795.4,54.85493
1992.0,1986.0,0.0,0.0,0.0,36052.0,0,0.0,0.0,21581.8,30.45883
1993.0,1972.0,0.0,0.0,0.0,40039.0,0,0.0,0.0,10904.0,21.58165
1994.0,1876.0,0.0,0.0,0.0,45173.0,0,0.0,0.0,9848.4,16.43373
1995.0,1942.0,0.0,0.0,0.0,49249.0,0,0.0,0.0,7783.6,13.93517
1996.0,2164.0,0.0,0.0,0.0,54419.0,0,0.0,0.0,6136.4,11.15358
1997.0,2587.0,0.0,0.0,0.0,59467.0,0,0.0,0.0,5684.0,9.63634
1998.0,3166.0,0.0,0.0,0.0,64707.0,0,0.0,0.0,4634.2,9.01298
1999.0,2828.0,0.0,0.0,0.0,71428.0,0,0.0,0.0,4094.8,8.25856
2000.0,2429.0,0.0,0.0,0.0,77006.0,0,0.0,0.0,3601.8,6.92755
2001.0,2514.0,0.0,0.0,0.0,81363.0,0,0.0,0.0,3317.6,6.88698
2002.0,2268.0,0.0,0.0,0.0,85647.0,0,0.0,0.0,3207.4,6.59383
2003.0,1757.0,0.0,0.0,0.0,91846.0,0,0.0,0.0,2859.4,5.91922
2004.0,1615.0,0.0,0.0,0.0,105062.0,0,0.0,0.0,2685.4,5.64782
2005.0,1702.0,0.0,0.0,0.0,118785.0,0,0.0,0.0,2592.6,5.29371
2006.0,2058.0,0.0,0.0,0.0,128311.0,0,0.0,0.0,2470.8,5.15897
2007.0,2003.0,0.0,44.0,0.0,132167.0,0,0.0,0.0,2366.4,4.76767
2008.0,1751.0,0.0,156.0,0.0,128363.0,0,0.0,0.0,2528.8,4.156
2009.0,2461.0,0.0,174.0,0.0,120202.0,0,0.0,0.0,2639.0,4.124
