Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,1826.0,230.0,0.0,0.0,,2169831,0.0,0.0,34852.2,117869.04652
1961.0,1489.0,305.0,0.0,0.0,,2060352,0.0,0.0,32729.4,103901.0141
1962.0,1519.0,320.0,0.0,0.0,,2112248,0.0,0.0,30751.6,93168.15222
1963.0,1280.0,355.0,0.0,0.0,34533.0,2308096,0.0,0.0,29481.4,95862.23091
1964.0,1281.0,25.0,0.0,0.0,37375.0,2413787,0.0,0.0,29655.4,85008.32171
1965.0,1329.0,313.0,0.0,0.0,40541.0,2453588,0.0,0.0,28547.6,87382.71134
1966.0,1443.0,525.0,0.0,0.0,44082.0,2432385,0.0,0.0,25154.6,94058.9363
1967.0,1914.0,603.0,0.0,0.0,46515.0,2361801,0.0,0.0,25444.6,93078.14268
1968.0,1182.0,468.0,0.0,0.0,49957.0,2257714,0.0,0.0,24128.0,91030.68426
1969.0,916.0,415.0,0.0,0.0,54486.0,2303516,0.0,0.0,25798.4,81871.43746
1970.0,1366.0,465.0,0.0,0.0,56670.0,2357967,0.0,0.0,23739.4,79499.11702
1971.0,779.0,445.0,0.0,0.0,60293.0,2127366,0.0,0.0,22028.4,79063.54029
1972.0,1533.0,288.0,0.0,0.0,65390.0,2164589,0.0,0.0,19957.8,76511.82254
1973.0,1372.0,361.0,0.0,0.0,71852.0,2096942,0.0,0.0,19035.6,81453.43709
1974.0,1393.0,6998.0,0.0,0.0,78201.0,2150183,0.0,0.0,20172.4,84750.74933
1975.0,1576.0,15869.0,0.0,0.0,84120.0,2246057,0.0,0.0,18931.2,86899.29076
1976.0,1416.0,16425.0,0.0,0.0,90743.0,2321250,0.0,0.0,17510.2,91715.60268
1977.0,1205.0,17821.0,0.0,0.0,99024.0,2270585,0.0,0.0,15747.0,93712.56153
1978.0,760.0,22329.0,0.0,0.0,110054.0,2172466,0.0,0.0,16744.6,99960.31206
1979.0,1222.0,18796.0,0.0,0.0,120527.0,2390769,0.0,0.0,16669.2,98381.22807
1980.0,734.0,12091.0,0.0,0.0,127181.0,2370498,0.0,0.0,15375.8,99657.22539
1981.0,660.0,14276.0,0.0,0.0,138573.0,2138781,0.0,0.0,21628.2,125200.12002
1982.0,1829.0,16472.0,0.0,0.0,142077.0,2029338,0.0,0.0,24835.6,124571.75861
1983.0,1170.0,14718.0,0.0,0.0,152042.0,1785151,0.0,0.0,24835.6,121895.77788
1984.0,1447.0,21564.0,0.0,0.0,167390.0,1983207,0.0,0.0,24847.2,172100.51256
1985.0,972.0,26232.0,0.0,0.0,176873.0,1832982,0.0,0.0,28135.8,155591.2135
1986.0,1453.0,39820.0,0.0,0.0,187386.0,1842451,0.0,0.0,21941.4,166035.04085
1987.0,1132.0,34982.0,0.0,0.0,202910.0,1807237,0.0,0.0,19151.6,169739.59986
1988.0,705.0,37862.0,0.0,0.0,220582.0,1825287,0.0,0.0,16390.8,173577.25105
1989.0,1440.0,39166.0,0.0,0.0,233162.0,1822907,0.0,0.0,15648.4,199303.42674
1990.0,2869.0,57787.0,0.0,0.0,245281.0,1831440,0.0,0.0,15317.8,184704.95352
1991.0,1920.0,57476.0,0.0,0.0,255163.0,1701623,0.0,0.0,14679.8,158520.61301
1992.0,2578.0,60133.0,0.0,0.0,269849.0,1812815,0.0,0.0,12394.6,144686.40785
1993.0,2376.0,59331.0,0.0,0.0,281704.0,1553124,0.0,0.0,11808.8,137874.55764
1994.0,2750.0,67207.0,0.0,0.0,296602.0,1621470,0.0,0.0,14604.4,125678.06555
1995.0,2030.0,66462.0,0.0,0.0,312989.0,1602243,0.0,0.0,11246.2,115831.01904
1996.0,3012.0,68672.0,0.0,0.0,325001.0,1766790,0.0,0.0,9813.6,140535.5566
1997.0,2249.0,67655.0,0.0,0.0,342662.0,1982914,0.0,0.0,7661.8,83940.33036
1998.0,2381.0,61149.0,0.0,0.0,373744.0,2133532,0.0,0.0,11484.0,136136.91091
1999.0,1947.0,71127.0,0.0,0.0,390617.0,1994709,0.0,0.0,8531.8,182382.63372
2000.0,2290.0,73771.0,0.0,10.0,408556.0,1946486,0.0,0.0,8700.0,156171.30855
2001.0,1650.0,73731.0,0.0,11.0,426020.0,1929614,0.0,0.0,9396.0,139061.15698
2002.0,2211.0,76089.0,0.0,58.0,437895.0,1734216,0.0,0.0,12951.4,164610.43031
2003.0,3346.0,74361.0,0.0,112.0,456705.0,1599175,0.0,0.0,14065.0,167358.00855
2004.0,3155.0,77459.0,0.0,306.0,483757.0,1600274,0.0,0.0,14720.4,206075.94478
2005.0,2232.0,76289.0,0.0,284.0,506505.0,1607810,0.0,0.0,22892.6,176539.92696
2006.0,2844.0,75298.0,0.0,361.0,525979.0,1583196,0.0,0.0,21030.8,184070.57987
2007.0,2236.0,77376.0,0.0,470.0,559876.0,1557006,0.0,0.0,21187.4,190935.98833
2008.0,2549.0,78658.0,0.0,729.0,579432.0,1591996,0.0,0.0,20943.8,207582.07273
2009.0,2683.0,77328.0,4.0,1075.0,573964.0,1439895,0.0,0.0,20537.8,286238.42515
