Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,1102.0,0.0,0.0,0.0,,26409,0.0,0.0,5379378.2,6610703.86072
1961.0,1234.0,0.0,0.0,0.0,,26535,0.0,0.0,5447307.8,6690243.83328
1962.0,800.0,0.0,0.0,0.0,,25855,0.0,0.0,5471302.4,6821056.63563
1963.0,478.0,0.0,0.0,0.0,29252.0,27441,0.0,0.0,5671443.0,6961089.8867
1964.0,454.0,0.0,0.0,0.0,31356.0,28838,0.0,0.0,5739245.0,7320770.4032
1965.0,743.0,0.0,0.0,0.0,33858.0,30349,0.0,0.0,5804344.2,7445189.80767
1966.0,787.0,0.0,0.0,0.0,36774.0,28360,0.0,0.0,6134694.8,7801078.48615
1967.0,579.0,0.0,0.0,0.0,39907.0,27101,0.0,0.0,6495779.6,8064835.59743
1968.0,1326.0,0.0,0.0,0.0,44484.0,28838,0.0,0.0,6573604.0,8408696.96959
1969.0,1271.0,0.0,0.0,0.0,48575.0,28309,0.0,0.0,6680295.0,8810076.48582
1970.0,1005.0,0.0,0.0,0.0,52314.0,29077,0.0,0.0,7248242.6,9376066.64581
1971.0,880.0,0.0,0.0,0.0,57344.0,28360,0.0,0.0,7092970.8,9595859.88963
1972.0,830.0,0.0,0.0,0.0,64019.0,50917,0.0,0.0,7549773.0,9733316.36349
1973.0,1700.0,0.0,0.0,0.0,73840.0,97216,0.0,0.0,7509091.8,9559534.67428
1974.0,1631.0,0.0,0.0,0.0,85387.0,107576,0.0,0.0,7320330.8,9176624.98543
1975.0,1927.0,0.0,0.0,0.0,98804.0,144159,0.0,0.0,7087188.2,8415741.68625
1976.0,1068.0,0.0,0.0,0.0,113757.0,182650,0.0,0.0,6899233.4,8095614.87307
1977.0,1169.0,0.0,0.0,0.0,130404.0,209460,0.0,0.0,6599704.0,7942018.85472
1978.0,765.0,0.0,0.0,0.0,149091.0,265268,0.0,0.0,6229490.0,7361538.99883
1979.0,1202.0,0.0,0.0,0.0,171608.0,356524,0.0,0.0,5904945.2,7999621.09026
1980.0,979.0,0.0,0.0,0.0,203073.0,385040,0.0,0.0,5669128.8,7966294.77864
1981.0,1145.0,0.0,0.0,0.0,245235.0,418837,7.292789999999999,1.13406,5481765.6,7786476.10467
1982.0,1027.0,0.0,0.0,0.0,260085.0,448800,24.32703,3.7963,5366716.8,7302001.16219
1983.0,1107.0,0.0,0.0,0.0,264883.0,493047,45.702890000000004,7.15826,5235520.8,6722393.48769
1984.0,1031.0,0.0,0.0,0.0,288637.0,515268,54.56803000000001,8.57686,5247689.2,7060735.79078
1985.0,1401.0,0.0,0.0,0.0,307224.0,574734,58.50765,9.22877,5155219.8,6924656.32514
1986.0,1972.0,0.0,0.0,0.0,295721.0,615490,61.838919999999995,9.78918,4869714.8,7018350.48558
1987.0,2158.0,0.0,0.0,0.0,300667.0,640051,67.59878,10.73926,4554605.75014,6972153.48782
1988.0,1235.0,3792.0,0.0,0.0,327354.0,658102,67.80725,10.8112,4424759.91622,7132908.58448
1989.0,1441.0,9990.0,0.0,0.0,349952.0,675279,63.90294,10.22532,4151047.3218400003,7054657.82819
1990.0,1794.0,15859.0,0.0,0.0,378943.0,706720,53.52456,8.5944,4077495.5548900003,7175830.17769
1991.0,2225.0,19800.0,0.0,0.0,393574.0,674066,62.576919999999994,10.08427,4099176.0718300003,7110440.2411
1992.0,2638.0,24496.0,0.0,0.0,416401.0,685491,55.68659,9.00667,3908960.16098,7020275.51323
1993.0,1786.0,12407.0,0.0,0.0,443775.0,682967,0.0,0.0,3717387.8772400003,7058330.02047
1994.0,1530.0,28745.0,0.0,0.0,475990.0,660044,0.0,0.0,3592787.7100400003,7200826.91362
1995.0,1703.0,36151.0,0.0,0.0,507725.0,664511,0.0,0.0,3482313.5518300002,7174481.38227
1996.0,960.0,35767.0,0.0,83.0,551513.0,709509,0.0,0.0,3455057.85539,7303998.16577
1997.0,1791.0,37358.0,0.0,81.0,606982.0,687914,0.0,0.0,3445784.8904699995,7228302.747
1998.0,1425.0,38685.0,0.0,80.0,648156.0,677016,0.0,0.0,3252953.18895,7253721.65466
1999.0,1120.0,36760.0,0.0,320.0,683578.0,671988,0.0,0.0,2973143.6937599997,6983174.0174
2000.0,829.0,37556.0,0.0,492.0,741115.0,632360,0.0,0.0,2970430.43811,7180897.6136
2001.0,1200.0,38163.0,0.0,1188.0,776521.0,578695,0.0,0.0,2951557.72145,7172333.48481
2002.0,1123.0,35618.0,0.0,2656.0,788944.0,581167,0.0,0.0,2902191.01745,6892161.77436
2003.0,897.0,33437.0,0.0,2570.0,833469.0,594734,0.0,0.0,2846892.68019,7008036.62594
2004.0,1301.0,40435.0,0.0,3138.0,909635.0,572488,0.0,0.0,2780290.2453099997,6908959.02413
2005.0,1333.0,38232.0,0.0,4237.0,990054.0,595611,0.0,0.0,2766663.16518,6934171.92752
2006.0,662.0,41264.0,0.0,6671.0,1088295.0,593495,0.0,0.0,2752514.92996,7071527.72148
2007.0,1644.0,40955.0,0.0,9006.0,1179214.0,554720,0.0,0.0,2647511.14297,7548608.94205
2008.0,1039.0,40727.0,0.0,16225.0,1243387.0,515492,26356.18998000001,4495.0813,2593041.2897900003,8228007.77852
2009.0,1029.0,41498.0,0.0,20026.0,1166516.0,455507,23217.36607,3984.52016,2646911.2,8074816.24109
