Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960,304,0,0,0,,114689,0.0,0.0,218045.2,51217.74165
1961,231,0,0,0,,119410,0.0,0.0,192084.4,57374.10617
1962,393,0,0,0,,99458,0.0,0.0,179968.2,74386.14328
1963,352,0,0,0,2998.0,100917,0.0,0.0,193923.0,77390.56958
1964,765,0,0,0,3078.0,109249,0.0,0.0,165735.0,80454.20135
1965,913,0,0,0,3207.0,115545,0.0,0.0,146728.4,71865.39549
1966,791,0,0,0,3409.0,107282,0.0,0.0,139849.6,69607.5601
1967,1074,0,0,0,3488.0,96635,0.0,0.0,139478.4,49135.51567
1968,1017,0,0,0,3724.0,99898,0.0,0.0,136323.2,46311.7162
1969,1117,0,0,0,4036.0,107791,0.0,0.0,135111.0,46895.74296
1970,741,0,0,0,4448.0,109550,0.0,0.0,135546.0,42929.98052
1971,984,0,0,0,4936.0,107073,0.0,0.0,137054.0,47428.56359
1972,1223,0,0,0,5604.0,111147,0.0,0.0,154106.0,43823.25457
1973,1111,0,0,0,6472.0,134315,0.0,0.0,189404.8,47256.66746
1974,941,0,0,0,7348.0,142065,0.0,0.0,228305.4,55828.94757
1975,1074,0,0,0,8186.0,165908,0.0,0.0,245345.8,59420.36714
1976,1130,0,0,0,9300.0,179079,0.0,0.0,198963.2,61884.3076
1977,757,0,0,0,10381.0,198554,0.0,0.0,192055.4,65896.07272
1978,734,0,0,0,11998.0,210600,0.0,0.0,181934.4,62182.12985
1979,802,0,0,0,13709.0,280171,0.0,0.0,160822.4,64851.74528
1980,821,0,0,0,15311.0,309778,0.0,0.0,144872.4,104187.66634
1981,623,0,0,0,17320.0,319632,0.0,0.0,149988.0,108861.4203
1982,1024,0,0,0,18365.0,396545,0.0,0.0,130152.0,98054.66522
1983,1394,0,0,0,19752.0,271784,0.0,0.0,171297.2,75919.71376
1984,1391,0,0,0,22147.0,285332,0.0,0.0,201196.2,88109.14846
1985,1019,0,0,0,24083.0,301122,0.0,0.0,236593.6,96835.69132
1986,1413,0,0,0,24282.0,331530,0.0,0.0,227197.6,104635.17261
1987,856,0,0,0,25100.0,383551,0.0,0.0,207576.2,116386.87841
1988,593,0,0,0,27325.0,420402,0.0,0.0,191492.8,146704.55188
1989,562,0,0,0,28668.0,459837,0.0,0.0,164807.0,161963.17927
1990,508,0,0,0,31249.0,511405,0.0,0.0,160103.2,189348.27664
1991,627,0,0,0,33501.0,507978,0.0,0.0,141908.6,180438.40916
1992,602,0,0,0,35602.0,492997,0.0,0.0,131776.0,204651.50573
1993,860,0,0,0,38631.0,506837,0.0,0.0,126561.8,266161.44817
1994,750,0,0,0,42591.0,566914,0.0,0.0,119833.8,312008.18084
1995,969,0,0,0,46746.0,586398,0.0,0.0,115930.4,279414.51478
1996,1049,0,0,0,52016.0,640410,0.0,0.0,112525.8,278775.46749
1997,1344,0,0,0,55212.0,616383,0.0,0.0,112038.6,295689.99579
1998,1315,0,0,0,61717.0,600793,0.0,0.0,111354.2,308880.56317
1999,1255,0,0,0,65851.0,620369,0.0,0.0,94267.4,294827.60523
2000,746,0,0,0,70172.0,631270,0.0,0.0,90688.8,302188.88891
2001,508,0,0,0,73507.0,640594,0.0,0.0,88461.6,316851.02233
2002,458,0,0,0,76063.0,586925,0.0,0.0,79320.8,295223.24755
2003,421,0,0,0,79610.0,536149,0.0,0.0,75956.8,289847.25565
2004,450,0,0,0,85690.0,490146,0.0,0.0,84848.2,298102.66893
2005,784,0,0,0,94475.0,554221,0.0,0.0,96575.8,321688.63593
2006,747,0,0,0,106312.0,593320,0.0,0.0,103878.0,372315.03942
2007,539,0,0,0,115982.0,556435,0.0,0.0,113216.0,402047.7083
2008,668,0,0,24,116117.0,564147,0.0,0.0,127588.4,463960.21067
2009,835,0,0,160,113194.0,502597,0.0,0.0,132976.6,475936.96209
