Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960,2399,0,0,0,,0,0.0,0.0,0.0,0.0
1961,2017,0,0,0,,0,0.0,0.0,0.0,0.0
1962,2137,0,0,0,,0,0.0,0.0,0.0,0.0
1963,1551,0,0,0,12742.0,0,0.0,0.0,0.0,0.0
1964,1532,0,0,0,13719.0,0,0.0,0.0,0.0,0.0
1965,2131,0,0,0,14784.0,0,0.0,0.0,0.0,0.0
1966,2052,0,0,0,16133.0,0,0.0,0.0,0.0,0.0
1967,2072,0,0,0,16841.0,0,0.0,0.0,0.0,0.0
1968,2391,0,0,0,18226.0,0,0.0,0.0,0.0,0.0
1969,2158,0,0,0,19521.0,0,0.0,0.0,0.0,0.0
1970,1904,157,0,0,20193.0,0,0.0,0.0,0.0,0.0
1971,2230,3469,0,0,22083.0,0,0.0,0.0,0.0,0.0
1972,2413,3294,0,0,24064.0,0,0.0,0.0,0.0,0.0
1973,2444,5952,0,0,27037.0,0,0.0,0.0,0.0,0.0
1974,2020,8256,0,0,28694.0,0,0.0,0.0,0.0,0.0
1975,2037,10293,0,0,32295.0,0,0.0,0.0,0.0,0.0
1976,1652,10722,0,0,37033.0,0,0.0,0.0,0.0,0.0
1977,1821,10945,0,0,40686.0,0,0.0,0.0,0.0,0.0
1978,2371,11718,0,0,45423.0,0,0.0,0.0,0.0,0.0
1979,2294,10403,0,0,50101.0,0,0.0,0.0,0.0,0.0
1980,2115,9911,0,0,52899.0,0,0.0,0.0,0.0,0.0
1981,2142,9719,0,0,57494.0,0,0.0,0.0,0.0,0.0
1982,2422,10268,0,0,59488.0,0,0.0,0.0,0.0,0.0
1983,2556,9299,0,0,63170.0,0,0.0,0.0,0.0,0.0
1984,2338,10745,0,0,70013.0,0,0.0,0.0,0.0,0.0
1985,2546,10979,0,0,73820.0,0,0.0,0.0,0.0,0.0
1986,2419,11199,0,0,77824.0,0,0.0,0.0,0.0,0.0
1987,1576,11311,0,0,82013.0,0,0.0,0.0,0.0,0.0
1988,1488,11464,0,0,89620.0,0,0.0,0.0,0.0,0.0
1989,1476,10848,0,0,95216.0,0,0.0,0.0,0.0,0.0
1990,2014,11226,0,0,100236.0,0,0.0,0.0,0.0,0.0
1991,2517,10991,0,0,104774.0,0,0.0,0.0,0.0,0.0
1992,2402,11207,0,0,112972.0,0,0.0,0.0,0.0,0.0
1993,2487,11465,0,0,120024.0,0,0.0,0.0,0.0,0.0
1994,2228,11516,0,0,129437.0,0,0.0,0.0,0.0,0.0
1995,2378,10970,0,0,135311.0,0,582.58668,95.2381,0.0,0.0
1996,2696,10121,0,0,143444.0,0,580.53332,95.2381,0.0,0.0
1997,2483,3916,0,0,151035.0,0,578.47999,95.2381,0.0,0.0
1998,1747,9397,0,0,163831.0,0,576.4266700000003,95.2381,0.0,0.0
1999,1985,11495,0,0,173620.0,0,575.5866599999998,95.2381,0.0,0.0
2000,1986,11512,0,3,182408.0,0,574.84001,95.2381,0.0,0.0
2001,2056,11507,0,72,189229.0,0,574.09333,95.2381,0.0,0.0
2002,2515,12449,0,46,196373.0,0,2988.56954,496.42857,0.0,0.0
2003,1843,12215,0,98,204774.0,0,10980.86285,1832.07357,0.0,0.0
2004,1981,11888,0,104,215990.0,0,15186.05185,2544.9123600000007,0.0,0.0
2005,1740,9921,0,93,226325.0,0,24299.393819999998,4089.6091,0.0,0.0
2006,1679,12234,0,101,235787.0,0,29630.69598,5009.178910000001,0.0,0.0
2007,1516,12910,0,109,243632.0,0,39801.770469999996,6758.87026,0.0,0.0
2008,1616,12155,0,487,244546.0,0,62456.911439999996,10652.10469,0.0,0.0
2009,1394,12683,0,1052,244995.0,0,64095.8049,11000.0,0.0,0.0
