Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960,609,0,0,0,,35172.808880000004,0.0,0.0,776678.0,198148.78372
1961,633,0,0,0,,43948.63323,0.0,0.0,823234.6,212402.49062
1962,975,0,0,0,,44643.74803,0.0,0.0,787912.6,223664.49021
1963,879,0,0,0,1353.0,54288.46588,0.0,0.0,837560.6,228098.58887
1964,874,0,0,0,1405.0,53888.77487000001,0.0,0.0,804761.6,254085.63656
1965,884,0,0,0,1448.0,56651.8562,0.0,0.0,802221.2,257327.19835
1966,923,0,0,0,1509.0,63776.7829,0.0,0.0,779926.0,265545.11938
1967,789,0,0,0,1541.0,62351.79756,0.0,0.0,790609.6,261936.95888
1968,959,0,0,0,1671.0,66539.86422999999,0.0,0.0,836650.0,271109.56405
1969,1097,0,0,0,1801.0,79972.95774,0.0,0.0,898681.0,331157.55954
1970,1006,0,0,0,1943.0,125502.9771,0.0,0.0,930001.0,369348.19815
1971,1312,0,0,0,2100.0,139926.6092,0.0,0.0,859061.2,413351.4532
1972,1172,0,0,0,2356.0,189905.3634,0.0,0.0,812063.8,414918.60728
1973,1209,0,0,0,2844.0,275588.2395,0.0,0.0,823101.2,394438.40903
1974,1411,0,0,0,3470.0,386138.0709,0.0,0.0,811982.6,352221.03579
1975,1120,0,0,0,3983.0,434559.635,0.0,0.0,788469.4,320169.48319
1976,1043,0,0,0,4722.0,562876.027,0.0,0.0,778064.2,339418.77392
1977,762,0,0,0,5540.0,829722.3612,0.0,0.0,791537.6,338023.40443
1978,982,0,0,0,6689.0,1040681.177,0.0,0.0,796833.0,352491.33403
1979,1053,0,0,0,8063.0,1273791.729,0.0,0.0,764962.0,416117.88542
1980,1108,0,0,0,10428.0,1689893.822,0.0,0.0,732899.6,461425.84964
1981,841,0,0,0,12703.0,1805421.377,0.0,0.0,757265.4,464652.87379
1982,850,0,0,0,12422.0,1883979.517,0.0,0.0,686140.0,462149.53005
1983,1150,0,0,1,11578.0,1951950.186,0.0,0.0,686157.4,508257.07579
1984,1286,0,0,3,12152.0,2262189.993,0.0,0.0,720760.2,598189.74403
1985,1068,0,0,3,12205.0,2430658.458,0.0,0.0,745381.2,497605.3092
1986,1140,0,0,1,10522.0,2363205.31,0.0,0.0,703754.6,469950.53547
1987,768,0,0,0,10370.0,2536335.929,0.0,0.0,668542.8,571511.19812
1988,789,0,0,0,10991.0,2850213.97,0.0,0.0,661107.2,588311.67144
1989,680,0,0,0,11437.0,2972702.125,0.0,0.0,624747.0,753468.48787
1990,645,0,0,0,12705.0,3194481.525,0.0,0.0,602364.8,858078.30781
1991,736,0,0,0,12977.0,3356523.854,0.0,0.0,579582.4,878303.40117
1992,636,0,0,0,13179.0,3301794.79,0.0,0.0,561498.0,945021.29762
1993,787,0,0,0,13791.0,3633351.045,0.0,0.0,508468.6,720973.13548
1994,897,0,0,0,14070.0,4093409.976,343.67927000000014,55.98549000000001,461262.4,791261.7181
1995,799,0,0,0,14608.0,4551802.751,345.0177,56.40161,457527.2,776648.70506
1996,1232,0,0,0,15752.0,4817050.982,147.4203,24.18471,425517.0,782621.4576
1997,1381,0,0,0,16084.0,4886099.885,270.39612,44.51668,407020.8,864585.22891
1998,1342,0,0,2,14946.0,5450487.525,329.74965,54.48174,375735.6,1034061.22503
1999,1170,0,0,11,15771.0,5837970.632,315.7571200000001,52.24601,354530.8,1099852.87588
2000,1011,0,0,246,17349.0,5892281.461,390.57591,64.70966999999999,352210.8,1236233.28351
2001,879,0,0,365,18831.0,6407633.373,440.30674000000016,73.04383,333111.4,1543692.11129
2002,584,0,0,447,19293.0,6486135.238,615.74464,102.28078,317358.6,1632472.66212
2003,594,0,0,366,21235.0,6551331.038,740.96321,123.62408,303960.6,1719757.62908
2004,593,0,0,617,23466.0,6908961.8939999975,689.3589099999997,115.5243,299390.2,1777565.48345
2005,808,0,0,717,27454.0,7019843.083,659.87776,111.058,299430.8,1816933.4961
2006,843,0,0,759,32674.0,7739988.313999997,662.7914099999998,112.04734,306843.2,1995664.3658
2007,729,0,0,755,36331.0,7847633.536,705.4124099999997,119.78841,313954.0,2240913.02016
2008,835,0,0,963,42872.0,8087435.336,876.6298,149.51031,307069.4,2469390.73482
2009,967,0,0,2226,37129.0,7459875.528,900.97241,154.62317,297731.4,2544093.54798
