Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960.0,1156.0,0.0,0.0,0.0,,261.0,0.0,0.0,0.0,1629.8,18.19,-1.19,2.91,23.72
1961.0,1142.0,0.0,0.0,0.0,,235.0,0.0,0.0,0.0,1351.4,15.98,-9.82,2.85,22.96
1962.0,1502.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,980.2,24.58,18.68,2.85,22.69
1963.0,2909.0,0.0,0.0,0.0,1610.0,0.0,0.0,0.0,0.0,1247.0,19.85,0.49,2.91,22.9
1964.0,3094.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,1432.6,17.94,-5.66,3.0,23.3
1965.0,3872.0,0.0,0.0,0.0,1763.0,0.0,0.0,0.0,0.0,1270.2,21.54,9.69,3.01,23.0
1966.0,4849.0,9.0,0.0,0.0,1919.0,0.0,0.0,0.0,0.0,1386.2,18.34,3.19,3.1,23.01
1967.0,4930.0,67.0,0.0,0.0,1960.0,0.0,0.0,0.0,0.0,1223.8,17.41,0.77,3.12,22.53
1968.0,5645.0,-3.0,0.0,0.0,2093.0,0.0,0.0,0.0,0.0,1084.6,21.04,5.93,3.18,21.99
1969.0,6350.0,0.0,0.0,0.0,2273.0,0.0,0.0,0.0,0.0,916.4,17.53,2.19,3.32,21.81
1970.0,6579.0,0.0,0.0,0.0,2437.0,0.0,0.0,0.0,0.0,928.0,18.64,2.91,3.39,21.04
1971.0,7778.0,0.0,0.0,0.0,2656.0,0.0,0.0,0.0,0.0,1351.4,20.95,11.55,3.6,21.42
1972.0,7432.0,0.0,0.0,0.0,3046.0,0.0,0.0,0.0,0.0,1270.2,20.65,15.81,3.6,20.74
1973.0,4837.0,0.0,0.0,0.0,3958.0,0.0,0.0,0.0,0.0,1595.0,18.66,6.1,4.75,25.56
1974.0,5661.0,0.0,0.0,0.0,3966.0,0.0,0.0,0.0,0.0,2865.2,13.05,-14.86,9.35,45.6
1975.0,7927.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,2737.6,18.34,1.11,12.21,54.61
1976.0,7052.0,0.0,0.0,0.0,4645.0,0.0,0.0,0.0,0.0,2592.6,12.77,-18.54,13.1,55.46
1977.0,5294.0,0.0,0.0,0.0,5116.0,0.0,0.0,0.0,0.0,3665.6,25.04,11.96,14.4,57.2
1978.0,6831.0,0.0,0.0,0.0,5971.0,0.0,0.0,0.0,0.0,5040.2,18.94,10.4,14.95,55.24
1979.0,6359.0,0.0,0.0,0.0,6716.0,0.0,0.0,0.0,909.9784,4906.8,18.44,5.55,25.1,82.51
1980.0,5818.0,0.0,0.0,0.0,6760.0,0.0,0.0,0.0,1190.614,4437.0,14.71,-16.23,37.42,109.51
