Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB,PCP,ZNDX,OIL_PRICE
1960,17445,0,0,0,0,0,0,0,1771041.6,589695.1451,21.77,-4.36,23.72
1961,15368,5,0,0,0,0,0,0,1737732.2,633797.9406,16.53,-6.81,22.96
1962,22835,7,0,0,0,0,0,0,1720222,642889.4563,22.1,-0.68,22.69
1963,25334,193,0,0,67809,0,0,0,1745266.4,736625.8428,24.74,9.9,22.9
1964,22098,367,0,0,73513,0,0,0,1740052.2,756639.9389,22.27,2.69,23.3
1965,30523,270,0,0,78253,0,0,0,1835282.4,752461.6474,21.98,4.63,23
1966,26236,163,0,0,84627,0,0,0,2002711,785759.2238,18.72,-9.29,23.01
1967,35277,563,0,0,89571,0,0,0,2083470.2,776043.3003,23.75,7.1,22.53
1968,27175,1505,0,0,98721,0,0,0,2177876.8,814570.8625,20.37,-4.32,21.99
1969,40418,2458,0,0,106629,0,0,0,2176687.8,772179.4916,30.6,9.41,21.81
1970,38082,3132,0,0,111985,0,0,0,2158707.8,739623.6843,27.81,4.12,21.04
1971,39018,3519,0,0,120372,0,0,0,2079207.2,700449.5877,18.24,2.83,21.42
1972,31755,3175,0,0,133143,0,0,0,2012727.6,561777.9517,17.21,-6.13,20.74
1973,38754,2631,0,0,147231,0,0,0,1949235,507133.0687,28.93,4.81,25.56
1974,46422,3698,0,0,161815,0,0,0,1873417.4,419143.6819,21.35,-1.41,45.6
1975,40103,6071,0,0,178394,0,0,0,1868754.2,365212.1334,20.94,0.79,54.61
1976,23193,4807,0,0,197347,0,0,0,1890921.8,400198.6708,11.75,-18.29,55.46
1977,14251,8115,0,0,229592,0,0,0,2027732.2,353544.2145,17.53,-17.11,57.2
1978,37206,7659,0,0,262803,0,0,0,2013649.8,352083.5822,28.86,9.3,55.24
1979,33920,8762,0,0,293491,0,0,0,2043154.4,282281.1734,24.63,2.51,82.51
1980,40780,4920,0,0,327958,0,0,0,2070153.4,342208.3289,24.12,2.6,109.51
1981,29764,3206,0,0,368808,0,0,0,2232756.4,414770.716,26.24,0.96,94.83
1982,50226,3735,0,0,393788,0,0,0,2329117.6,432487.2135,31.99,20,79.5
1983,56885,5613,0,1,426143,0,0,0,2347190.4,463384.5899,42.46,30.01,70.34
1984,43159,14144,5,4,482166,0,0,0,2389716,526963.1637,18.32,-3.28,66.67
1985,31717,19729,11,3,523906,852,578.03329,91.17673,2458486.6,546052.752,14.7,-11.92,60.27
1986,41459,26215,14,3,563082,0,610.94491,96.71333,2358657,511410.7223,24.25,-0.72,31.72
1987,24564,30387,10,4,615359,552,667.8501,106.09983,2295060,468677.7616,19.71,-11.87,37.62
1988,23474,30863,9,1,671575,648,669.90976,106.81056,2238875.4,444232.9773,17.1,-5.79,30.33
1989,30801,32519,250,2079,722979,492,631.33666,101.02223,2112650,404557.6604,14.95,-9.01,35.6
1990,23793,32693,367,2759,773460,732,528.8022,84.90935,2035214.2,401146.6806,13.99,-16.03,42.62
1991,21957,31542,471,2915,790046,684,618.23605,99.62873,2035892.8,414017.1422,19.79,-5.36,35.73
1992,20167,35244,399,2864,807358,1236,651.36435,105.35078,2018632,402191.7601,23.23,-7.91,33.04
1993,40493,31581,462,2984,826447,0,686.46718,111.41669,1993628.2,352455.9707,26.7,7.27,27.94
1994,23013,33752,486,3387,861360,0,753.99023,122.82532,1992700.2,340053.1185,17.54,-8.86,25.44
1995,48033,30246,497,3087,911577,0,724.95331,118.51142,2033978.8,308223.984,35.2,20.59,26.48
1996,44751,34097,521,3079,964186,0,297.70052,48.83859,2011602.4,320465.7157,32.51,12.48,31.4
1997,41055,30512,511,3137,1037091,0,526.36757,86.65856,1967980.6,313734.3359,20.6,-6.67,27.98
1998,49548,34594,502,2758,1151119,0,620.43757,102.50964,1913188,349864.2651,36.41,29.06,17.6
1999,40737,33372,495,3230,1248006,0,575.60031,95.24035,1813770.2,410698.8177,17.63,-5.38,23.89
2000,38334,35176,493,3518,1362995,0,691.26792,114.52759,1775519.2,390975.4554,21.43,-4.56,38.29
2001,25542,33220,542,3500,1376163,0,758.04338,125.75413,1692242.8,408479.0781,23.02,-7.58,31.3
2002,31141,34352,554,3803,1431267,0,1032.95309,171.5829,1669199.4,394507.1096,18.68,-10.15,30.52
2003,36371,35594,534,3895,1523473,0,1213.08394,202.39384,1624000,373313.5272,21.63,-0.9,36.26
2004,34141,30268,571,4306,1645084,0,1102.97425,184.83888,1550108,356231.7195,21.76,-6.82,47.98
2005,39632,36155,537,4262,1766693,0,2155.6007,362.78947,1489718.4,353819.5354,30.1,16.07,61.65
2006,48047,31959,495,4883,1879520,0,5534.30826,935.59531,1447459.6,351100.4993,23.61,-0.67,69.64
2007,27328,35792,557,5585,1956523,0,12532.82711,2128.24082,1399992.4,339526.5504,13.84,-18.64,74.44
2008,24128,32482,670,5385,1983926,0,13309.87594,2270.01606,1384407.8,331492.569,17.85,-14.24,102
2009,27888,31764,647,5840,1912115,0,6861.25147,1177.51491,1328165.2,309834.8831,17.05,-10.55,59.93
