Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,2990.0,0.0,0.0,0.0,,0.0,0.0,0.0,423.4,9.86,-3.91,2.91,23.72
1961,2934.0,0.0,0.0,0.0,,0.0,0.0,0.0,423.4,11.36,-8.37,2.85,22.96
1962,2923.0,0.0,0.0,0.0,,0.0,0.0,243.57,226.2,10.07,-4.68,2.85,22.69
1963,2942.0,0.0,0.0,0.0,4482.0,0.0,0.0,1412.706,394.4,11.56,-6.58,2.91,22.9
1964,2885.0,0.0,0.0,0.0,4817.0,0.0,0.0,2144.475,371.2,11.13,-5.47,3.0,23.3
1965,4439.0,0.0,0.0,0.0,5028.0,0.0,0.0,3289.2540000000013,562.6,17.79,16.01,3.01,23.0
1966,5221.0,0.0,0.0,0.0,5527.0,0.0,0.0,3347.499000000001,765.6,11.22,5.46,3.1,23.01
1967,5008.0,0.0,0.0,0.0,5783.0,0.0,0.0,1329.045,16959.2,13.95,-1.98,3.12,22.53
1968,5704.0,0.0,0.0,0.0,6593.0,0.0,0.0,932.979,19546.0,10.29,1.03,3.18,21.99
1969,6074.0,0.0,0.0,0.0,7563.0,0.0,0.0,1203.024,14111.4,12.5,0.75,3.32,21.81
1970,6154.0,0.0,0.0,0.0,8569.0,0.0,0.0,1165.9589999999996,10347.2,11.06,-5.99,3.39,21.04
1971,6643.0,0.0,0.0,0.0,9649.0,0.0,0.0,919.212,7168.8,11.61,-6.74,3.6,21.42
1972,6784.0,0.0,0.0,0.0,11292.0,0.0,0.0,468.078,5759.4,11.97,-6.07,3.6,20.74
1973,7197.0,0.0,0.0,0.0,13330.0,0.0,0.0,132.0,4663.2,10.89,10.13,4.75,25.56
1974,7400.0,0.0,0.0,0.0,14611.0,0.0,0.0,238.56,4292.0,10.99,-8.01,9.35,45.6
1975,7254.0,0.0,0.0,0.0,15284.0,0.0,0.0,218.816,3683.0,10.16,-4.21,12.21,54.61
1976,7579.0,0.0,0.0,0.0,16970.0,0.0,0.0,275.624,3010.2,11.62,-3.65,13.1,55.46
1977,6597.0,0.0,0.0,0.0,19609.0,0.0,0.0,253.44,2476.6,10.61,-10.7,14.4,57.2
1978,7021.0,0.0,0.0,0.0,23279.0,0.0,0.0,304.5042,2424.4,20.13,23.91,14.95,55.24
1979,7256.0,0.0,0.0,0.0,27495.0,0.0,0.0,258.2138,2737.6,12.21,13.52,25.1,82.51
1980,9836.0,0.0,0.0,0.0,30764.0,0.0,0.0,224.486,2354.8,13.58,9.17,37.42,109.51
1981,6803.0,0.0,0.0,0.0,34269.0,0.0,0.0,196.911,2070.6,12.47,-7.87,35.75,94.83
1982,7015.0,0.0,0.0,0.0,35794.0,0.0,0.0,104.346,1943.0,16.52,9.82,31.83,79.5
1983,14482.0,0.0,0.0,0.0,39774.0,0.0,0.0,137.94,1374.6,18.97,28.01,29.08,70.34
1984,15679.0,0.0,0.0,0.0,46135.0,0.0,0.0,47.115,1247.0,15.88,3.35,28.75,66.67
1985,13987.0,1130.0,0.0,0.0,50709.0,0.0,0.0,89.25,1015.0,13.9,11.77,26.92,60.27
1986,14461.0,9976.0,0.0,0.0,55881.0,0.0,0.0,65.457,933.8,13.87,-1.05,14.44,31.72
1987,10135.0,13458.0,0.0,0.0,60047.0,0.0,0.0,62.16,754.0,13.28,3.14,17.75,37.62
1988,7786.0,22940.0,0.0,0.0,64945.0,0.0,0.0,57.904,661.2,12.64,0.73,14.87,30.33
1989,7877.0,7850.0,0.0,0.0,67895.0,0.0,0.0,1414.4,794.6,7.67,-20.36,18.33,35.6
1990,7418.0,20598.0,0.0,0.0,70632.0,0.0,0.0,2193.0,701.8,14.08,-1.6,23.19,42.62
1991,6736.0,25096.0,0.0,0.0,73358.0,0.0,0.0,1255.52045,643.8,12.91,3.73,20.2,35.73
1992,6621.0,25609.0,0.0,0.0,82682.0,0.0,0.0,794.95358,545.2,18.15,21.22,19.25,33.04
1993,6697.0,22049.0,0.0,0.0,89300.0,0.0,0.0,614.0871099999998,423.4,16.77,18.99,16.75,27.94
1994,7365.0,23171.0,0.0,0.0,100374.0,0.0,0.0,772.0729299999997,377.0,12.45,-5.99,15.66,25.44
1995,8288.0,26985.0,0.0,0.0,109906.0,0.0,0.0,577.2402,411.8,11.44,2.73,16.75,26.48
1996,9214.0,28840.0,0.0,0.0,119530.0,0.0,0.0,468.44887,487.2,8.74,-19.57,20.46,31.4
1997,12049.0,29314.0,0.0,0.0,129279.0,0.0,0.0,461.49608,475.6,12.71,-6.2,18.64,27.98
1998,10970.0,30301.0,0.0,0.0,143768.0,0.0,0.0,464.29676,452.4,14.44,12.57,11.91,17.6
1999,9759.0,30416.0,0.0,0.0,156145.0,0.0,0.0,480.81464000000005,382.8,10.37,-13.08,16.56,23.89
2000,8354.0,30381.0,0.0,0.0,165912.0,0.0,0.0,373.11323,342.2,11.13,-12.93,27.39,38.29
2001,7624.0,28724.0,0.0,0.0,172288.0,0.0,0.0,311.16246,342.2,10.79,-5.76,23.0,31.3
2002,7427.0,30862.0,0.0,0.0,179605.0,0.0,0.0,306.10038,365.4,6.97,-22.43,22.81,30.52
2003,7075.0,28581.0,0.0,0.0,192685.0,0.0,0.0,447.86834000000016,272.6,10.51,-11.36,27.69,36.26
2004,6973.0,28113.0,4.0,0.0,204136.0,0.0,0.0,337.48363,301.6,13.52,-4.66,37.66,47.98
2005,6410.0,25807.0,14.0,0.0,227358.0,0.0,0.0,238.75379,290.0,13.08,9.48,50.04,61.65
2006,6793.0,24012.0,13.0,0.0,248459.0,0.0,0.0,623.35362,319.0,9.76,-14.99,58.3,69.64
2007,6598.0,26782.0,9.0,0.0,262045.0,3879.76824,658.83627,669.58419,249.4,10.99,-14.63,64.2,74.44
2008,7286.0,29250.0,15.0,0.0,256718.0,7563.0806,1289.8929,537.121,301.6,12.31,0.17,91.48,102.0
2009,6427.0,30662.0,14.0,30.0,242509.0,7623.61274,1308.3499,726.952,266.8,7.03,-19.35,53.48,59.93
2010,6622.0,31200.0,16.0,135.0,245668.0,,,,,13.91,7.28,71.21,78.65
2011,9174.0,31278.0,81.0,256.0,254192.0,,,,,9.63,-13.22,87.04,93.21
2012,6717.0,31934.0,951.0,532.0,264693.0,,,,,9.56,-16.3,86.46,90.72
2013,5915.0,31431.0,2092.0,450.0,270642.0,,,,,12.13,-4.69,91.17,94.25
2014,6118.0,32321.0,3118.0,468.0,280166.0,,,,,11.07,-14.52,85.6,87.05
2015,,,,,290903.0,,,,,14.39,-1.9,41.85,42.53
2016,,,,,,,,,,12.44,-10.7,,
