Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,27.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.91,23.72
1961,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.85,22.96
1962,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.85,22.69
1963,23.0,0.0,0.0,0.0,2367.0,0.0,0.0,0.0,0.0,,,2.91,22.9
1964,115.0,0.0,0.0,0.0,2571.0,0.0,0.0,0.0,0.0,,,3.0,23.3
1965,105.0,0.0,0.0,0.0,2849.0,0.0,0.0,0.0,0.0,,,3.01,23.0
1966,112.0,0.0,0.0,0.0,3110.0,0.0,0.0,0.0,0.0,,,3.1,23.01
1967,108.0,0.0,0.0,0.0,3307.0,0.0,0.0,0.0,0.0,,,3.12,22.53
1968,94.0,0.0,0.0,0.0,3722.0,0.0,0.0,0.0,0.0,,,3.18,21.99
1969,100.0,0.0,0.0,0.0,4262.0,0.0,0.0,0.0,0.0,,,3.32,21.81
1970,108.0,0.0,0.0,0.0,4813.0,0.0,0.0,0.0,0.0,,,3.39,21.04
1971,89.0,0.0,0.0,0.0,5188.0,0.0,0.0,0.0,0.0,,,3.6,21.42
1972,91.0,0.0,0.0,0.0,5624.0,0.0,0.0,0.0,0.0,,,3.6,20.74
1973,95.0,0.0,0.0,0.0,6353.0,0.0,0.0,0.0,0.0,,,4.75,25.56
1974,92.0,0.0,0.0,0.0,7143.0,0.0,0.0,0.0,0.0,,,9.35,45.6
1975,89.0,0.0,0.0,0.0,8173.0,0.0,0.0,0.0,0.0,,,12.21,54.61
1976,93.0,0.0,0.0,0.0,8526.0,0.0,0.0,0.0,0.0,,,13.1,55.46
1977,86.0,0.0,0.0,0.0,9441.0,0.0,0.0,0.0,0.0,,,14.4,57.2
1978,84.0,0.0,0.0,0.0,10508.0,0.0,0.0,0.0,0.0,,,14.95,55.24
1979,90.0,0.0,0.0,0.0,11869.0,0.0,0.0,0.0,0.0,,,25.1,82.51
1980,86.0,0.0,0.0,0.0,13380.0,0.0,0.0,0.0,0.0,,,37.42,109.51
1981,80.0,0.0,0.0,0.0,14640.0,0.0,0.0,0.0,0.0,,,35.75,94.83
1982,90.0,0.0,0.0,0.0,15740.0,0.0,0.0,0.0,0.0,,,31.83,79.5
1983,84.0,0.0,0.0,0.0,17260.0,0.0,0.0,0.0,0.0,,,29.08,70.34
1984,82.0,0.0,0.0,0.0,19132.0,0.0,0.0,0.0,0.0,,,28.75,66.67
1985,86.0,0.0,0.0,0.0,20722.0,0.0,0.0,0.0,0.0,,,26.92,60.27
1986,78.0,0.0,0.0,0.0,22437.0,0.0,0.0,0.0,0.0,,,14.44,31.72
1987,82.0,0.0,0.0,0.0,24273.0,0.0,0.0,0.0,0.0,,,17.75,37.62
1988,81.0,0.0,0.0,0.0,26799.0,0.0,0.0,0.0,0.0,,,14.87,30.33
1989,56.0,0.0,0.0,33.0,29427.0,0.0,0.0,0.0,0.0,,,18.33,35.6
1990,80.0,0.0,0.0,29.0,32534.0,0.0,0.0,0.0,0.0,,,23.19,42.62
1991,71.0,0.0,0.0,36.0,34357.0,0.0,0.0,0.0,0.0,,,20.2,35.73
1992,61.0,0.0,0.0,23.0,36129.0,0.0,0.0,0.0,0.0,,,19.25,33.04
1993,56.0,0.0,0.0,22.0,36732.0,0.0,0.0,0.0,0.0,,,16.75,27.94
1994,139.0,0.0,0.0,20.0,37395.0,0.0,0.0,0.0,0.0,,,15.66,25.44
1995,98.0,0.0,0.0,20.0,37763.0,0.0,0.0,0.0,0.0,,,16.75,26.48
1996,104.0,0.0,0.0,23.0,38125.0,0.0,0.0,0.0,0.0,,,20.46,31.4
1997,115.0,0.0,0.0,16.0,39064.0,0.0,0.0,0.0,0.0,,,18.64,27.98
1998,121.0,0.0,0.0,19.0,37585.0,0.0,0.0,0.0,0.0,,,11.91,17.6
1999,115.0,0.0,0.0,16.0,39224.0,0.0,0.0,0.0,0.0,,,16.56,23.89
2000,103.0,0.0,0.0,17.0,41472.0,0.0,0.0,0.0,0.0,,,27.39,38.29
2001,101.0,0.0,0.0,2.0,43089.0,0.0,0.0,0.0,0.0,,,23.0,31.3
2002,95.0,0.0,0.0,2.0,45581.0,0.0,0.0,0.0,0.0,,,22.81,30.52
2003,91.0,0.0,0.0,2.0,49136.0,0.0,0.0,0.0,0.0,,,27.69,36.26
2004,94.0,0.0,0.0,7.0,53755.0,0.0,0.0,0.0,0.0,,,37.66,47.98
2005,96.0,0.0,0.0,7.0,58573.0,0.0,0.0,0.0,0.0,,,50.04,61.65
2006,120.0,0.0,0.0,80.0,62054.0,0.0,0.0,0.0,0.0,,,58.3,69.64
2007,92.0,0.0,0.0,238.0,65210.0,0.0,0.0,0.0,0.0,,,64.2,74.44
2008,84.0,0.0,0.0,240.0,66692.0,0.0,0.0,0.0,0.0,,,91.48,102.0
2009,113.0,0.0,1.0,251.0,65382.0,0.0,0.0,0.0,0.0,,,53.48,59.93
2010,70.0,0.0,2.0,261.0,68225.0,,,,,,,71.21,78.65
2011,93.0,0.0,4.0,341.0,70017.0,,,,,,,87.04,93.21
2012,115.0,0.0,5.0,378.0,72532.0,,,,,,,86.46,90.72
2013,78.0,0.0,19.0,503.0,74653.0,,,,,,,91.17,94.25
2014,94.0,0.0,39.0,579.0,76588.0,,,,,,,85.6,87.05
2015,,,,,80376.0,,,,,,,41.85,42.53
