Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,2633.0,0.0,0.0,0.0,,0.0,0.0,86717.45851,122652.6,40.9,-5.09,2.91,23.72
1961,2545.0,0.0,0.0,0.0,,0.0,0.0,81661.46311,106395.2,51.44,8.24,2.85,22.96
1962,2775.0,0.0,0.0,0.0,,0.0,0.0,80860.23978999999,103176.2,50.2,5.76,2.85,22.69
1963,2328.0,0.0,0.0,0.0,8355.0,0.0,0.0,85917.38638,106395.2,34.12,-15.38,2.91,22.9
1964,2415.0,0.0,0.0,0.0,8774.0,0.0,0.0,89055.51103,114677.6,47.87,-2.17,3.0,23.3
1965,2464.0,0.0,0.0,0.0,9518.0,0.0,0.0,90915.82264,112438.8,41.49,-5.65,3.01,23.0
1966,2565.0,0.0,0.0,0.0,10378.0,0.0,0.0,88106.9363,104782.8,46.66,1.59,3.1,23.01
1967,3697.0,0.0,0.0,0.0,11041.0,0.0,0.0,102648.67901,90103.0,48.37,7.23,3.12,22.53
1968,2927.0,0.0,0.0,0.0,12212.0,0.0,0.0,102482.90866,81408.8,44.21,-2.23,3.18,21.99
1969,2678.0,0.0,0.0,0.0,13206.0,0.0,0.0,93595.77649,74959.2,42.87,-2.74,3.32,21.81
1970,3174.0,0.0,0.0,0.0,13943.0,0.0,0.0,89667.94035,67135.0,47.64,3.05,3.39,21.04
1971,3536.0,0.0,0.0,0.0,15568.0,0.0,0.0,84370.47812,62013.6,44.38,0.27,3.6,21.42
1972,3770.0,0.0,0.0,0.0,16915.0,0.0,0.0,75068.98795,56271.6,57.08,13.65,3.6,20.74
1973,3823.0,0.0,0.0,0.0,18903.0,0.0,0.0,72538.10827000001,50384.6,53.25,7.13,4.75,25.56
1974,3398.0,0.0,0.0,0.0,21173.0,0.0,0.0,82008.02863,45454.6,53.07,11.39,9.35,45.6
1975,3463.0,0.0,0.0,0.0,22810.0,0.0,0.0,69665.69127000001,43824.8,56.95,13.58,12.21,54.61
1976,3159.0,0.0,0.0,0.0,26040.0,0.0,0.0,75265.34659,43401.4,42.5,1.49,13.1,55.46
1977,3313.0,0.0,0.0,0.0,29176.0,0.0,0.0,69159.31256,38169.8,48.52,4.15,14.4,57.2
1978,3182.0,0.0,0.0,0.0,32683.0,0.0,0.0,80155.20582,33199.2,52.97,7.46,14.95,55.24
1979,3940.0,0.0,0.0,0.0,35838.0,0.0,0.0,66718.96816,31981.2,62.58,23.74,25.1,82.51
1980,2940.0,0.0,0.0,0.0,37017.0,0.0,0.0,70246.07186,34486.8,37.26,-11.22,37.42,109.51
1981,2598.0,0.0,0.0,0.0,41068.0,0.0,0.0,72066.82423,37978.4,43.92,0.6,35.75,94.83
1982,3343.0,0.0,0.0,0.0,42184.0,0.0,0.0,64110.01413,42624.2,50.25,7.01,31.83,79.5
1983,3244.0,0.0,0.0,0.0,44092.0,0.0,0.0,57450.72511,45738.8,47.83,-0.24,29.08,70.34
1984,3514.0,0.0,0.0,0.0,49344.0,0.0,0.0,73522.9669,45106.6,52.7,6.06,28.75,66.67
1985,2941.0,0.0,0.0,0.0,51893.0,0.0,0.0,85907.2184,45182.0,44.42,0.19,26.92,60.27
1986,2734.0,0.0,0.0,0.0,53199.0,0.0,0.0,90435.35627,37555.0,42.58,-7.52,14.44,31.72
1987,2948.0,0.0,0.0,0.0,56282.0,0.0,0.0,76070.19667,33309.4,38.44,-13.95,17.75,37.62
1988,2423.0,0.0,0.0,0.0,61851.0,0.0,0.0,80288.2979,31662.2,43.56,-4.58,14.87,30.33
1989,4404.0,0.0,0.0,0.0,65525.0,0.0,0.0,77853.54973,31401.2,57.74,16.82,18.33,35.6
1990,3160.0,0.0,0.0,0.0,68412.0,0.0,0.0,81882.95148999999,31372.2,55.41,8.75,23.19,42.62
1991,3658.0,0.0,0.0,0.0,71679.0,0.0,0.0,86638.90488,31813.0,46.03,-6.97,20.2,35.73
1992,3767.0,0.0,0.0,0.0,77531.0,0.0,0.0,88465.16219,31778.2,42.8,1.21,19.25,33.04
1993,3155.0,0.0,0.0,0.0,81618.0,0.0,0.0,95194.25377,26651.0,46.87,2.14,16.75,27.94
1994,4014.0,0.0,0.0,0.0,87646.0,0.0,0.0,81184.47859,23275.4,48.66,1.14,15.66,25.44
1995,3423.0,0.0,0.0,0.0,91915.0,0.0,0.0,85916.51793,20253.6,47.95,1.13,16.75,26.48
1996,3497.0,0.0,0.0,0.0,96617.0,0.0,0.0,89489.05439,20891.6,56.75,16.19,20.46,31.4
1997,3380.0,0.0,0.0,0.0,103621.0,0.0,0.0,87436.98386000001,17330.4,49.05,2.75,18.64,27.98
1998,3116.0,0.0,0.0,0.0,109619.0,0.0,0.0,88323.77458,16941.8,49.32,-1.23,11.91,17.6
1999,2557.0,0.0,0.0,0.0,115418.0,0.0,0.0,83000.0582,16106.6,38.09,-16.48,16.56,23.89
2000,2325.0,0.0,0.0,0.0,114592.0,0.0,0.0,87158.25623,20097.0,45.29,-2.11,27.39,38.29
2001,3856.0,0.0,0.0,0.0,118302.0,0.0,0.0,87104.55868,17220.2,45.43,0.37,23.0,31.3
2002,4025.0,0.0,0.0,0.0,123039.0,0.0,0.0,94221.63231,15538.2,53.51,6.71,22.81,30.52
2003,3948.0,0.0,0.0,0.0,128081.0,0.0,0.0,93026.94512,14720.4,55.98,14.49,27.69,36.26
2004,3780.0,0.0,0.0,0.0,135666.0,3501.94325,586.8634400000002,101150.35936,14778.4,55.94,12.25,37.66,47.98
2005,2961.0,0.0,0.0,0.0,143875.0,3385.17293,569.72755,98069.90293,14703.0,39.8,-12.27,50.04,61.65
2006,2592.0,0.0,0.0,0.0,152133.0,4195.46961,709.25968,101324.12886,13572.0,52.37,9.21,58.3,69.64
2007,1669.0,0.0,0.0,0.0,155441.0,4994.31984,848.1019699999997,100807.64143,15462.8,41.86,-12.13,64.2,74.44
2008,1917.0,0.0,0.0,0.0,158847.0,4867.8737,830.22197,121462.11762,15341.0,46.51,-3.8,91.48,102.0
2009,3318.0,0.0,0.0,0.0,156319.0,4906.834379999998,842.1015699999997,121952.5455,15132.2,54.35,13.79,53.48,59.93
2010,2580.0,0.0,0.0,0.0,165974.0,,,,,43.55,-8.77,71.21,78.65
2011,2969.0,0.0,0.0,0.0,171835.0,,,,,64.34,19.13,87.04,93.21
2012,2362.0,0.0,0.0,0.0,177046.0,,,,,43.21,-7.54,86.46,90.72
2013,3275.0,0.0,0.0,0.0,181440.0,,,,,55.78,14.9,91.17,94.25
2014,3144.0,0.0,0.0,0.0,186344.0,,,,,47.11,3.83,85.6,87.05
2015,,,,,193274.0,,,,,58.3,14.55,41.85,42.53
2016,,,,,,,,,,49.48,0.31,,
