Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,1373.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,45.7,3.42,2.91,23.72
1961,1189.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.35,-8.15,2.85,22.96
1962,1358.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,45.15,4.01,2.85,22.69
1963,1289.0,0.0,0.0,0.0,1651.0,0.0,0.0,0.0,0.0,37.17,-12.41,2.91,22.9
1964,1152.0,0.0,0.0,0.0,1812.0,0.0,0.0,0.0,0.0,35.88,-12.85,3.0,23.3
1965,1053.0,0.0,0.0,0.0,1961.0,0.0,0.0,0.0,0.0,32.86,-15.11,3.01,23.0
1966,1227.0,0.0,0.0,0.0,2169.0,0.0,0.0,0.0,0.0,38.57,-5.65,3.1,23.01
1967,1202.0,0.0,0.0,0.0,2370.0,0.0,0.0,0.0,0.0,41.6,-2.29,3.12,22.53
1968,1205.0,0.0,0.0,0.0,2596.0,0.0,0.0,0.0,0.0,44.7,-2.42,3.18,21.99
1969,1439.0,0.0,0.0,0.0,2817.0,0.0,0.0,0.0,0.0,50.34,10.76,3.32,21.81
1970,1239.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,40.85,-5.73,3.39,21.04
1971,1093.0,0.0,0.0,0.0,3332.0,0.0,0.0,0.0,0.0,40.18,-5.06,3.6,21.42
1972,1270.0,0.0,0.0,0.0,3626.0,0.0,0.0,0.0,0.0,49.79,10.87,3.6,20.74
1973,1613.0,0.0,0.0,0.0,4173.0,0.0,0.0,0.0,0.0,53.37,10.39,4.75,25.56
1974,1465.0,0.0,0.0,0.0,4470.0,0.0,0.0,0.0,0.0,45.01,2.21,9.35,45.6
1975,1251.0,0.0,0.0,0.0,4842.0,0.0,0.0,0.0,0.0,49.41,5.98,12.21,54.61
1976,1515.0,0.0,0.0,0.0,5511.0,0.0,0.0,0.0,0.0,47.06,5.61,13.1,55.46
1977,1404.0,0.0,0.0,0.0,6298.0,0.0,0.0,0.0,0.0,50.32,6.84,14.4,57.2
1978,1131.0,0.0,0.0,0.0,7389.0,0.0,0.0,0.0,0.0,38.71,-7.42,14.95,55.24
1979,1212.0,0.0,0.0,0.0,8351.0,0.0,0.0,0.0,0.0,47.63,1.81,25.1,82.51
1980,1027.0,0.0,0.0,0.0,9263.0,0.0,0.0,0.0,0.0,35.92,-11.51,37.42,109.51
1981,1361.0,0.0,0.0,0.0,10480.0,0.0,0.0,0.0,0.0,49.45,9.87,35.75,94.83
1982,1250.0,0.0,0.0,0.0,11407.0,0.0,0.0,0.0,0.0,39.68,-5.45,31.83,79.5
1983,1353.0,0.0,0.0,0.0,12629.0,0.0,0.0,0.0,0.0,56.45,11.84,29.08,70.34
1984,1255.0,0.0,0.0,0.0,14767.0,0.0,0.0,0.0,0.0,47.7,3.61,28.75,66.67
1985,1131.0,0.0,0.0,0.0,16578.0,0.0,0.0,0.0,0.0,38.65,-6.07,26.92,60.27
1986,1260.0,0.0,0.0,0.0,18369.0,0.0,0.0,0.0,0.0,46.9,6.28,14.44,31.72
1987,1051.0,0.0,0.0,0.0,20994.0,0.0,0.0,0.0,0.0,43.16,-1.12,17.75,37.62
1988,1123.0,0.0,0.0,0.0,22937.0,0.0,0.0,0.0,0.0,41.18,-1.88,14.87,30.33
1989,1341.0,0.0,0.0,0.0,23777.0,0.0,0.0,0.0,0.0,45.87,3.51,18.33,35.6
1990,1881.0,4081.0,0.0,0.0,23768.0,0.0,0.0,0.0,0.0,53.75,12.95,23.19,42.62
1991,1585.0,6788.0,0.0,0.0,24763.0,0.0,0.0,0.0,0.0,46.42,1.89,20.2,35.73
1992,1394.0,7869.0,0.0,0.0,26332.0,0.0,0.0,0.0,0.0,39.0,-3.79,19.25,33.04
1993,1411.0,9047.0,0.0,0.0,27362.0,0.0,0.0,0.0,0.0,42.13,-4.22,16.75,27.94
1994,1461.0,6204.0,0.0,0.0,29190.0,0.0,0.0,0.0,0.0,43.75,-1.21,15.66,25.44
1995,1370.0,8379.0,0.0,0.0,31876.0,0.0,0.0,0.0,0.0,43.69,-3.4,16.75,26.48
1996,1919.0,9845.0,0.0,0.0,34561.0,0.0,0.0,0.0,0.0,57.36,17.28,20.46,31.4
1997,1622.0,7979.0,0.0,0.0,36935.0,0.0,0.0,0.0,0.0,43.12,0.9,18.64,27.98
1998,1597.0,8387.0,0.0,0.0,40652.0,0.0,0.0,0.0,0.0,47.57,2.61,11.91,17.6
1999,1411.0,8676.0,0.0,0.0,42027.0,0.0,0.0,0.0,0.0,46.18,-1.66,16.56,23.89
2000,1427.0,7922.0,0.0,0.0,45519.0,0.0,0.0,0.0,0.0,48.78,8.24,27.39,38.29
2001,991.0,8693.0,0.0,0.0,46967.0,0.0,0.0,0.0,0.0,34.87,-15.98,23.0,31.3
2002,1141.0,9295.0,0.0,0.0,49091.0,0.0,0.0,0.0,0.0,44.89,-1.81,22.81,30.52
2003,1331.0,9276.0,0.0,0.0,51660.0,0.0,0.0,0.0,0.0,50.39,7.64,27.69,36.26
2004,1316.0,10178.0,0.0,0.0,54327.0,0.0,0.0,0.0,0.0,43.24,-0.04,37.66,47.98
2005,1799.0,9456.0,0.0,0.0,57282.0,0.0,0.0,0.0,0.0,61.1,19.38,50.04,61.65
2006,1529.0,9398.0,0.0,0.0,59947.0,0.0,0.0,0.0,0.0,58.26,16.85,58.3,69.64
2007,1265.0,10764.0,0.0,0.0,61370.0,0.0,0.0,0.0,0.0,48.33,5.54,64.2,74.44
2008,1633.0,9350.0,0.0,10.0,61442.0,0.0,0.0,0.0,0.0,60.78,23.82,91.48,102.0
2009,1680.0,8817.0,0.0,62.0,62205.0,0.0,0.0,0.0,0.0,51.68,11.09,53.48,59.93
2010,1478.0,10910.0,0.0,76.0,64159.0,,,,,49.99,2.79,71.21,78.65
