Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,1826.0,230.0,0.0,0.0,,0.0,0.0,117869.04652,34852.2,39.77,-1.2,2.91,23.72
1961,1489.0,305.0,0.0,0.0,,0.0,0.0,103901.0141,32729.4,40.86,-0.92,2.85,22.96
1962,1519.0,320.0,0.0,0.0,,0.0,0.0,93168.15222,30751.6,37.5,-6.48,2.85,22.69
1963,1280.0,355.0,0.0,0.0,34533.0,0.0,0.0,95862.23091,29481.4,31.93,-16.57,2.91,22.9
1964,1281.0,25.0,0.0,0.0,37375.0,0.0,0.0,85008.32171,29655.4,36.71,-12.53,3.0,23.3
1965,1329.0,313.0,0.0,0.0,40541.0,0.0,0.0,87382.71134,28547.6,33.87,-13.42,3.01,23.0
1966,1443.0,525.0,0.0,0.0,44082.0,0.0,0.0,94058.9363,25154.6,35.89,-10.68,3.1,23.01
1967,1914.0,603.0,0.0,0.0,46515.0,0.0,0.0,93078.14268,25444.6,42.12,4.52,3.12,22.53
1968,1182.0,468.0,0.0,0.0,49957.0,0.0,0.0,91030.68426,24128.0,38.07,-9.17,3.18,21.99
1969,916.0,415.0,0.0,0.0,54486.0,0.0,0.0,81871.43746,25798.4,37.96,-4.03,3.32,21.81
1970,1366.0,465.0,0.0,0.0,56670.0,0.0,0.0,79499.11702,23739.4,43.89,4.25,3.39,21.04
1971,779.0,445.0,0.0,0.0,60293.0,0.0,0.0,79063.54029,22028.4,40.78,-0.53,3.6,21.42
1972,1533.0,288.0,0.0,0.0,65390.0,0.0,0.0,76511.82254,19957.8,52.64,16.89,3.6,20.74
1973,1372.0,361.0,0.0,0.0,71852.0,0.0,0.0,81453.43708999999,19035.6,45.66,4.3,4.75,25.56
1974,1393.0,6998.0,0.0,0.0,78201.0,0.0,0.0,84750.74932999999,20172.4,43.45,5.79,9.35,45.6
1975,1576.0,15869.0,0.0,0.0,84120.0,0.0,0.0,86899.29076,18931.2,50.23,14.17,12.21,54.61
1976,1416.0,16425.0,0.0,0.0,90743.0,0.0,0.0,91715.60268,17510.2,41.69,3.57,13.1,55.46
1977,1205.0,17821.0,0.0,0.0,99024.0,0.0,0.0,93712.56153,15747.0,46.69,7.15,14.4,57.2
1978,760.0,22329.0,0.0,0.0,110054.0,0.0,0.0,99960.31206,16744.6,43.1,4.16,14.95,55.24
1979,1222.0,18796.0,0.0,0.0,120527.0,0.0,0.0,98381.22807,16669.2,48.31,10.87,25.1,82.51
1980,734.0,12091.0,0.0,0.0,127181.0,0.0,0.0,99657.22539,15375.8,36.87,-6.28,37.42,109.51
1981,660.0,14276.0,0.0,0.0,138573.0,0.0,0.0,125200.12002,21628.2,40.21,0.15,35.75,94.83
1982,1829.0,16472.0,0.0,0.0,142077.0,0.0,0.0,124571.75861,24835.6,38.34,-5.63,31.83,79.5
1983,1170.0,14718.0,0.0,0.0,152042.0,0.0,0.0,121895.77788,24835.6,46.72,4.28,29.08,70.34
1984,1447.0,21564.0,0.0,0.0,167390.0,0.0,0.0,172100.51256,24847.2,46.11,9.08,28.75,66.67
1985,972.0,26232.0,0.0,0.0,176873.0,0.0,0.0,155591.2135,28135.8,41.54,-1.05,26.92,60.27
1986,1453.0,39820.0,0.0,0.0,187386.0,0.0,0.0,166035.04085,21941.4,43.25,3.77,14.44,31.72
