State StateCode Year PCP TAVG PDSI PHDI ZNDX PMDI CDD HDD SP01 SP02 SP03 SP06 SP09 SP12 SP24 TMIN TMAX
Alabama 1 1960 51.03 738.5 -1.29 -0.66 -2.77 -1.92 1824.0 3338.0 -1.1 -1.87 -2.03 -1.38 -1.05 -0.02 -3.81 596.7 880.2
Alabama 1 1961 69.83 743.2 25.12 25.12 16.53 22.97 1526.0 2881.0 5.98 5.71 5.56 7.89 9.06 7.57 4.94 601.6 885.1
Alabama 1 1962 50.1 756.6 -12.24 1.73 -9.24 -2.39 2008.0 2986.0 -2.2 -0.32 0.48 1.53 4.94 8.75 11.73 609.9 903.1
Alabama 1 1963 48.81 740.8 -17.83 -21.56 -4.84 -16.61 1820.0 3258.0 -3.08 -4.37 -5.58 -6.85 -9.42 -10.83 -1.4 591.2 890.1
Alabama 1 1964 66.5 748.8 18.22 15.22 10.19 13.87 1787.0 2924.0 5.5 7.35 9.05 9.15 9.55 6.93 -3.01 608.1 889.8
Alabama 1 1965 48.78 756.2 -6.75 -5.32 -7.82 -3.5 1815.0 2760.0 -2.55 -3.4 -2.7 -2.25 -1.9 1.91 6.03 614.2 897.9
Alabama 1 1966 55.82 740.0 -0.54 -2.15 2.07 -0.21 1622.0 3065.0 1.45 0.65 -0.05 -2.41 -2.73 -3.89 -1.66 601.2 878.8
Alabama 1 1967 55.8 743.0 11.23 6.91 6.41 8.44 1434.0 2787.0 1.67 0.35 -0.36 -1.76 -5.93 -7.12 -8.09 598.8 887.5
Alabama 1 1968 45.22 732.1 -13.84 -5.09 -8.84 -10.83 1697.0 3363.0 -4.88 -6.18 -7.11 -7.72 -5.4 -4.73 -8.46 583.5 880.4
Alabama 1 1969 52.57 736.4 -3.43 -7.84 -1.4 -5.04 1724.0 3277.0 -0.4 -0.64 -0.21 -1.88 -4.36 -7.23 -8.61 593.3 879.3
Alabama 1 1970 53.89 745.4 -1.29 -0.31 1.09 -0.17 1856.0 3106.0 -0.2 0.55 0.82 -0.86 -2.02 -2.5 -7.3 602.9 887.8
Alabama 1 1971 60.07 752.3 13.38 13.38 6.49 9.67 1753.0 2797.0 2.82 2.96 2.95 4.98 5.9 6.22 2.0 611.0 893.4
Alabama 1 1972 55.96 755.6 0.57 2.88 1.66 1.45 1731.0 2719.0 0.89 0.75 0.14 -1.22 -0.29 1.84 5.26 615.0 896.1
Alabama 1 1973 67.17 756.8 28.66 28.66 11.97 26.93 1838.0 2737.0 5.99 8.11 9.75 14.21 16.7 14.85 11.71 619.0 893.9
Alabama 1 1974 60.4 757.4 25.2 25.2 8.14 21.51 1599.0 2510.0 3.79 5.03 5.99 6.84 7.76 11.19 19.02 614.8 899.7
Alabama 1 1975 74.77 753.9 49.93 49.93 22.3 49.59 1662.0 2679.0 10.31 13.69 16.52 20.39 21.51 20.99 23.9 618.9 889.0
Alabama 1 1976 55.98 728.1 37.11 37.11 4.9 32.73 1428.0 3266.0 0.52 1.06 0.72 3.83 8.2 12.37 25.21 581.0 874.9
Alabama 1 1977 57.87 749.5 5.78 8.11 0.15 6.24 2022.0 3156.0 1.24 2.35 2.51 1.79 1.07 1.73 9.94 606.6 892.5
Alabama 1 1978 49.5 742.4 -5.89 -1.38 -5.06 -3.92 1939.0 3309.0 -2.63 -4.45 -5.04 -1.56 -0.44 0.28 0.94 597.7 887.3
Alabama 1 1979 67.92 736.3 27.54 25.86 15.02 25.73 1618.0 3179.0 5.55 9.66 10.88 11.96 12.38 10.46 7.47 599.9 872.7
Alabama 1 1980 58.48 749.8 4.44 22.58 0.22 9.44 2034.0 3166.0 -1.43 0.13 1.91 6.1 11.13 13.7 17.48 606.0 893.6
Alabama 1 1981 45.8 744.0 -28.99 -31.6 -9.76 -29.62 1798.0 3119.0 -4.89 -8.07 -10.33 -13.49 -16.46 -14.1 -0.03 595.7 892.1
Alabama 1 1982 61.13 760.1 8.1 -2.79 5.39 3.23 1759.0 2613.0 3.49 3.81 3.23 2.66 1.43 -0.37 -10.0 623.1 897.1
Alabama 1 1983 70.36 734.4 29.17 29.17 14.68 21.42 1686.0 3272.0 5.35 8.2 9.39 13.28 17.12 16.95 11.62 598.5 870.2
Alabama 1 1984 50.52 753.9 -1.7 16.88 -3.21 7.74 1725.0 2742.0 -2.07 -0.37 1.47 3.35 3.98 7.68 17.98 609.2 898.8
Alabama 1 1985 51.31 753.7 -2.5 -4.69 -1.04 -4.47 1838.0 2893.0 -0.54 -1.88 -2.12 -4.74 -7.88 -8.4 -0.69 618.2 888.9
Alabama 1 1986 47.77 769.1 -21.19 -29.04 -10.23 -24.64 2035.0 2603.0 -4.45 -5.83 -8.19 -11.83 -13.2 -14.42 -15.67 628.5 909.4
Alabama 1 1987 48.13 756.6 -12.01 -12.4 -8.23 -10.04 1905.0 2800.0 -3.63 -4.54 -4.42 -2.23 -0.84 -0.88 -10.9 612.0 901.3
Alabama 1 1988 51.12 745.0 -16.79 -20.5 -3.33 -16.43 1765.0 3033.0 -3.17 -1.95 -3.17 -7.83 -12.28 -14.78 -11.19 600.5 889.3
Alabama 1 1989 65.19 746.4 17.1 21.95 13.13 16.44 1640.0 2908.0 5.01 5.75 6.57 10.63 9.6 6.92 -5.91 612.9 879.9
Alabama 1 1990 56.87 779.1 1.68 15.17 -3.32 10.38 1953.0 2225.0 0.14 -0.38 0.02 3.33 11.85 16.66 17.8 629.8 928.2
Alabama 1 1991 63.25 767.7 4.98 10.16 6.5 7.74 1980.0 2548.0 4.38 5.61 6.1 8.48 8.05 6.65 17.32 636.7 898.3
Alabama 1 1992 59.79 745.4 8.14 7.78 8.39 8.28 1535.0 2811.0 3.1 3.43 2.83 0.45 -1.8 0.85 4.78 612.0 878.8
Alabama 1 1993 50.29 748.0 -3.23 4.23 -5.16 1.81 1850.0 3021.0 -1.77 -2.27 -1.43 -0.23 2.78 3.93 2.99 611.0 885.3
Alabama 1 1994 60.33 756.8 9.06 11.51 7.83 11.14 1670.0 2599.0 3.24 4.29 5.64 7.05 4.31 2.1 3.79 624.2 889.0
Alabama 1 1995 59.57 756.5 -1.58 4.64 2.95 0.65 1927.0 2863.0 2.55 2.27 2.05 0.15 1.44 2.83 2.88 617.9 895.0
Alabama 1 1996 58.33 745.5 22.0 22.0 3.71 16.3 1719.0 2996.0 2.57 3.28 4.17 8.67 10.5 11.67 9.89 607.1 884.3
Alabama 1 1997 62.96 748.4 23.13 23.13 10.49 20.0 1643.0 2846.0 4.74 5.74 6.22 7.51 7.88 7.71 13.72 615.0 881.7
Alabama 1 1998 59.26 781.5 6.19 14.33 -1.49 8.47 2243.0 2407.0 2.34 3.7 4.74 7.19 9.97 12.58 14.38 646.9 915.8
Alabama 1 1999 49.01 769.9 -10.2 -10.39 -7.11 -9.63 1962.0 2451.0 -3.18 -3.88 -4.04 -3.74 -3.56 -2.82 6.78 622.6 916.8
Alabama 1 2000 42.5 762.9 -36.2 -45.19 -17.06 -42.52 2056.0 2797.0 -8.56 -10.15 -13.98 -19.4 -20.42 -21.73 -16.56 613.9 911.5
Alabama 1 2001 59.03 756.5 12.41 0.71 6.2 5.97 1717.0 2648.0 2.73 3.56 5.17 5.56 2.17 -1.76 -15.94 617.3 895.6
Alabama 1 2002 57.14 763.0 -4.05 -4.15 1.19 -3.53 2057.0 2767.0 1.67 1.16 0.44 -1.99 -3.64 -2.42 -3.26 629.0 897.2
Alabama 1 2003 63.72 753.0 24.68 35.21 12.14 30.96 1770.0 2798.0 4.72 7.11 8.46 15.92 17.36 15.78 9.12 619.6 886.0
Alabama 1 2004 59.88 760.0 8.86 16.64 7.8 12.68 1846.0 2632.0 2.85 3.3 2.74 0.25 0.58 3.69 13.77 628.8 890.9
Alabama 1 2005 57.08 760.7 15.68 26.9 3.99 18.83 1910.0 2684.0 1.18 1.98 3.69 9.72 11.7 11.69 10.63 623.2 898.5
Alabama 1 2006 47.54 770.4 -24.82 -20.8 -9.99 -20.11 2041.0 2527.0 -3.41 -5.49 -6.72 -11.83 -10.62 -7.97 2.31 621.1 919.6
