,HYTCP,WYTCP,SOEGP,NUETP,
1960,290,0,0,0,
1961,297,0,0,0,
1962,304,0,0,0,
1963,325,0,0,0,1083
1964,322,0,0,0,1230
1965,350,0,0,0,1374
1966,316,0,0,0,1494
1967,363,0,0,0,1643
1968,364,0,0,0,1899
1969,341,0,0,0,2073
1970,363,0,0,0,2359
1971,363,0,0,0,2539
1972,346,0,0,0,2743
1973,286,0,0,0,3041
1974,326,0,0,0,3999
1975,357,0,0,0,6220
1976,383,0,0,0,7470
1977,512,0,0,0,7544
1978,472,0,0,0,9130
1979,459,0,0,0,10891
1980,539,0,0,0,15282
1981,590,0,0,0,21824
1982,561,0,0,0,23461
1983,593,0,0,0,22591
1984,693,0,0,0,23787
1985,748,0,0,0,26142
1986,809,0,0,0,19181
1987,872,0,0,0,22925
1988,935,0,0,0,21270
1989,873,0,0,0,23453
1990,975,0,0,0,25040
1991,896,0,0,0,22283
1992,918,0,0,0,22753
1993,1303,0,0,0,23284
1994,1345,0,0,0,23605
1995,1372,0,0,0,25449
1996,1266,0,0,0,26737
1997,1099,0,0,0,27581
1998,1113,0,0,0,24030
1999,817,0,0,0,24684
2000,1002,0,0,0,26853
2001,1346,0,0,1,28553
2002,1439,0,0,0,29763
2003,1583,0,0,0,32039
2004,1498,0,0,0,35195
2005,1464,0,0,1,40063
2006,1224,0,0,1,44679
2007,1291,0,0,1,49197
2008,1172,0,0,0,55461
2009,1324,0,0,7,50463
2010,1433,0,0,13,54134
2011,1345,0,0,12,58759
2012,1575,0,0,37,60890
2013,1435,0,0,145,59762
2014,1539,0,0,152,58253
,,,,,52747
