,HYTCP,WYTCP,SOEGP,NUETP,
1960,970,0,0,0,
1961,836,0,0,0,
1962,1016,0,0,0,
1963,1034,0,0,0,5925
1964,1056,0,0,0,6228
1965,938,0,0,0,6631
1966,998,0,0,0,7275
1967,928,0,0,0,7666
1968,944,0,0,0,8540
1969,993,0,0,0,9480
1970,1236,0,0,0,10431
1971,1585,0,0,0,11998
1972,1243,0,0,0,13784
1973,1281,0,0,0,16120
1974,1415,0,0,0,17852
1975,1507,0,0,0,20166
1976,1288,0,0,0,22253
1977,1072,225,0,0,25428
1978,1343,609,0,0,29398
1979,1612,213,0,0,33785
1980,1717,667,0,0,38332
1981,1399,749,0,0,43974
1982,1650,569,0,0,47654
1983,1871,748,0,0,50718
1984,2169,55,0,0,56230
1985,2357,-32,0,0,59641
1986,2264,52,0,0,60970
1987,1818,174,0,0,63920
1988,1745,660,0,0,67757
1989,1752,529,0,0,71179
1990,1420,0,0,0,75571
1991,1794,0,0,0,79766
1992,1499,0,0,0,87302
1993,1912,0,0,0,95659
1994,1544,0,0,0,104507
1995,2131,0,0,0,112708
1996,1820,0,0,0,121081
1997,2032,0,0,0,133204
1998,1462,0,0,0,150555
1999,1562,0,0,0,164835
2000,1454,0,0,0,181488
2001,1495,0,0,49,188108
2002,1209,0,0,139,193068
2003,1262,0,0,147,198811
2004,1195,0,0,220,204242
2005,1415,0,0,776,220454
2006,1791,0,0,866,231920
2007,1730,0,2,1292,245949
2008,2039,0,18,3221,254784
2009,1886,0,26,3164,247270
2010,1578,0,42,3452,253374
2011,2083,0,92,5200,262719
2012,1497,0,150,5969,272799
2013,1213,0,234,7204,286751
2014,1770,0,241,7369,304943
,,,,,313748
