,HYTCP,WYTCP,SOEGP,NUETP,
1960,0,0,0,0,
1961,0,0,0,0,
1962,0,0,0,0,
1963,0,0,0,0,1885
1964,0,0,0,0,2068
1965,0,0,0,0,2313
1966,0,0,0,0,2482
1967,0,0,0,0,2605
1968,0,0,0,0,2884
1969,0,0,0,0,3069
1970,0,0,0,0,3166
1971,0,0,0,0,3623
1972,0,0,0,0,3984
1973,0,0,0,0,4516
1974,0,0,0,0,4737
1975,0,0,0,0,5025
1976,0,0,0,0,5470
1977,0,0,0,0,6056
1978,0,0,0,0,6747
1979,0,0,0,0,7304
1980,0,0,0,0,7898
1981,0,0,0,0,8839
1982,0,0,0,0,9498
1983,0,0,0,0,10611
1984,0,0,0,0,11925
1985,0,0,0,0,13092
1986,0,0,0,0,14138
1987,0,0,0,0,15568
1988,0,0,0,0,16887
1989,0,0,0,0,18900
1990,0,0,0,0,19928
1991,0,0,0,0,21746
1992,0,0,0,0,22907
1993,0,0,0,0,23509
1994,0,0,0,0,25638
1995,0,0,0,0,27721
1996,0,0,0,0,29156
1997,0,0,0,0,31450
1998,0,0,0,0,37298
1999,0,0,0,0,41341
2000,0,0,0,0,44851
2001,0,0,0,0,47762
2002,0,0,0,0,46985
2003,0,0,0,0,48949
2004,0,0,0,0,52376
2005,0,0,0,0,53247
2006,0,0,0,0,56001
2007,0,0,0,0,56968
2008,0,0,0,0,55293
2009,0,0,0,0,57350
2010,0,0,0,3,57471
2011,0,0,8,5,59937
2012,0,0,23,4,60628
2013,0,0,45,4,60943
2014,0,0,48,5,65419
,,,,,68724
