,HYTCP,WYTCP,SOEGP,NUETP,
1960,278,0,0,0,
1961,263,0,0,0,
1962,237,0,0,0,
1963,265,0,0,0,14684
1964,290,0,0,0,16025
1965,298,0,0,0,17445
1966,290,0,0,0,19182
1967,286,0,0,0,21123
1968,242,0,0,0,23793
1969,274,0,0,0,27427
1970,292,0,0,0,30691
1971,253,0,0,0,34161
1972,238,66,0,0,39709
1973,234,4681,0,0,46973
1974,251,7877,0,0,52123
1975,234,8370,0,0,55288
1976,259,8648,0,0,58729
1977,243,17557,0,0,65272
1978,228,15810,0,0,75681
1979,241,15391,0,0,86263
1980,215,16737,0,0,97899
1981,180,14448,0,0,112167
1982,261,19319,0,0,122282
1983,220,14805,0,0,136768
1984,213,24078,0,0,155993
1985,244,23461,0,0,170894
1986,212,22036,0,0,185852
1987,217,18773,0,0,204816
1988,209,26198,0,0,224848
1989,234,20916,0,0,241633
1990,175,21780,0,0,256589
1991,263,20508,0,0,267669
1992,236,25116,0,0,284673
1993,211,25887,0,0,304403
1994,274,26682,0,0,327167
1995,231,28741,0,0,346951
1996,216,25470,0,0,370912
1997,241,22968,0,0,393074
1998,199,31115,0,0,434494
1999,140,31526,0,0,464773
2000,87,32291,0,0,497541
2001,148,31583,0,0,529627
2002,184,33704,0,0,562431
2003,263,30979,0,0,595304
2004,265,31216,0,0,639276
2005,266,28759,0,0,700267
2006,203,31426,0,0,746170
2007,154,29289,0,0,769817
2008,206,32133,0,0,748320
2009,208,29118,9,0,721755
2010,177,23936,80,0,735098
2011,182,22015,126,0,741455
2012,151,17870,193,0,764136
2013,254,26526,208,0,793089
2014,211,27868,240,0,833369
,,,,,888087
