,HYTCP,WYTCP,SOEGP,NUETP
1960,2306.0,0.0,0.0,0.0
1961,2289.0,0.0,0.0,0.0
1962,2561.0,0.0,0.0,0.0
1963,2935.0,0.0,0.0,0.0
1964,4310.0,0.0,0.0,0.0
1965,3234.0,0.0,0.0,0.0
1966,3341.0,0.0,0.0,0.0
1967,3704.0,0.0,0.0,0.0
1968,3148.0,0.0,0.0,0.0
1969,3116.0,0.0,0.0,0.0
1970,2519.0,0.0,0.0,0.0
1971,3302.0,0.0,0.0,0.0
1972,3386.0,0.0,0.0,0.0
1973,4232.0,0.0,0.0,0.0
1974,3654.0,44.0,0.0,0.0
1975,4334.0,3093.0,0.0,0.0
1976,4432.0,4134.0,0.0,0.0
1977,4032.0,3713.0,0.0,0.0
1978,3755.0,4277.0,0.0,0.0
1979,4431.0,5095.0,0.0,0.0
1980,4423.0,8436.0,0.0,0.0
1981,2328.0,7235.0,0.0,0.0
1982,3652.0,6606.0,0.0,0.0
1983,4120.0,7774.0,0.0,0.0
1984,4137.0,5472.0,0.0,0.0
1985,2826.0,10130.0,0.0,0.0
1986,2151.0,7238.0,0.0,0.0
1987,3175.0,15259.0,0.0,0.0
1988,2065.0,15149.0,0.0,0.0
1989,3894.0,24961.0,0.0,0.0
1990,4589.0,24797.0,0.0,0.0
1991,4232.0,26016.0,0.0,0.0
1992,4915.0,27996.0,0.0,0.0
1993,4457.0,27233.0,0.0,0.0
1994,4331.0,28927.0,0.0,0.0
1995,4197.0,30661.0,0.0,0.0
1996,4679.0,29925.0,0.0,0.0
1997,4280.0,30414.0,0.0,0.0
1998,5235.0,31380.0,0.0,0.0
1999,2751.0,31478.0,0.0,0.0
2000,2481.0,32473.0,0.0,0.0
2001,2596.0,33682.0,0.0,0.0
2002,2716.0,31108.0,0.0,0.0
2003,4140.0,33257.0,0.0,0.0
2004,3692.0,33748.0,0.0,0.0
2005,4032.0,31534.0,0.0,0.0
2006,2569.0,32006.0,0.0,0.0
2007,2236.0,32545.0,0.0,0.0
2008,2145.0,31691.0,0.0,0.0
2009,3260.0,31683.0,0.0,0.0
2010,3322.0,33512.0,0.0,0.0
2011,2705.0,32306.0,0.0,0.0
2012,2236.0,33942.0,1.0,0.0
2013,3714.0,32903.0,11.0,0.0
2014,3064.0,32570.0,116.0,0.0
