,HYTCP,WYTCP,SOEGP,NUETP,
1960,27,0,0,0,
1961,24,0,0,0,
1962,20,0,0,0,
1963,23,0,0,0,2367
1964,115,0,0,0,2571
1965,105,0,0,0,2849
1966,112,0,0,0,3110
1967,108,0,0,0,3307
1968,94,0,0,0,3722
1969,100,0,0,0,4262
1970,108,0,0,0,4813
1971,89,0,0,0,5188
1972,91,0,0,0,5624
1973,95,0,0,0,6353
1974,92,0,0,0,7143
1975,89,0,0,0,8173
1976,93,0,0,0,8526
1977,86,0,0,0,9441
1978,84,0,0,0,10508
1979,90,0,0,0,11869
1980,86,0,0,0,13380
1981,80,0,0,0,14640
1982,90,0,0,0,15740
1983,84,0,0,0,17260
1984,82,0,0,0,19132
1985,86,0,0,0,20722
1986,78,0,0,0,22437
1987,82,0,0,0,24273
1988,81,0,0,0,26799
1989,56,0,0,33,29427
1990,80,0,0,29,32534
1991,71,0,0,36,34357
1992,61,0,0,23,36129
1993,56,0,0,22,36732
1994,139,0,0,20,37395
1995,98,0,0,20,37763
1996,104,0,0,23,38125
1997,115,0,0,16,39064
1998,121,0,0,19,37585
1999,115,0,0,16,39224
2000,103,0,0,17,41472
2001,101,0,0,2,43089
2002,95,0,0,2,45581
2003,91,0,0,2,49136
2004,94,0,0,7,53755
2005,96,0,0,7,58573
2006,120,0,0,80,62054
2007,92,0,0,238,65210
2008,84,0,0,240,66692
2009,113,0,1,251,65382
2010,70,0,2,261,68225
2011,93,0,4,341,70017
2012,115,0,5,378,72532
2013,78,0,19,503,74653
2014,94,0,39,579,76588
,,,,,80376
