,HYTCP,WYTCP,SOEGP,NUETP
1960,185.0,254.0,0.0,0.0
1961,197.0,528.0,0.0,0.0
1962,189.0,1193.0,0.0,0.0
1963,177.0,934.0,0.0,0.0
1964,178.0,983.0,0.0,0.0
1965,175.0,965.0,0.0,0.0
1966,173.0,1407.0,0.0,0.0
1967,180.0,807.0,0.0,0.0
1968,166.0,919.0,0.0,0.0
1969,171.0,825.0,0.0,0.0
1970,166.0,2514.0,0.0,0.0
1971,136.0,4374.0,0.0,0.0
1972,150.0,13067.0,0.0,0.0
1973,129.0,20051.0,0.0,0.0
1974,124.0,19592.0,0.0,0.0
1975,122.0,22315.0,0.0,0.0
1976,130.0,26455.0,0.0,0.0
1977,129.0,28547.0,0.0,0.0
1978,129.0,32926.0,0.0,0.0
1979,130.0,27463.0,0.0,0.0
1980,138.0,27742.0,0.0,0.0
1981,134.0,29483.0,0.0,0.0
1982,124.0,27625.0,0.0,0.0
1983,134.0,28021.0,0.0,0.0
1984,141.0,34976.0,0.0,0.0
1985,136.0,39106.0,0.0,0.0
1986,141.0,42614.0,0.0,0.0
1987,107.0,50194.0,0.0,0.0
1988,65.0,69166.0,0.0,0.0
1989,100.0,74820.0,0.0,0.0
1990,144.0,71887.0,0.0,0.0
1991,134.0,71866.0,0.0,0.0
1992,139.0,73742.0,0.0,0.0
1993,130.0,78373.0,0.0,0.0
1994,121.0,72654.0,0.0,0.0
1995,124.0,78481.0,0.0,0.0
1996,106.0,69774.0,0.0,0.0
1997,97.0,51069.0,0.0,0.0
1998,138.0,55596.0,0.0,0.0
1999,142.0,81744.0,0.0,0.0
2000,144.0,89438.0,0.0,0.0
2001,144.0,92358.0,0.0,0.0
2002,129.0,90860.0,0.0,0.0
2003,138.0,94733.0,0.0,18.0
2004,154.0,92047.0,0.0,78.0
2005,129.0,93263.0,0.0,141.0
2006,173.0,94154.0,0.0,255.0
2007,154.0,95729.0,0.0,664.0
2008,139.0,95152.0,0.0,2337.0
2009,136.0,95474.0,0.0,2820.0
2010,119.0,96190.0,14.0,4454.0
2011,140.0,95823.0,14.0,6213.0
2012,111.0,96401.0,31.0,7727.0
2013,120.0,97131.0,52.0,9625.0
2014,132.0,97858.0,50.0,10083.0
