,HYTCP,WYTCP,SOEGP,NUETP,
1960,20,0,0,0,
1961,16,0,0,0,
1962,15,0,0,0,
1963,17,0,0,0,6135
1964,13,0,0,0,6418
1965,13,0,0,0,6831
1966,13,0,0,0,7401
1967,9,0,0,0,7760
1968,10,0,0,0,8487
1969,6,0,0,0,9166
1970,7,0,0,0,9755
1971,7,0,0,0,10824
1972,5,0,0,0,12127
1973,3,0,0,0,14000
1974,7,0,0,0,15063
1975,5,0,0,0,16855
1976,5,0,0,0,18953
1977,3,0,0,0,20539
1978,5,0,0,0,22824
1979,4,0,0,0,26300
1980,8,0,0,0,28298
1981,8,0,0,0,31978
1982,7,0,0,0,33491
1983,6,0,0,0,35257
1984,7,0,0,0,38442
1985,9,3856,0,0,40658
1986,8,6959,0,0,41795
1987,9,6471,0,0,44164
1988,12,6650,0,0,46698
1989,10,9709,0,0,48814
1990,13,7874,0,0,51874
1991,11,5859,0,0,53981
1992,10,8491,0,0,56902
1993,5,7900,0,0,58953
1994,10,8529,0,0,63304
1995,11,10062,0,0,65282
1996,11,8205,0,0,69616
1997,14,8430,0,0,74147
1998,11,10411,0,0,79118
1999,12,9157,0,0,82643
2000,15,9061,0,0,86869
2001,26,10347,0,40,89331
2002,13,9042,0,467,91952
2003,12,8890,0,366,96368
2004,13,10133,0,359,99242
2005,11,8821,0,426,104884
2006,10,9350,0,992,113362
2007,11,10369,0,1153,122498
2008,11,8497,0,1759,128108
2009,13,8769,0,2863,123986
2010,13,9556,0,3405,128542
2011,15,7319,0,3720,136884
2012,10,8285,0,5195,140964
2013,15,7168,0,9433,143459
2014,16,8558,0,10845,147493
,,,,,149641
