,HYTCP,WYTCP,SOEGP,NUETP,
1960,0,0,0,0,
1961,0,0,0,0,
1962,0,0,0,0,
1963,0,0,0,0,9659
1964,0,0,0,0,10468
1965,0,0,0,0,11453
1966,0,0,0,0,12774
1967,0,0,0,0,14022
1968,0,0,0,0,15076
1969,0,0,0,0,16321
1970,0,0,0,0,17177
1971,0,0,0,0,18634
1972,0,0,0,0,20294
1973,0,0,0,0,22735
1974,0,0,0,0,26892
1975,0,0,0,0,30675
1976,0,0,0,0,34413
1977,0,0,0,0,39670
1978,0,0,0,0,45212
1979,0,0,0,0,51653
1980,0,0,0,0,63925
1981,0,0,0,0,77201
1982,0,0,0,0,78067
1983,0,0,0,0,76881
1984,0,0,0,0,82623
1985,0,2457,0,0,84391
1986,0,10637,0,0,77107
1987,0,12324,0,0,78488
1988,0,13785,0,0,83196
1989,0,12391,0,0,87574
1990,656,14197,0,0,95177
1991,656,13956,0,0,96043
1992,656,10356,0,0,90890
1993,1232,14398,0,0,95866
1994,972,12779,0,0,105119
1995,952,15686,0,0,112876
1996,964,15765,0,0,118807
1997,1036,13511,0,0,126003
1998,1063,16428,0,0,120493
1999,802,13112,0,0,126357
2000,532,15796,0,0,133200
2001,732,17336,0,0,138911
2002,891,17305,0,0,140451
2003,892,16126,0,0,155942
2004,1099,17080,0,0,171375
2005,811,15676,0,0,199683
2006,713,16735,0,0,207507
2007,827,17078,0,0,209455
2008,1064,15371,0,0,218781
2009,1236,16782,0,0,210879
2010,1109,18639,0,0,232596
2011,1044,16615,0,0,236248
2012,680,15659,0,0,241378
2013,1045,16954,0,0,235949
2014,1090,17311,0,0,242785
,,,,,239305
