,HYTCP,WYTCP,SOEGP,NUETP,
1960,726,0,0,0,
1961,1240,0,0,0,
1962,881,0,0,0,
1963,377,0,0,0,13613
1964,319,0,0,0,14454
1965,802,0,0,0,15625
1966,596,0,0,0,16843
1967,641,0,0,0,17843
1968,1334,0,0,0,19711
1969,1435,0,0,0,21095
1970,927,0,0,0,22230
1971,703,0,0,0,24245
1972,612,0,0,0,26414
1973,2008,0,0,0,29275
1974,1713,0,0,0,30468
1975,1280,0,0,0,33001
1976,740,0,0,0,37211
1977,454,0,0,0,41150
1978,1017,0,0,0,46176
1979,1100,0,0,0,50601
1980,558,0,0,0,52420
1981,669,0,0,0,57763
1982,1656,0,0,0,60699
1983,1716,0,0,0,65538
1984,1587,920,0,0,74539
1985,2993,8030,0,0,77912
1986,1996,7170,0,0,83330
1987,1447,6284,0,0,88912
1988,1511,8935,0,0,95760
1989,1094,8344,0,0,101412
1990,2192,7998,0,0,103566
1991,1119,9979,0,0,109162
1992,1481,8084,0,0,115288
1993,3184,8381,0,0,118906
1994,1916,10006,0,0,130567
1995,1919,8242,0,0,140060
1996,1314,8890,0,0,148257
1997,1593,8955,0,0,158308
1998,2347,8517,0,0,170692
1999,1853,8587,0,0,178605
2000,600,9992,0,0,188736
2001,1104,8384,0,0,192227
2002,1357,8390,0,0,197222
2003,652,9700,0,0,205164
2004,1480,7831,0,0,215606
2005,1159,8031,0,0,224091
2006,199,10117,0,0,232795
2007,1204,9372,0,0,240613
2008,2047,9379,0,203,250088
2009,1817,10247,0,499,250436
2010,1539,8996,0,925,255865
2011,1185,9371,0,1178,257225
2012,714,10718,0,1245,266245
2013,1136,8367,0,1167,276645
2014,697,9276,9,1131,282874
,,,,,294491
