,HYTCP,WYTCP,SOEGP,NUETP,
1960,0,0,0,0,
1961,0,0,0,0,
1962,0,0,0,0,
1963,0,0,0,0,4425
1964,0,0,0,0,4524
1965,0,0,0,0,4925
1966,0,0,0,0,5319
1967,0,0,0,0,5652
1968,0,0,0,0,6267
1969,0,0,0,0,6801
1970,0,0,0,0,7253
1971,0,0,0,0,7923
1972,0,0,0,0,9183
1973,0,0,0,0,10557
1974,0,0,0,0,11281
1975,0,0,0,0,12292
1976,0,0,0,0,14552
1977,0,0,0,0,15957
1978,0,0,0,0,17758
1979,0,0,0,0,20011
1980,0,0,0,0,21353
1981,0,0,0,0,24023
1982,0,0,0,0,24614
1983,0,0,0,0,25967
1984,0,165,0,0,28744
1985,0,4332,0,0,30138
1986,0,4087,0,0,30996
1987,0,7717,0,0,33531
1988,0,9582,0,0,35534
1989,0,7826,0,0,37208
1990,0,7422,0,0,38757
1991,0,9133,0,0,40862
1992,0,8174,0,0,44012
1993,0,7904,0,0,47340
1994,0,9615,0,0,51602
1995,0,8013,0,0,54984
1996,0,9225,0,0,57460
1997,0,10813,0,0,59875
1998,0,9191,0,0,61112
1999,0,8428,0,0,63993
2000,0,10695,0,0,65937
2001,0,9924,0,0,67445
2002,0,10059,0,0,69231
2003,0,10902,0,0,73814
2004,0,10233,0,0,77778
2005,0,10078,0,0,81678
2006,0,10419,0,0,86291
2007,0,9359,0,0,91422
2008,0,9397,0,0,97134
2009,0,10999,0,0,93669
2010,0,9643,0,0,95810
2011,0,10337,0,0,96968
2012,0,7296,0,0,101351
2013,0,10865,0,0,102726
2014,0,10252,0,0,103828
,,,,,105819
