,HYTCP,WYTCP,SOEGP,NUETP,
1960,5801,0,0,0,
1961,6498,0,0,0,
1962,6410,0,0,0,
1963,6011,0,0,0,1974
1964,6820,0,0,0,2024
1965,8389,0,0,0,2178
1966,7940,0,0,0,2349
1967,8705,0,0,0,2362
1968,8925,0,0,0,2531
1969,9449,0,0,0,2761
1970,8745,0,0,0,2919
1971,9594,0,0,0,3143
1972,9444,0,0,0,3661
1973,7520,0,0,0,4341
1974,9724,0,0,0,4661
1975,10166,0,0,0,5218
1976,12402,0,0,0,6032
1977,8460,0,0,0,6350
1978,11708,0,0,0,7443
1979,10344,0,0,0,8173
1980,9966,0,0,0,8925
1981,11323,0,0,0,10201
1982,10920,0,0,0,10206
1983,11561,0,0,0,10584
1984,11112,0,0,0,11010
1985,10175,0,0,0,10941
1986,10857,0,0,0,10979
1987,8925,0,0,0,11383
1988,8237,0,0,0,11703
1989,9571,0,0,0,12630
1990,10717,0,0,0,13242
1991,11970,0,0,0,13875
1992,8271,0,0,0,14937
1993,9614,0,0,0,16054
1994,8150,0,0,0,17062
1995,10746,0,0,0,17519
1996,13795,0,0,0,18119
1997,13406,0,0,0,18932
1998,11118,0,0,0,20381
1999,13822,0,0,0,20874
2000,9623,0,0,0,21953
2001,6613,0,0,0,23054
2002,9567,0,0,0,23983
2003,8702,0,0,0,25746
2004,8856,0,0,0,28019
2005,9587,0,0,0,30637
2006,10130,0,0,436,32914
2007,9364,0,0,496,35947
2008,10000,0,0,593,36917
2009,9506,0,0,821,36079
2010,9415,0,0,930,38375
2011,12596,0,0,1265,41187
2012,11283,0,0,1262,42349
2013,9638,0,0,1755,43230
2014,11483,0,0,1974,44448
,,,,,45237
