,HYTCP,WYTCP,SOEGP,NUETP
1960,45.0,0.0,0.0,0.0
1961,19.0,0.0,0.0,0.0
1962,23.0,0.0,0.0,0.0
1963,16.0,0.0,0.0,0.0
1964,19.0,0.0,0.0,0.0
1965,-31.0,0.0,0.0,0.0
1966,-131.0,0.0,0.0,0.0
1967,-202.0,0.0,0.0,0.0
1968,-342.0,0.0,0.0,0.0
1969,-379.0,107.0,0.0,0.0
1970,-403.0,3454.0,0.0,0.0
1971,-309.0,3825.0,0.0,0.0
1972,-217.0,4356.0,0.0,0.0
1973,-333.0,3585.0,0.0,0.0
1974,-282.0,3673.0,0.0,0.0
1975,-272.0,3146.0,0.0,0.0
1976,-245.0,3855.0,0.0,0.0
1977,-167.0,6959.0,0.0,0.0
1978,-173.0,8169.0,0.0,0.0
1979,-283.0,6611.0,0.0,0.0
1980,-282.0,7627.0,0.0,0.0
1981,-231.0,11675.0,0.0,0.0
1982,-222.0,14039.0,0.0,0.0
1983,-228.0,6328.0,0.0,0.0
1984,-246.0,5610.0,0.0,0.0
1985,-244.0,17770.0,0.0,0.0
1986,-286.0,14770.0,0.0,0.0
1987,-309.0,22697.0,0.0,0.0
1988,-219.0,23890.0,0.0,0.0
1989,-244.0,23032.0,0.0,0.0
1990,31.0,23770.0,0.0,0.0
1991,22.0,24807.0,0.0,0.0
1992,22.0,21595.0,0.0,0.0
1993,19.0,24932.0,0.0,0.0
1994,15.0,22129.0,0.0,0.0
1995,11.0,16806.0,0.0,0.0
1996,19.0,11028.0,0.0,0.0
1997,18.0,13908.0,0.0,0.0
1998,21.0,27132.0,0.0,0.0
1999,17.0,28971.0,0.0,0.0
2000,14.0,28578.0,0.0,0.0
2001,18.0,30469.0,0.0,0.0
2002,12.0,30866.0,0.0,0.0
2003,39.0,29709.0,0.0,0.0
2004,38.0,27082.0,0.0,0.0
2005,31.0,31392.0,0.0,0.0
2006,35.0,32568.0,0.0,16.0
2007,21.0,32010.0,0.0,20.0
2008,26.0,32195.0,3.0,21.0
2009,32.0,34328.0,11.0,21.0
2010,18.0,32771.0,21.0,13.0
2011,24.0,33606.0,60.0,11.0
2012,11.0,33110.0,266.0,12.0
2013,18.0,33380.0,353.0,11.0
2014,17.0,31507.0,406.0,23.0
