,HYTCP,WYTCP,SOEGP,NUETP,
1960,69,0,0,0,
1961,52,0,0,0,
1962,64,0,0,0,
1963,44,0,0,0,3030
1964,9,0,0,0,3156
1965,43,0,0,0,3311
1966,68,0,0,0,3452
1967,35,0,0,0,3514
1968,43,0,0,0,3806
1969,64,0,0,0,4091
1970,66,0,0,0,4431
1971,27,0,0,0,4822
1972,20,0,0,0,5406
1973,65,0,0,0,6189
1974,73,0,0,0,7116
1975,63,0,0,0,8098
1976,76,0,0,0,9254
1977,28,0,0,0,10102
1978,30,0,0,0,11536
1979,68,0,0,0,13141
1980,94,0,0,0,15731
1981,88,0,0,0,18511
1982,79,0,0,0,19242
1983,89,0,0,0,19882
1984,94,0,0,0,21397
1985,128,0,0,0,22534
1986,166,0,0,0,21807
1987,164,0,0,0,22429
1988,100,0,0,0,23457
1989,232,0,0,0,24927
1990,205,0,0,0,26600
1991,237,0,0,0,30295
1992,255,0,0,0,32638
1993,294,0,0,0,36876
1994,213,0,0,0,41685
1995,264,0,0,0,42146
1996,211,0,0,0,44532
1997,259,0,0,0,48683
1998,236,0,0,0,50566
1999,243,0,0,0,53060
2000,221,0,0,0,55255
2001,237,0,0,0,56378
2002,265,0,0,0,58372
2003,171,0,0,183,63642
2004,139,0,0,513,70358
2005,165,0,0,795,74403
2006,198,0,0,1255,77984
2007,268,0,0,1393,80896
2008,312,0,0,1643,86318
2009,271,0,0,1547,82838
2010,217,0,9,1832,86079
2011,195,0,128,2104,89261
2012,223,0,334,2226,90146
2013,92,0,388,2193,91234
2014,98,0,515,2275,94731
,,,,,93339
