,HYTCP,WYTCP,SOEGP,NUETP,
1960,12087,0,0,0,
1961,18158,0,0,0,
1962,20899,61,0,0,
1963,19357,591,0,0,70640
1964,18205,382,0,0,75542
1965,19576,727,0,0,80347
1966,22070,798,0,0,86559
1967,23442,1153,0,0,92078
1968,25022,1074,0,0,99817
1969,26624,1272,0,0,107031
1970,25051,4273,0,0,112349
1971,25430,6521,0,0,119145
1972,27794,6465,0,0,127221
1973,29364,7227,0,0,136396
1974,28813,9272,0,0,145419
1975,28323,13111,0,0,155256
1976,28845,15659,0,0,163284
1977,25678,20590,0,0,179890
1978,26074,21701,0,0,200063
1979,26483,18507,0,0,217725
1980,26474,19276,0,0,235746
1981,25891,17444,0,0,261840
1982,25563,14438,0,0,282227
1983,26395,16376,0,0,305288
1984,26819,21187,0,0,339427
1985,27189,24092,0,0,364281
1986,29713,22084,0,0,390104
1987,27779,22926,0,0,418306
1988,24134,24175,0,0,456557
1989,24818,22847,0,0,473252
1990,28188,23623,0,0,493192
1991,27172,28448,0,0,497336
1992,28057,24155,0,0,519704
1993,29443,26889,0,0,537504
1994,27791,29231,0,0,555322
1995,25993,26336,0,0,582656
1996,28951,35226,0,0,620153
1997,30618,29570,0,0,664679
1998,29316,31314,0,0,741272
1999,24752,37019,0,0,790079
2000,24910,31508,0,10,833306
2001,23084,40395,0,21,876598
2002,25048,39617,0,82,890612
2003,24269,40679,0,41,905593
2004,23990,40640,0,116,958357
2005,25783,42443,0,103,1023433
2006,27345,42224,0,655,1077891
2007,25253,42453,0,833,1114698
2008,26723,43209,0,1251,1113446
2009,27615,43485,0,2266,1148407
2010,25472,41870,0,2596,1204688
2011,27997,42695,6,2828,1229743
2012,24652,40775,53,2992,1301041
2013,24973,44756,67,3539,1334930
2014,26087,43039,71,3968,1382933
,,,,,1433531
