,HYTCP,WYTCP,SOEGP,NUETP
1960,705.0,0.0,0.0,0.0
1961,1002.0,0.0,0.0,0.0
1962,731.0,0.0,0.0,0.0
1963,191.0,0.0,0.0,0.0
1964,306.0,0.0,0.0,0.0
1965,825.0,0.0,0.0,0.0
1966,512.0,0.0,0.0,0.0
1967,726.0,0.0,0.0,0.0
1968,1526.0,0.0,0.0,0.0
1969,1886.0,0.0,0.0,0.0
1970,1406.0,0.0,0.0,0.0
1971,1383.0,0.0,0.0,0.0
1972,1447.0,0.0,0.0,0.0
1973,3761.0,0.0,0.0,0.0
1974,3590.0,0.0,0.0,0.0
1975,2945.0,0.0,0.0,0.0
1976,1541.0,0.0,0.0,0.0
1977,1749.0,0.0,0.0,0.0
1978,1763.0,0.0,0.0,0.0
1979,2323.0,0.0,0.0,0.0
1980,1315.0,0.0,0.0,0.0
1981,1122.0,0.0,0.0,0.0
1982,2090.0,0.0,0.0,0.0
1983,2500.0,0.0,0.0,0.0
1984,2339.0,0.0,0.0,0.0
1985,3980.0,0.0,0.0,0.0
1986,2951.0,0.0,0.0,0.0
1987,2948.0,0.0,0.0,0.0
1988,2045.0,0.0,0.0,0.0
1989,2392.0,0.0,0.0,0.0
1990,2731.0,0.0,0.0,0.0
1991,1922.0,0.0,0.0,0.0
1992,3242.0,0.0,0.0,0.0
1993,4357.0,0.0,0.0,0.0
1994,2515.0,0.0,0.0,0.0
1995,2780.0,0.0,0.0,0.0
1996,2158.0,0.0,0.0,0.0
1997,2921.0,0.0,0.0,0.0
1998,3509.0,0.0,0.0,0.0
1999,3175.0,0.0,0.0,0.0
2000,2277.0,0.0,0.0,0.0
2001,2345.0,0.0,0.0,0.0
2002,1988.0,0.0,0.0,0.0
2003,1798.0,0.0,0.0,54.0
2004,2977.0,0.0,0.0,573.0
2005,2630.0,0.0,0.0,848.0
2006,624.0,0.0,0.0,1712.0
2007,3066.0,0.0,0.0,1849.0
2008,3811.0,0.0,0.0,2358.0
2009,3553.0,0.0,0.0,2698.0
2010,2809.0,0.0,0.0,3808.0
2011,1507.0,0.0,0.0,5605.0
2012,1146.0,0.0,0.0,8158.0
2013,2178.0,0.0,0.0,11162.0
2014,1428.0,0.0,0.0,11937.0
