,HYTCP,WYTCP,SOEGP,NUETP,
1960,8676,0,0,0,
1961,8749,0,0,0,
1962,9636,0,0,0,
1963,7722,0,0,0,9055
1964,9097,0,0,0,9758
1965,8750,0,0,0,10820
1966,7633,0,0,0,11980
1967,9628,0,0,0,12598
1968,7721,0,0,0,13974
1969,7477,0,0,0,15167
1970,8067,0,0,0,16100
1971,9420,0,0,0,17867
1972,11132,0,0,0,20326
1973,11452,0,0,0,23150
1974,11767,0,0,0,25106
1975,11806,0,0,0,26645
1976,9474,0,0,0,30549
1977,10396,0,0,0,33598
1978,8783,0,0,0,38182
1979,12306,0,0,0,42194
1980,8764,519,0,0,44972
1981,5915,4704,0,0,50265
1982,9769,10104,0,0,52045
1983,9952,14051,0,0,57073
1984,10181,12501,0,0,63983
1985,6539,9672,0,0,68426
1986,5326,-105,0,0,73288
1987,7566,-108,0,0,80715
1988,4591,3940,0,0,87356
1989,11853,15603,0,0,91579
1990,10015,14003,0,0,94087
1991,10873,16587,0,0,101208
1992,10011,15654,0,0,111660
1993,8954,3305,0,0,119568
1994,12028,11932,0,0,129895
1995,9629,15708,0,0,137061
1996,11467,22924,0,0,143163
1997,11038,24648,0,0,152687
1998,10806,28388,0,0,166282
1999,7802,27227,0,0,174940
2000,6396,25825,0,0,181216
2001,6947,28576,0,0,185896
2002,7974,27574,0,4,194846
2003,12004,24153,0,4,204167
2004,10408,28612,0,4,218126
2005,9310,27803,0,3,227505
2006,7749,24679,0,55,239017
2007,4940,28700,0,50,243001
2008,5646,27030,0,50,249052
2009,10212,26962,0,52,246541
2010,8138,27739,0,41,252478
2011,9576,26919,0,53,263175
2012,8296,25102,10,47,278298
2013,12443,28494,18,47,288114
2014,8901,27670,25,51,299158
,,,,,315857
