,HYTCP,WYTCP,SOEGP,NUETP,
1960,2399,0,0,0,
1961,2017,0,0,0,
1962,2137,0,0,0,
1963,1551,0,0,0,12742
1964,1532,0,0,0,13719
1965,2131,0,0,0,14784
1966,2052,0,0,0,16133
1967,2072,0,0,0,16841
1968,2391,0,0,0,18226
1969,2158,0,0,0,19521
1970,1904,157,0,0,20193
1971,2230,3469,0,0,22083
1972,2413,3294,0,0,24064
1973,2444,5952,0,0,27037
1974,2020,8256,0,0,28694
1975,2037,10293,0,0,32295
1976,1652,10722,0,0,37033
1977,1821,10945,0,0,40686
1978,2371,11718,0,0,45423
1979,2294,10403,0,0,50101
1980,2115,9911,0,0,52899
1981,2142,9719,0,0,57494
1982,2422,10268,0,0,59488
1983,2556,9299,0,0,63170
1984,2338,10745,0,0,70013
1985,2546,10979,0,0,73820
1986,2419,11199,0,0,77824
1987,1576,11311,0,0,82013
1988,1488,11464,0,0,89620
1989,1476,10848,0,0,95216
1990,2014,11226,0,0,100236
1991,2517,10991,0,0,104774
1992,2402,11207,0,0,112972
1993,2487,11465,0,0,120024
1994,2228,11516,0,0,129437
1995,2378,10970,0,0,135311
1996,2696,10121,0,0,143444
1997,2483,3916,0,0,151035
1998,1747,9397,0,0,163831
1999,1985,11495,0,0,173620
2000,1986,11512,0,3,182408
2001,2056,11507,0,72,189229
2002,2515,12449,0,46,196373
2003,1843,12215,0,98,204774
2004,1981,11888,0,104,215990
2005,1740,9921,0,93,226325
2006,1679,12234,0,101,235787
2007,1516,12910,0,109,243632
2008,1616,12155,0,487,244546
2009,1394,12683,0,1052,244995
2010,2112,13281,0,1088,252875
2011,2147,11560,0,1188,262463
2012,1522,14300,0,1558,272420
2013,1979,11675,0,1558,279996
2014,2472,9447,1,1618,291754
,,,,,302076
