,HYTCP,WYTCP,SOEGP,NUETP
1960,424.0,0.0,0.0,0.0
1961,367.0,0.0,0.0,0.0
1962,295.0,0.0,0.0,0.0
1963,278.0,0.0,0.0,0.0
1964,269.0,0.0,0.0,0.0
1965,187.0,0.0,0.0,0.0
1966,253.0,0.0,0.0,0.0
1967,394.0,524.0,0.0,0.0
1968,358.0,3004.0,0.0,0.0
1969,425.0,3639.0,0.0,0.0
1970,329.0,3604.0,0.0,0.0
1971,391.0,7767.0,0.0,0.0
1972,538.0,7777.0,0.0,0.0
1973,447.0,4303.0,0.0,0.0
1974,428.0,7970.0,0.0,0.0
1975,493.0,8135.0,0.0,0.0
1976,383.0,12330.0,0.0,0.0
1977,431.0,13174.0,0.0,0.0
1978,359.0,13863.0,0.0,0.0
1979,461.0,12706.0,0.0,0.0
1980,256.0,11835.0,0.0,0.0
1981,260.0,12673.0,0.0,0.0
1982,371.0,13625.0,0.0,0.0
1983,378.0,11588.0,0.0,0.0
1984,377.0,14292.0,0.0,0.0
1985,264.0,12721.0,0.0,0.0
1986,373.0,18667.0,0.0,0.0
1987,343.0,20540.0,0.0,0.0
1988,330.0,22251.0,0.0,0.0
1989,442.0,19563.0,0.0,0.0
1990,571.0,19776.0,0.0,0.0
1991,433.0,12243.0,0.0,0.0
1992,424.0,16771.0,0.0,0.0
1993,415.0,21802.0,0.0,0.0
1994,481.0,20160.0,0.0,0.0
1995,364.0,18749.0,0.0,0.0
1996,626.0,6225.0,0.0,0.0
1997,447.0,-125.0,0.0,0.0
1998,448.0,3243.0,0.0,0.0
1999,422.0,12675.0,0.0,0.0
2000,526.0,16365.0,0.0,0.0
2001,286.0,15428.0,0.0,0.0
2002,335.0,14918.0,0.0,0.0
2003,564.0,16078.0,0.0,0.0
2004,463.0,16539.0,0.0,0.0
2005,478.0,15562.0,0.0,0.0
2006,544.0,16589.0,0.0,0.0
2007,363.0,16386.0,0.0,0.0
2008,556.0,15433.0,0.0,0.0
2009,510.0,16657.0,0.0,0.0
2010,391.0,16750.0,0.0,0.0
2011,567.0,15928.0,0.0,0.0
2012,312.0,17078.0,0.0,0.0
2013,402.0,17080.0,0.0,0.0
2014,434.0,15841.0,12.0,0.0
