,HYTCP,WYTCP,SOEGP,NUETP
1960,881.0,0.0,0.0,0.0
1961,897.0,0.0,0.0,0.0
1962,931.0,0.0,0.0,0.0
1963,758.0,0.0,0.0,0.0
1964,690.0,0.0,0.0,0.0
1965,928.0,0.0,0.0,0.0
1966,867.0,0.0,0.0,0.0
1967,806.0,0.0,0.0,0.0
1968,951.0,0.0,0.0,0.0
1969,866.0,0.0,0.0,0.0
1970,935.0,0.0,0.0,0.0
1971,913.0,0.0,0.0,0.0
1972,993.0,0.0,0.0,0.0
1973,906.0,0.0,0.0,0.0
1974,891.0,1330.0,0.0,0.0
1975,879.0,2291.0,0.0,0.0
1976,645.0,2479.0,0.0,0.0
1977,780.0,2888.0,0.0,0.0
1978,930.0,1209.0,0.0,0.0
1979,898.0,2889.0,0.0,0.0
1980,946.0,2563.0,0.0,0.0
1981,982.0,2204.0,0.0,0.0
1982,918.0,2269.0,0.0,0.0
1983,920.0,2309.0,0.0,0.0
1984,918.0,2700.0,0.0,0.0
1985,989.0,1927.0,0.0,0.0
1986,953.0,2993.0,0.0,0.0
1987,971.0,2523.0,0.0,0.0
1988,699.0,3163.0,0.0,0.0
1989,672.0,3139.0,0.0,0.0
1990,875.0,3012.0,0.0,0.0
1991,901.0,4147.0,0.0,0.0
1992,1000.0,3405.0,0.0,0.0
1993,747.0,3235.0,0.0,0.0
1994,1071.0,4107.0,0.0,0.0
1995,1003.0,3730.0,0.0,0.0
1996,935.0,3924.0,0.0,0.0
1997,805.0,4149.0,0.0,0.0
1998,913.0,3768.0,0.0,0.0
1999,946.0,3640.0,0.0,326.0
2000,904.0,4453.0,0.0,494.0
2001,845.0,3853.0,0.0,488.0
2002,946.0,4574.0,0.0,919.0
2003,789.0,3988.0,0.0,982.0
2004,946.0,4929.0,0.0,1050.0
2005,960.0,4538.0,0.0,1647.0
2006,909.0,5095.0,0.0,2318.0
2007,962.0,4519.0,0.0,2757.0
2008,819.0,5282.0,0.0,4084.0
2009,971.0,4679.0,0.0,7421.0
2010,948.0,4451.0,0.0,9170.0
2011,925.0,5215.0,0.0,10709.0
2012,766.0,4347.0,0.0,14032.0
2013,749.0,5321.0,0.0,15568.0
2014,879.0,4152.0,0.0,16307.0
