,HYTCP,WYTCP,SOEGP,NUETP
1960,1358.0,0.0,0.0,0.0
1961,1139.0,0.0,0.0,0.0
1962,1148.0,0.0,0.0,0.0
1963,971.0,0.0,0.0,0.0
1964,1112.0,0.0,0.0,0.0
1965,1141.0,0.0,0.0,0.0
1966,1322.0,0.0,0.0,0.0
1967,1923.0,0.0,0.0,0.0
1968,1609.0,0.0,0.0,0.0
1969,1359.0,0.0,0.0,0.0
1970,1907.0,0.0,0.0,0.0
1971,1773.0,0.0,0.0,0.0
1972,2282.0,0.0,0.0,0.0
1973,2165.0,0.0,0.0,0.0
1974,1969.0,0.0,0.0,0.0
1975,2311.0,4386.0,0.0,0.0
1976,2088.0,6420.0,0.0,0.0
1977,2018.0,10881.0,0.0,0.0
1978,1735.0,9896.0,0.0,0.0
1979,2191.0,9674.0,0.0,0.0
1980,1270.0,10947.0,0.0,0.0
1981,1426.0,11523.0,0.0,0.0
1982,1341.0,10345.0,0.0,0.0
1983,1765.0,11676.0,0.0,0.0
1984,2022.0,11651.0,0.0,0.0
1985,1524.0,9926.0,0.0,0.0
1986,1876.0,12828.0,0.0,0.0
1987,1612.0,10070.0,0.0,0.0
1988,1328.0,11734.0,0.0,0.0
1989,1778.0,2719.0,0.0,0.0
1990,2299.0,1251.0,0.0,0.0
1991,1407.0,9036.0,0.0,0.0
1992,1825.0,10664.0,0.0,0.0
1993,1658.0,12301.0,0.0,0.0
1994,2010.0,11235.0,0.0,0.0
1995,1442.0,12938.0,0.0,0.0
1996,2457.0,12093.0,0.0,0.0
1997,1588.0,13213.0,0.0,0.0
1998,1740.0,13331.0,0.0,0.0
1999,1424.0,13312.0,0.0,0.0
2000,1733.0,13827.0,0.0,0.0
2001,1184.0,13656.0,0.0,0.0
2002,1661.0,12128.0,0.0,0.0
2003,2647.0,13691.0,0.0,0.0
2004,2508.0,14580.0,0.0,0.0
2005,1704.0,14703.0,0.0,0.0
2006,2104.0,13830.0,0.0,0.0
2007,1652.0,14353.0,0.0,0.0
2008,1974.0,14679.0,0.0,0.0
2009,1889.0,14550.0,0.0,0.0
2010,1667.0,13994.0,0.0,1.0
2011,2547.0,14397.0,3.0,271.0
2012,1657.0,13579.0,21.0,322.0
2013,1727.0,14264.0,60.0,322.0
2014,1616.0,14343.0,95.0,324.0
