,HYTCP,WYTCP,SOEGP,NUETP
1960,9.0,0.0,0.0,0.0
1961,8.0,0.0,0.0,0.0
1962,5.0,0.0,0.0,0.0
1963,4.0,0.0,0.0,0.0
1964,4.0,0.0,0.0,0.0
1965,2.0,0.0,0.0,0.0
1966,2.0,0.0,0.0,0.0
1967,5.0,0.0,0.0,0.0
1968,5.0,0.0,0.0,0.0
1969,4.0,0.0,0.0,0.0
1970,3.0,0.0,0.0,0.0
1971,1.0,0.0,0.0,0.0
1972,6.0,0.0,0.0,0.0
1973,5.0,0.0,0.0,0.0
1974,4.0,0.0,0.0,0.0
1975,3.0,0.0,0.0,0.0
1976,3.0,0.0,0.0,0.0
1977,4.0,0.0,0.0,0.0
1978,4.0,0.0,0.0,0.0
1979,3.0,0.0,0.0,0.0
1980,1.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0
1982,3.0,0.0,0.0,0.0
1983,3.0,0.0,0.0,0.0
1984,2.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0
1989,5.0,0.0,0.0,0.0
1990,10.0,0.0,0.0,0.0
1991,10.0,0.0,0.0,0.0
1992,10.0,0.0,0.0,0.0
1993,9.0,0.0,0.0,0.0
1994,9.0,0.0,0.0,0.0
1995,9.0,0.0,0.0,0.0
1996,10.0,0.0,0.0,0.0
1997,8.0,0.0,0.0,0.0
1998,9.0,0.0,0.0,0.0
1999,6.0,0.0,0.0,0.0
2000,5.0,0.0,0.0,0.0
2001,3.0,0.0,0.0,0.0
2002,4.0,0.0,0.0,0.0
2003,6.0,0.0,0.0,0.0
2004,5.0,0.0,0.0,0.0
2005,7.0,0.0,0.0,0.0
2006,6.0,0.0,0.0,0.0
2007,4.0,0.0,0.0,0.0
2008,5.0,0.0,0.0,0.0
2009,5.0,0.0,0.0,0.0
2010,4.0,0.0,0.0,3.0
2011,7.0,0.0,0.0,3.0
2012,4.0,0.0,0.0,1.0
2013,4.0,0.0,2.0,3.0
2014,4.0,0.0,10.0,10.0
