,HYTCP,WYTCP,SOEGP,NUETP
1960,34349.0,0.0,0.0,0.0
1961,37360.0,0.0,0.0,0.0
1962,39553.0,0.0,0.0,0.0
1963,43117.0,0.0,0.0,0.0
1964,47036.0,0.0,0.0,0.0
1965,49295.0,0.0,0.0,0.0
1966,52821.0,989.0,0.0,0.0
1967,58899.0,2015.0,0.0,0.0
1968,64336.0,3903.0,0.0,0.0
1969,67541.0,3667.0,0.0,0.0
1970,69525.0,2614.0,0.0,0.0
1971,71589.0,2553.0,0.0,0.0
1972,75883.0,2919.0,0.0,0.0
1973,69016.0,4432.0,0.0,0.0
1974,82491.0,3889.0,0.0,0.0
1975,83708.0,3308.0,0.0,0.0
1976,94457.0,2405.0,0.0,0.0
1977,66617.0,4315.0,0.0,0.0
1978,88906.0,4140.0,0.0,0.0
1979,79511.0,3613.0,0.0,0.0
1980,83111.0,2041.0,0.0,0.0
1981,93701.0,2042.0,0.0,0.0
1982,87705.0,3631.0,0.0,0.0
1983,85564.0,3494.0,0.0,0.0
1984,83431.0,5313.0,0.0,0.0
1985,77053.0,8038.0,0.0,0.0
1986,78960.0,8439.0,0.0,0.0
1987,69827.0,5528.0,0.0,0.0
1988,68508.0,6000.0,0.0,0.0
1989,71528.0,6118.0,0.0,0.0
1990,87467.0,5742.0,0.0,0.0
1991,89342.0,4230.0,0.0,0.0
1992,68325.0,5692.0,0.0,0.0
1993,67312.0,7135.0,0.0,0.0
1994,65575.0,6740.0,0.0,0.0
1995,82500.0,6942.0,0.0,0.0
1996,98518.0,5588.0,0.0,0.0
1997,104171.0,6244.0,0.0,0.0
1998,79815.0,6916.0,0.0,0.0
1999,96989.0,6086.0,0.0,0.0
2000,80263.0,8605.0,0.0,0.0
2001,54734.0,8250.0,0.0,0.0
2002,78167.0,9048.0,0.0,417.0
2003,71757.0,7615.0,0.0,604.0
2004,71576.0,8982.0,0.0,737.0
2005,72075.0,8242.0,0.0,498.0
2006,82008.0,9328.0,0.0,1038.0
2007,78829.0,8109.0,0.0,2438.0
2008,77637.0,9270.0,0.0,3657.0
2009,72933.0,6634.0,0.0,3572.0
2010,68288.0,9241.0,0.0,4745.0
2011,91818.0,4806.0,1.0,6262.0
2012,89464.0,9334.0,1.0,6600.0
2013,78155.0,8461.0,1.0,7004.0
2014,79463.0,9497.0,1.0,7268.0
