Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,3.0,0.0,0.0,0.0,
1961,5.0,0.0,0.0,0.0,
1962,6.0,0.0,0.0,0.0,
1963,4.0,0.0,0.0,0.0,5137.0
1964,5.0,0.0,0.0,0.0,5553.0
1965,3.0,0.0,0.0,0.0,6037.0
1966,2.0,0.0,0.0,0.0,6454.0
1967,2.0,0.0,0.0,0.0,7183.0
1968,1.0,0.0,0.0,0.0,7749.0
1969,0.0,0.0,0.0,0.0,8096.0
1970,1.0,0.0,0.0,0.0,8559.0
1971,1.0,0.0,0.0,0.0,9180.0
1972,1.0,0.0,0.0,0.0,9896.0
1973,1.0,0.0,0.0,0.0,10400.0
1974,1.0,0.0,0.0,0.0,11424.0
1975,1.0,0.0,0.0,0.0,12712.0
1976,1.0,0.0,0.0,0.0,13945.0
1977,0.0,0.0,0.0,0.0,15581.0
1978,0.0,0.0,0.0,0.0,16953.0
1979,0.0,0.0,0.0,0.0,18417.0
1980,0.0,0.0,0.0,0.0,19862.0
1981,0.0,0.0,0.0,0.0,21740.0
1982,0.0,0.0,0.0,0.0,22958.0
1983,0.0,0.0,0.0,0.0,24573.0
1984,0.0,0.0,0.0,0.0,26584.0
1985,0.0,0.0,0.0,0.0,28534.0
1986,0.0,0.0,0.0,0.0,30079.0
1987,0.0,0.0,0.0,0.0,32129.0
1988,0.0,0.0,0.0,0.0,35226.0
1989,0.0,0.0,0.0,0.0,37469.0
1990,0.0,0.0,0.0,0.0,39688.0
1991,0.0,0.0,0.0,0.0,41430.0
1992,0.0,0.0,0.0,0.0,43187.0
1993,0.0,0.0,0.0,0.0,45356.0
1994,0.0,0.0,0.0,0.0,46655.0
1995,0.0,0.0,0.0,0.0,47094.0
1996,0.0,0.0,0.0,0.0,47823.0
1997,0.0,0.0,0.0,0.0,49702.0
1998,0.0,0.0,0.0,0.0,53802.0
1999,0.0,0.0,0.0,0.0,57728.0
2000,0.0,0.0,0.0,0.0,60059.0
2001,0.0,0.0,0.0,0.0,64888.0
2002,0.0,0.0,0.0,0.0,69060.0
2003,0.0,0.0,0.0,0.0,72780.0
2004,0.0,0.0,0.0,0.0,79040.0
2005,0.0,0.0,0.0,0.0,83586.0
2006,0.0,0.0,0.0,0.0,87496.0
2007,0.0,0.0,0.0,0.0,92846.0
2008,0.0,0.0,0.0,0.0,97372.0
2009,0.0,0.0,0.0,0.0,98415.0
2010,0.0,0.0,0.0,0.0,103831.0
2011,0.0,0.0,0.0,0.0,107738.0
2012,0.0,0.0,0.0,0.0,109685.0
2013,0.0,0.0,0.0,0.0,111901.0
2014,0.0,0.0,0.0,0.0,116446.0
2015,,,,,122146.0
