Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,1267.0,0.0,0.0,0.0,
1961,1183.0,0.0,0.0,0.0,
1962,1263.0,0.0,0.0,0.0,
1963,875.0,0.0,0.0,0.0,11682.0
1964,859.0,0.0,0.0,0.0,12713.0
1965,883.0,0.0,0.0,0.0,13666.0
1966,764.0,0.0,0.0,0.0,14904.0
1967,806.0,0.0,0.0,0.0,15925.0
1968,785.0,0.0,0.0,0.0,17693.0
1969,705.0,0.0,0.0,0.0,19638.0
1970,691.0,0.0,0.0,0.0,21048.0
1971,1123.0,0.0,0.0,0.0,23157.0
1972,1408.0,448.0,0.0,0.0,26064.0
1973,1318.0,6857.0,0.0,0.0,29450.0
1974,1085.0,5953.0,0.0,0.0,32428.0
1975,1311.0,8970.0,0.0,0.0,35067.0
1976,888.0,7740.0,0.0,0.0,39574.0
1977,714.0,9481.0,0.0,0.0,43219.0
1978,1286.0,14098.0,0.0,0.0,48379.0
1979,1543.0,7056.0,0.0,0.0,53398.0
1980,892.0,11466.0,0.0,0.0,58669.0
1981,365.0,17818.0,0.0,0.0,66179.0
1982,940.0,17420.0,0.0,0.0,71465.0
1983,1210.0,18674.0,0.0,0.0,79439.0
1984,1182.0,17045.0,0.0,0.0,89768.0
1985,845.0,22303.0,0.0,0.0,97967.0
1986,75.0,21215.0,0.0,0.0,107348.0
1987,834.0,18145.0,0.0,0.0,117603.0
1988,-191.0,21037.0,0.0,0.0,128088.0
1989,424.0,14264.0,0.0,0.0,137661.0
1990,1309.0,23820.0,0.0,0.0,144971.0
1991,1080.0,23886.0,0.0,0.0,151093.0
1992,1090.0,23334.0,0.0,0.0,158990.0
1993,1313.0,22689.0,0.0,0.0,167688.0
1994,1146.0,25429.0,0.0,0.0,177057.0
1995,995.0,25135.0,0.0,0.0,186236.0
1996,1429.0,26286.0,0.0,0.0,197756.0
1997,1020.0,27084.0,0.0,0.0,210361.0
1998,1283.0,27234.0,0.0,0.0,234071.0
1999,682.0,28301.0,0.0,0.0,251056.0
2000,712.0,28321.0,0.0,0.0,268371.0
2001,1014.0,25759.0,0.0,0.0,284485.0
2002,868.0,27346.0,0.0,0.0,293065.0
2003,1782.0,24816.0,0.0,0.0,310240.0
2004,1583.0,28315.0,0.0,0.0,331335.0
2005,1484.0,27918.0,0.0,0.0,359273.0
2006,1351.0,27594.0,0.0,0.0,379180.0
2007,1248.0,27268.0,0.0,0.0,392553.0
2008,1011.0,27931.0,0.0,0.0,398817.0
2009,1479.0,28212.0,0.0,0.0,407302.0
2010,1500.0,26572.0,0.0,0.0,420862.0
2011,1210.0,25548.0,0.0,0.0,429174.0
2012,1044.0,28723.0,0.0,0.0,441144.0
2013,1254.0,29326.0,0.0,0.0,449502.0
2014,955.0,30221.0,0.0,0.0,460151.0
2015,,,,,481084.0
