Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,873.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40.06,-2.53,2.91,23.72
1961,772.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36.59,-8.64,2.85,22.96
1962,799.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40.6,-0.27,2.85,22.69
1963,690.0,0.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,34.58,-13.58,2.91,22.9
1964,664.0,0.0,0.0,0.0,1090.0,0.0,0.0,0.0,0.0,0.0,35.24,-11.76,3.0,23.3
1965,714.0,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,35.12,-10.68,3.01,23.0
1966,840.0,0.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,38.26,-3.48,3.1,23.01
1967,815.0,0.0,0.0,0.0,1505.0,0.0,0.0,0.0,0.0,0.0,40.43,-2.28,3.12,22.53
1968,790.0,0.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,0.0,41.86,-3.56,3.18,21.99
1969,904.0,0.0,0.0,0.0,1798.0,0.0,0.0,0.0,0.0,0.0,46.39,8.05,3.32,21.81
1970,786.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.0,38.08,-8.51,3.39,21.04
1971,742.0,0.0,0.0,0.0,2122.0,0.0,0.0,0.0,0.0,0.0,41.21,-0.01,3.6,21.42
1972,942.0,169.0,0.0,0.0,2294.0,0.0,0.0,0.0,0.0,0.0,48.22,11.88,3.6,20.74
1973,1059.0,1598.0,0.0,0.0,2483.0,0.0,0.0,0.0,0.0,0.0,52.76,12.87,4.75,25.56
1974,991.0,2483.0,0.0,0.0,2577.0,0.0,0.0,0.0,0.0,0.0,46.27,8.67,9.35,45.6
1975,938.0,3561.0,0.0,0.0,2807.0,0.0,0.0,0.0,0.0,0.0,47.67,5.73,12.21,54.61
1976,1090.0,3260.0,0.0,0.0,3222.0,0.0,0.0,0.0,0.0,0.0,53.0,17.44,13.1,55.46
1977,958.0,3538.0,0.0,0.0,3347.0,0.0,0.0,0.0,0.0,0.0,48.42,6.83,14.4,57.2
1978,874.0,3241.0,0.0,0.0,3942.0,0.0,0.0,0.0,0.0,0.0,40.25,-2.34,14.95,55.24
1979,930.0,3449.0,0.0,0.0,4399.0,0.0,0.0,0.0,0.0,0.0,43.92,-1.2,25.1,82.51
1980,813.0,2979.0,0.0,0.0,4856.0,0.0,0.0,0.0,0.0,0.0,35.77,-10.14,37.42,109.51
