Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,290.0,0.0,0.0,0.0,
1961,297.0,0.0,0.0,0.0,
1962,304.0,0.0,0.0,0.0,
1963,325.0,0.0,0.0,0.0,1083.0
1964,322.0,0.0,0.0,0.0,1230.0
1965,350.0,0.0,0.0,0.0,1374.0
1966,316.0,0.0,0.0,0.0,1494.0
1967,363.0,0.0,0.0,0.0,1643.0
1968,364.0,0.0,0.0,0.0,1899.0
1969,341.0,0.0,0.0,0.0,2073.0
1970,363.0,0.0,0.0,0.0,2359.0
1971,363.0,0.0,0.0,0.0,2539.0
1972,346.0,0.0,0.0,0.0,2743.0
1973,286.0,0.0,0.0,0.0,3041.0
1974,326.0,0.0,0.0,0.0,3999.0
1975,357.0,0.0,0.0,0.0,6220.0
1976,383.0,0.0,0.0,0.0,7470.0
1977,512.0,0.0,0.0,0.0,7544.0
1978,472.0,0.0,0.0,0.0,9130.0
1979,459.0,0.0,0.0,0.0,10891.0
1980,539.0,0.0,0.0,0.0,15282.0
1981,590.0,0.0,0.0,0.0,21824.0
1982,561.0,0.0,0.0,0.0,23461.0
1983,593.0,0.0,0.0,0.0,22591.0
1984,693.0,0.0,0.0,0.0,23787.0
1985,748.0,0.0,0.0,0.0,26142.0
1986,809.0,0.0,0.0,0.0,19181.0
1987,872.0,0.0,0.0,0.0,22925.0
1988,935.0,0.0,0.0,0.0,21270.0
1989,873.0,0.0,0.0,0.0,23453.0
1990,975.0,0.0,0.0,0.0,25040.0
1991,896.0,0.0,0.0,0.0,22283.0
1992,918.0,0.0,0.0,0.0,22753.0
1993,1303.0,0.0,0.0,0.0,23284.0
1994,1345.0,0.0,0.0,0.0,23605.0
1995,1372.0,0.0,0.0,0.0,25449.0
1996,1266.0,0.0,0.0,0.0,26737.0
1997,1099.0,0.0,0.0,0.0,27581.0
1998,1113.0,0.0,0.0,0.0,24030.0
1999,817.0,0.0,0.0,0.0,24684.0
2000,1002.0,0.0,0.0,0.0,26853.0
2001,1346.0,0.0,0.0,1.0,28553.0
2002,1439.0,0.0,0.0,0.0,29763.0
2003,1583.0,0.0,0.0,0.0,32039.0
2004,1498.0,0.0,0.0,0.0,35195.0
2005,1464.0,0.0,0.0,1.0,40063.0
2006,1224.0,0.0,0.0,1.0,44679.0
2007,1291.0,0.0,0.0,1.0,49197.0
2008,1172.0,0.0,0.0,0.0,55461.0
2009,1324.0,0.0,0.0,7.0,50463.0
2010,1433.0,0.0,0.0,13.0,54134.0
2011,1345.0,0.0,0.0,12.0,58759.0
2012,1575.0,0.0,0.0,37.0,60890.0
2013,1435.0,0.0,0.0,145.0,59762.0
2014,1539.0,0.0,0.0,152.0,58253.0
2015,,,,,52747.0
