Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,6239.0,0.0,0.0,0.0,
1961,6747.0,0.0,0.0,0.0,
1962,7540.0,0.0,0.0,0.0,
1963,6384.0,0.0,0.0,0.0,7343.0
1964,8760.0,0.0,0.0,0.0,8220.0
1965,7103.0,0.0,0.0,0.0,8994.0
1966,6926.0,0.0,0.0,0.0,9847.0
1967,9139.0,0.0,0.0,0.0,10053.0
1968,7382.0,0.0,0.0,0.0,10977.0
1969,7515.0,0.0,0.0,0.0,11866.0
1970,7632.0,0.0,0.0,0.0,12475.0
1971,9936.0,0.0,0.0,0.0,13624.0
1972,10233.0,0.0,0.0,0.0,15356.0
1973,11803.0,314.0,0.0,0.0,17428.0
1974,10369.0,6289.0,0.0,0.0,19454.0
1975,12213.0,2722.0,0.0,0.0,21346.0
1976,9458.0,4214.0,0.0,0.0,24324.0
1977,10354.0,19522.0,0.0,0.0,26725.0
1978,7893.0,22830.0,0.0,0.0,30546.0
1979,11867.0,22090.0,0.0,0.0,33712.0
1980,9408.0,23497.0,0.0,0.0,36142.0
1981,6038.0,23643.0,0.0,0.0,40257.0
1982,10731.0,27701.0,0.0,0.0,41778.0
1983,11165.0,25145.0,0.0,0.0,45679.0
1984,10798.0,24211.0,0.0,0.0,50010.0
1985,6886.0,14313.0,0.0,0.0,53824.0
1986,5251.0,11561.0,0.0,0.0,56134.0
1987,7472.0,11248.0,0.0,0.0,60752.0
1988,5383.0,12981.0,0.0,0.0,66008.0
1989,13153.0,11524.0,0.0,0.0,68394.0
1990,10367.0,12052.0,0.0,0.0,71610.0
1991,10758.0,15875.0,0.0,0.0,76043.0
1992,10260.0,19397.0,0.0,0.0,81260.0
1993,9034.0,17823.0,0.0,0.0,84563.0
1994,11429.0,20480.0,0.0,0.0,90098.0
1995,9502.0,20752.0,0.0,0.0,95819.0
1996,11082.0,29708.0,0.0,0.0,100146.0
1997,11521.0,29573.0,0.0,0.0,104805.0
1998,10565.0,28663.0,0.0,0.0,109414.0
1999,7760.0,30892.0,0.0,0.0,115015.0
2000,5818.0,31369.0,0.0,0.0,119020.0
2001,8356.0,30357.0,0.0,0.0,122822.0
2002,8825.0,31857.0,0.0,0.0,127873.0
2003,12665.0,31677.0,0.0,0.0,134388.0
2004,10626.0,31636.0,0.0,0.0,146989.0
2005,10145.0,31694.0,0.0,0.0,156750.0
2006,7252.0,31911.0,0.0,0.0,164468.0
2007,4136.0,34325.0,0.0,0.0,169923.0
2008,6136.0,38993.0,0.0,0.0,172646.0
2009,12535.0,39716.0,0.0,0.0,168315.0
2010,8704.0,37941.0,0.0,0.0,174710.0
2011,8884.0,39356.0,0.0,0.0,180665.0
2012,7435.0,40841.0,0.0,0.0,185878.0
2013,12899.0,40816.0,0.0,0.0,190095.0
2014,9467.0,41244.0,0.0,0.0,194421.0
2015,,,,,199656.0
